date,time,distance,cnt,pwm,uid
22/08/22,23:29:26,26,100,90,14
22/08/22,23:29:27,27,100,90,14
22/08/22,23:29:27,25,100,90,14
22/08/22,23:29:27,27,100,90,14
22/08/22,23:29:27,32,100,90,14
22/08/22,23:29:27,37,100,90,14
22/08/22,23:29:27,42,100,90,14
22/08/22,23:29:28,45,100,90,14
22/08/22,23:29:28,48,100,90,14
22/08/22,23:29:28,43,100,90,14
22/08/22,23:29:28,40,100,90,14
22/08/22,23:29:28,37,100,90,14
22/08/22,23:29:29,30,99,90,14
22/08/22,23:29:29,24,99,90,14
22/08/22,23:29:29,35,99,90,14
22/08/22,23:29:29,26,99,90,14
22/08/22,23:29:29,31,99,90,14
22/08/22,23:29:30,36,99,90,14
22/08/22,23:29:30,42,99,90,14
22/08/22,23:29:30,45,99,90,14
22/08/22,23:29:30,50,99,90,14
22/08/22,23:29:30,44,99,90,14
22/08/22,23:29:30,42,99,90,14
22/08/22,23:29:31,36,99,90,14
22/08/22,23:29:31,27,98,90,14
22/08/22,23:29:31,26,98,90,14
22/08/22,23:29:31,30,98,90,14
22/08/22,23:29:31,28,98,90,14
22/08/22,23:29:32,31,98,90,14
22/08/22,23:29:32,35,98,90,14
22/08/22,23:29:32,37,98,90,14
22/08/22,23:29:32,42,98,90,14
22/08/22,23:29:32,46,98,90,14
22/08/22,23:29:33,44,98,90,14
22/08/22,23:29:33,40,98,90,14
22/08/22,23:29:33,36,98,90,14
22/08/22,23:29:33,28,97,90,14
22/08/22,23:29:33,26,97,90,14
22/08/22,23:29:34,30,97,90,14
22/08/22,23:29:34,26,97,90,14
22/08/22,23:29:34,33,97,90,14
22/08/22,23:29:34,37,97,90,14
22/08/22,23:29:34,41,97,90,14
22/08/22,23:29:34,45,97,90,14
22/08/22,23:29:35,45,97,90,14
22/08/22,23:29:35,44,97,90,14
22/08/22,23:29:35,37,97,90,14
22/08/22,23:29:35,35,97,90,14
22/08/22,23:29:35,30,96,90,14
22/08/22,23:29:36,29,96,90,14
22/08/22,23:29:36,30,96,90,14
22/08/22,23:29:36,25,96,90,14
22/08/22,23:29:36,32,96,90,14
22/08/22,23:29:36,38,96,90,14
22/08/22,23:29:37,40,96,90,14
22/08/22,23:29:37,44,96,90,14
22/08/22,23:29:37,47,96,90,14
22/08/22,23:29:37,45,96,90,14
22/08/22,23:29:37,40,96,90,14
22/08/22,23:29:37,34,96,90,14
22/08/22,23:29:38,31,95,90,14
22/08/22,23:29:38,26,95,90,14
22/08/22,23:29:38,28,95,90,14
22/08/22,23:29:38,27,95,90,14
22/08/22,23:29:38,33,95,90,14
22/08/22,23:29:39,38,95,90,14
22/08/22,23:29:39,40,95,90,14
22/08/22,23:29:39,43,95,90,14
22/08/22,23:29:39,48,95,90,14
22/08/22,23:29:39,44,95,90,14
22/08/22,23:29:40,40,95,90,14
22/08/22,23:29:40,36,95,90,14
22/08/22,23:29:40,31,94,90,14
22/08/22,23:29:40,25,94,90,14
22/08/22,23:29:40,28,94,90,14
22/08/22,23:29:40,25,94,90,14
22/08/22,23:29:41,33,94,90,14
22/08/22,23:29:41,34,94,90,14
22/08/22,23:29:41,42,94,90,14
22/08/22,23:29:41,43,94,90,14
22/08/22,23:29:41,49,94,90,14
22/08/22,23:29:42,45,94,90,14
22/08/22,23:29:42,37,94,90,14
22/08/22,23:29:42,35,94,90,14
22/08/22,23:29:42,31,93,90,14
22/08/22,23:29:42,25,93,90,14
22/08/22,23:29:43,30,93,90,14
22/08/22,23:29:43,26,93,90,14
22/08/22,23:29:43,32,93,90,14
22/08/22,23:29:43,39,93,90,14
22/08/22,23:29:43,39,93,90,14
22/08/22,23:29:44,43,93,90,14
22/08/22,23:29:44,48,93,90,14
22/08/22,23:29:44,41,93,90,14
22/08/22,23:29:44,42,93,90,14
22/08/22,23:29:44,36,93,90,14
22/08/22,23:29:44,27,92,90,14
22/08/22,23:29:45,27,92,90,14
22/08/22,23:29:45,29,92,90,14
22/08/22,23:29:45,27,92,90,14
22/08/22,23:29:45,33,92,90,14
22/08/22,23:29:45,35,92,90,14
22/08/22,23:29:46,41,92,90,14
22/08/22,23:29:46,49,92,90,14
22/08/22,23:29:46,47,92,90,14
22/08/22,23:29:46,45,92,90,14
22/08/22,23:29:46,40,92,90,14
22/08/22,23:29:47,34,92,90,14
22/08/22,23:29:47,31,91,90,14
22/08/22,23:29:47,26,91,90,14
22/08/22,23:29:47,29,91,90,14
22/08/22,23:29:47,27,91,90,14
22/08/22,23:29:47,30,91,90,14
22/08/22,23:29:48,39,91,90,14
22/08/22,23:29:48,42,91,90,14
22/08/22,23:29:48,46,91,90,14
22/08/22,23:29:48,48,91,90,14
22/08/22,23:29:48,45,91,90,14
22/08/22,23:29:49,38,91,90,14
22/08/22,23:29:49,34,91,90,14
22/08/22,23:29:49,29,90,90,14
22/08/22,23:29:49,27,90,90,14
22/08/22,23:29:49,29,90,90,14
22/08/22,23:29:50,28,90,90,14
22/08/22,23:29:50,29,90,90,14
22/08/22,23:29:50,36,90,90,14
22/08/22,23:29:50,41,90,90,14
22/08/22,23:29:50,46,90,90,14
22/08/22,23:29:51,45,90,90,14
22/08/22,23:29:51,40,90,90,14
22/08/22,23:29:51,37,90,90,14
22/08/22,23:29:51,35,90,90,14
