date,time,distance,cnt,pwm,uid
22/08/22,22:27:19,35,100,100,81
22/08/22,22:27:19,25,100,100,81
22/08/22,22:27:19,30,100,100,81
22/08/22,22:27:19,25,100,100,81
22/08/22,22:27:19,27,100,100,81
22/08/22,22:27:20,34,100,100,81
22/08/22,22:27:20,41,100,100,81
22/08/22,22:27:20,45,100,100,81
22/08/22,22:27:20,49,100,100,81
22/08/22,22:27:20,45,100,100,81
22/08/22,22:27:21,40,100,100,81
22/08/22,22:27:21,35,100,100,81
22/08/22,22:27:21,30,99,100,81
22/08/22,22:27:21,26,99,100,81
22/08/22,22:27:21,32,99,100,81
22/08/22,22:27:22,28,99,100,81
22/08/22,22:27:22,28,99,100,81
22/08/22,22:27:22,39,99,100,81
22/08/22,22:27:22,42,99,100,81
22/08/22,22:27:22,42,99,100,81
22/08/22,22:27:22,47,99,100,81
22/08/22,22:27:23,42,99,100,81
22/08/22,22:27:23,39,99,100,81
22/08/22,22:27:23,36,99,100,81
22/08/22,22:27:23,32,98,100,81
22/08/22,22:27:23,26,98,100,81
22/08/22,22:27:24,28,98,100,81
22/08/22,22:27:24,26,98,100,81
22/08/22,22:27:24,33,98,100,81
22/08/22,22:27:24,42,98,100,81
22/08/22,22:27:24,43,98,100,81
22/08/22,22:27:25,43,98,100,81
22/08/22,22:27:25,39,98,100,81
22/08/22,22:27:25,37,98,100,81
22/08/22,22:27:25,31,97,100,81
22/08/22,22:27:25,26,97,100,81
22/08/22,22:27:25,29,97,100,81
22/08/22,22:27:26,30,97,100,81
22/08/22,22:27:26,34,97,100,81
22/08/22,22:27:26,37,97,100,81
22/08/22,22:27:26,43,97,100,81
22/08/22,22:27:26,47,97,100,81
22/08/22,22:27:27,39,97,100,81
22/08/22,22:27:27,39,97,100,81
22/08/22,22:27:27,30,97,100,81
22/08/22,22:27:27,29,96,100,81
22/08/22,22:27:27,30,96,100,81
22/08/22,22:27:28,36,96,100,81
22/08/22,22:27:28,31,96,100,81
22/08/22,22:27:28,32,96,100,81
22/08/22,22:27:28,37,96,100,81
22/08/22,22:27:28,38,96,100,81
22/08/22,22:27:28,45,96,100,81
22/08/22,22:27:29,48,96,100,81
22/08/22,22:27:29,43,96,100,81
22/08/22,22:27:29,36,96,100,81
22/08/22,22:27:29,32,96,100,81
22/08/22,22:27:29,31,95,100,81
22/08/22,22:27:30,27,95,100,81
22/08/22,22:27:30,29,95,100,81
22/08/22,22:27:30,26,95,100,81
22/08/22,22:27:30,33,95,100,81
22/08/22,22:27:30,37,95,100,81
22/08/22,22:27:31,41,95,100,81
22/08/22,22:27:31,42,95,100,81
22/08/22,22:27:31,51,95,100,81
22/08/22,22:27:31,41,95,100,81
22/08/22,22:27:31,40,95,100,81
22/08/22,22:27:31,35,95,100,81
22/08/22,22:27:32,28,94,100,81
22/08/22,22:27:32,29,94,100,81
22/08/22,22:27:32,28,94,100,81
22/08/22,22:27:32,28,94,100,81
22/08/22,22:27:32,32,94,100,81
22/08/22,22:27:33,38,94,100,81
22/08/22,22:27:33,42,94,100,81
22/08/22,22:27:33,48,94,100,81
22/08/22,22:27:33,52,94,100,81
22/08/22,22:27:33,46,94,100,81
22/08/22,22:27:34,39,94,100,81
22/08/22,22:27:34,34,94,100,81
22/08/22,22:27:34,32,93,100,81
22/08/22,22:27:34,24,93,100,81
22/08/22,22:27:34,24,93,100,81
22/08/22,22:27:34,29,93,100,81
22/08/22,22:27:35,32,93,100,81
