date,time,distance,cnt,pwm,uid,,,,,,
22/04/29,14:50:38,32,100,91,88,,,,,,
22/04/29,14:50:38,29,99,90,88,,,,,,
22/04/29,14:50:38,20,99,90,88,,,,,,
22/04/29,14:50:39,29,99,90,88,,,,,,
22/04/29,14:50:39,23,99,90,88,,,,,,
22/04/29,14:50:39,26,99,90,88,,,,,,
22/04/29,14:50:39,32,99,90,88,,,,,,
22/04/29,14:50:39,33,99,90,88,,,,,,
22/04/29,14:50:40,38,99,90,88,,,,,,
22/04/29,14:50:40,43,99,90,88,,,,,,
22/04/29,14:50:40,45,99,90,88,,,,,,
22/04/29,14:50:40,41,99,90,88,,,,,,
22/04/29,14:50:40,38,99,90,88,,,,,,
22/04/29,14:50:41,32,99,90,88,,,,,,
22/04/29,14:50:41,26,99,90,88,,,,,,
22/04/29,14:50:41,23,98,90,88,,,,,,
22/04/29,14:50:41,21,98,90,88,,,,,,
22/04/29,14:50:41,25,98,90,88,,,,,,
22/04/29,14:50:41,22,98,90,88,,,,,,
22/04/29,14:50:42,26,98,90,88,,,,,,
22/04/29,14:50:42,29,98,90,88,,,,,,
22/04/29,14:50:42,36,98,90,88,,,,,,
22/04/29,14:50:42,42,98,90,88,,,,,,
22/04/29,14:50:42,46,98,90,88,,,,,,
22/04/29,14:50:43,45,98,90,88,,,,,,
22/04/29,14:50:43,44,98,90,88,,,,,,
22/04/29,14:50:43,35,98,90,88,,,,,,
22/04/29,14:50:43,34,98,90,88,,,,,,
22/04/29,14:50:43,29,98,90,88,,,,,,
22/04/29,14:50:44,28,97,90,88,,,,,,
22/04/29,14:50:44,22,97,90,88,,,,,,
22/04/29,14:50:44,24,97,90,88,,,,,,
22/04/29,14:50:44,19,97,90,88,,,,,,
22/04/29,14:50:44,25,97,90,88,,,,,,
22/04/29,14:50:44,31,97,90,88,,,,,,
22/04/29,14:50:45,37,97,90,88,,,,,,
22/04/29,14:50:45,38,97,90,88,,,,,,
22/04/29,14:50:45,45,97,90,88,,,,,,
22/04/29,14:50:45,37,97,90,88,,,,,,
22/04/29,14:50:45,36,97,90,88,,,,,,
22/04/29,14:50:46,29,97,90,88,,,,,,
22/04/29,14:50:46,26,97,90,88,,,,,,
22/04/29,14:50:46,21,96,90,88,,,,,,
22/04/29,14:50:46,25,96,90,88,,,,,,
22/04/29,14:50:46,25,96,90,88,,,,,,
22/04/29,14:50:47,22,96,90,88,,,,,,
22/04/29,14:50:47,25,96,90,88,,,,,,
22/04/29,14:50:47,30,96,90,88,,,,,,
22/04/29,14:50:47,34,96,90,88,,,,,,
22/04/29,14:50:47,37,96,90,88,,,,,,
22/04/29,14:50:47,46,96,90,88,,,,,,
22/04/29,14:50:48,42,96,90,88,,,,,,
22/04/29,14:50:48,39,96,90,88,,,,,,
22/04/29,14:50:48,37,96,90,88,,,,,,
22/04/29,14:50:48,34,96,90,88,,,,,,
22/04/29,14:50:48,28,96,90,88,,,,,,
22/04/29,14:50:49,22,95,90,88,,,,,,
22/04/29,14:50:49,22,95,90,88,,,,,,
22/04/29,14:50:49,26,95,90,88,,,,,,
22/04/29,14:50:49,19,95,90,88,,,,,,
22/04/29,14:50:49,27,95,90,88,,,,,,
22/04/29,14:50:50,32,95,90,88,,,,,,
22/04/29,14:50:50,36,95,90,88,,,,,,
22/04/29,14:50:50,40,95,90,88,,,,,,
