date,time,distance,cnt,pwm,uid
22/04/29,15:50:57,23,100,91,88
22/04/29,15:50:57,19,99,91,88
22/04/29,15:50:57,22,99,91,88
22/04/29,15:50:58,21,99,91,88
22/04/29,15:50:58,20,99,90,88
22/04/29,15:50:58,27,99,90,88
22/04/29,15:50:58,29,99,90,88
22/04/29,15:50:58,34,99,90,88
22/04/29,15:50:59,40,99,90,88
22/04/29,15:50:59,44,99,91,88
22/04/29,15:50:59,49,99,91,88
22/04/29,15:50:59,44,99,91,88
22/04/29,15:50:59,40,99,90,88
22/04/29,15:50:59,33,99,90,88
22/04/29,15:51:00,31,99,90,88
22/04/29,15:51:00,25,98,90,88
22/04/29,15:51:00,20,98,91,88
22/04/29,15:51:00,23,98,91,88
22/04/29,15:51:00,25,98,91,88
22/04/29,15:51:01,29,98,90,88
22/04/29,15:51:01,33,98,90,88
22/04/29,15:51:01,35,98,90,88
22/04/29,15:51:01,42,98,90,88
22/04/29,15:51:01,49,98,91,88
22/04/29,15:51:02,50,98,91,88
22/04/29,15:51:02,44,98,91,88
22/04/29,15:51:02,40,98,91,88
22/04/29,15:51:02,35,98,90,88
22/04/29,15:51:02,31,98,90,88
22/04/29,15:51:02,25,98,90,88
22/04/29,15:51:03,23,97,91,88
22/04/29,15:51:03,25,97,91,88
22/04/29,15:51:03,33,97,91,88
22/04/29,15:51:03,21,97,91,88
22/04/29,15:51:03,27,97,90,88
22/04/29,15:51:04,30,97,90,88
22/04/29,15:51:04,34,97,90,88
22/04/29,15:51:04,38,97,90,88
22/04/29,15:51:04,44,97,91,88
22/04/29,15:51:04,47,97,90,88
22/04/29,15:51:05,43,97,91,88
22/04/29,15:51:05,39,97,90,88
22/04/29,15:51:05,38,97,90,88
22/04/29,15:51:05,27,97,90,88
22/04/29,15:51:05,23,96,90,88
22/04/29,15:51:05,22,96,90,88
22/04/29,15:51:06,26,96,90,88
22/04/29,15:51:06,22,96,91,88
22/04/29,15:51:06,25,96,90,88
22/04/29,15:51:06,30,96,90,88
22/04/29,15:51:06,33,96,90,88
22/04/29,15:51:07,41,96,90,88
22/04/29,15:51:07,44,96,91,88
22/04/29,15:51:07,45,96,91,88
22/04/29,15:51:07,44,96,91,88
22/04/29,15:51:07,40,96,90,88
22/04/29,15:51:08,35,96,90,88
22/04/29,15:51:08,29,96,91,88
22/04/29,15:51:08,23,95,90,88
22/04/29,15:51:08,22,95,91,88
22/04/29,15:51:08,23,95,91,88
22/04/29,15:51:08,22,95,91,88
22/04/29,15:51:09,26,95,90,88
22/04/29,15:51:09,34,95,90,88
22/04/29,15:51:09,38,95,90,88
22/04/29,15:51:09,41,95,90,88
22/04/29,15:51:09,46,95,91,88
22/04/29,15:51:10,48,95,91,88
22/04/29,15:51:10,42,95,90,88
22/04/29,15:51:10,42,95,91,88
22/04/29,15:51:10,34,95,90,88
22/04/29,15:51:10,33,95,90,88
22/04/29,15:51:11,27,94,90,88
22/04/29,15:51:11,23,94,91,88
22/04/29,15:51:11,24,94,91,88
22/04/29,15:51:11,23,94,91,88
22/04/29,15:51:11,28,94,90,88
22/04/29,15:51:11,32,94,90,88
22/04/29,15:51:12,38,94,90,88
22/04/29,15:51:12,41,94,91,88
22/04/29,15:51:12,46,94,91,88
22/04/29,15:51:12,53,94,91,88
22/04/29,15:51:12,46,94,91,88
22/04/29,15:51:13,41,94,91,88
22/04/29,15:51:13,37,94,90,88
22/04/29,15:51:13,33,94,90,88
