date,time,distance,cnt,pwm,uid
22/05/19,17:03:23,30,100,90,31
22/05/19,17:03:23,34,99,90,31
22/05/19,17:03:23,33,99,90,31
22/05/19,17:03:23,32,99,90,31
22/05/19,17:03:24,32,99,90,31
22/05/19,17:03:24,29,99,90,31
22/05/19,17:03:24,31,99,90,31
22/05/19,17:03:24,32,99,90,31
22/05/19,17:03:24,29,99,90,31
22/05/19,17:03:25,29,99,90,31
22/05/19,17:03:25,32,99,90,31
22/05/19,17:03:25,31,99,90,31
22/05/19,17:03:25,33,99,90,31
22/05/19,17:03:25,32,99,90,31
22/05/19,17:03:26,30,99,90,31
22/05/19,17:03:26,31,99,90,31
22/05/19,17:03:26,32,99,90,31
22/05/19,17:03:26,28,99,90,31
22/05/19,17:03:26,30,99,90,31
22/05/19,17:03:26,31,99,90,31
22/05/19,17:03:27,29,99,90,31
22/05/19,17:03:31,32,100,90,31
22/05/19,17:03:32,36,100,90,31
22/05/19,17:03:32,34,100,90,31
22/05/19,17:03:32,33,100,90,31
22/05/19,17:03:32,32,100,90,31
22/05/19,17:03:32,33,100,90,31
22/05/19,17:03:33,30,100,90,31
22/05/19,17:03:33,30,100,90,31
22/05/19,17:03:33,35,100,90,31
22/05/19,17:03:33,34,100,90,31
22/05/19,17:03:33,36,100,90,31
22/05/19,17:03:33,35,100,90,31
22/05/19,17:03:34,34,100,90,31
22/05/19,17:03:34,35,100,90,31
22/05/19,17:03:34,34,100,90,31
22/05/19,17:03:34,33,100,90,31
22/05/19,17:03:34,35,100,90,31
22/05/19,17:03:35,36,100,90,31
22/05/19,17:03:37,31,100,90,31
22/05/19,17:03:37,34,100,90,31
22/05/19,17:03:37,33,100,90,31
22/05/19,17:03:38,24,100,90,31
22/05/19,17:03:38,26,100,90,31
22/05/19,17:03:38,31,100,90,31
22/05/19,17:03:38,35,100,90,31
22/05/19,17:03:38,40,100,90,31
22/05/19,17:03:38,43,100,90,31
22/05/19,17:03:39,41,100,90,31
22/05/19,17:03:39,36,100,90,31
22/05/19,17:03:39,28,100,90,31
22/05/19,17:03:39,31,99,90,31
22/05/19,17:03:39,27,99,90,31
22/05/19,17:03:40,34,99,90,31
22/05/19,17:03:40,25,99,90,31
22/05/19,17:03:40,29,99,90,31
22/05/19,17:03:40,30,99,90,31
22/05/19,17:03:40,37,99,90,31
22/05/19,17:03:41,40,99,90,31
22/05/19,17:03:41,39,99,90,31
22/05/19,17:03:41,39,99,90,31
22/05/19,17:03:41,38,99,90,31
22/05/19,17:03:41,30,99,90,31
22/05/19,17:03:42,25,98,90,31
22/05/19,17:03:42,23,98,90,31
22/05/19,17:03:42,25,98,90,31
22/05/19,17:03:42,29,98,90,31
22/05/19,17:03:42,30,98,90,31
22/05/19,17:03:42,37,98,90,31
22/05/19,17:03:43,38,98,90,31
22/05/19,17:03:43,41,98,90,31
22/05/19,17:03:43,38,98,90,31
22/05/19,17:03:43,36,98,90,31
22/05/19,17:03:43,28,98,90,31
22/05/19,17:03:44,27,97,90,31
22/05/19,17:03:44,24,97,90,31
22/05/19,17:03:44,28,97,90,31
22/05/19,17:03:44,24,97,90,31
22/05/19,17:03:44,31,97,90,31
22/05/19,17:03:45,33,97,90,31
22/05/19,17:03:45,37,97,90,31
22/05/19,17:03:45,41,97,90,31
22/05/19,17:03:45,45,97,90,31
22/05/19,17:03:45,40,97,90,31
22/05/19,17:03:45,34,97,90,31
22/05/19,17:03:46,33,97,90,31
22/05/19,17:03:46,30,96,90,31
22/05/19,17:03:46,25,96,90,31
22/05/19,17:03:46,25,96,90,31
22/05/19,17:03:46,28,96,90,31
22/05/19,17:03:47,29,96,90,31
22/05/19,17:03:47,36,96,90,31
22/05/19,17:03:47,36,96,90,31
22/05/19,17:03:47,42,96,90,31
22/05/19,17:03:47,36,96,90,31
22/05/19,17:03:48,36,96,90,31
22/05/19,17:03:48,29,96,90,31
22/05/19,17:03:48,26,95,90,31
22/05/19,17:03:48,27,95,90,31
22/05/19,17:03:48,34,95,90,31
22/05/19,17:03:48,24,95,90,31
22/05/19,17:03:49,28,95,90,31
22/05/19,17:03:49,32,95,90,31
22/05/19,17:03:49,38,95,90,31
22/05/19,17:03:49,42,95,90,31
22/05/19,17:03:49,45,95,90,31
22/05/19,17:03:50,40,95,90,31
22/05/19,17:03:50,38,95,90,31
22/05/19,17:03:50,30,95,90,31
22/05/19,17:03:50,25,94,90,31
22/05/19,17:03:50,26,94,90,31
22/05/19,17:03:51,26,94,90,31
22/05/19,17:03:51,27,94,90,31
22/05/19,17:03:51,28,94,90,31
22/05/19,17:03:51,33,94,90,31
22/05/19,17:03:51,39,94,90,31
22/05/19,17:03:52,41,94,90,31
22/05/19,17:03:52,43,94,90,31
22/05/19,17:03:52,45,94,90,31
22/05/19,17:03:52,34,94,90,31
22/05/19,17:03:52,34,94,90,31
22/05/19,17:03:52,28,94,90,31
22/05/19,17:03:53,26,93,90,31
22/05/19,17:03:53,29,93,90,31
22/05/19,17:03:53,33,93,90,31
22/05/19,17:03:53,22,93,90,31
22/05/19,17:03:53,26,93,90,31
22/05/19,17:03:54,30,93,90,31
22/05/19,17:03:54,35,93,90,31
22/05/19,17:03:54,36,93,90,31
22/05/19,17:03:54,41,93,90,31
22/05/19,17:03:54,39,93,90,31
22/05/19,17:03:55,36,93,90,31
22/05/19,17:03:55,31,93,90,31
22/05/19,17:03:55,29,92,90,31
22/05/19,17:03:55,24,92,90,31
22/05/19,17:03:55,26,92,90,31
22/05/19,17:03:55,26,92,90,31
22/05/19,17:03:56,28,92,90,31
22/05/19,17:03:56,35,92,90,31
22/05/19,17:03:56,37,92,90,31
22/05/19,17:03:56,38,92,90,31
22/05/19,17:03:56,37,92,90,31
22/05/19,17:03:57,31,92,90,31
22/05/19,17:03:57,29,92,90,31
22/05/19,17:03:57,26,91,90,31
22/05/19,17:03:57,28,91,90,31
22/05/19,17:03:57,29,91,90,31
22/05/19,17:03:58,27,91,90,31
22/05/19,17:03:58,33,91,90,31
22/05/19,17:03:58,29,91,90,31
22/05/19,17:03:58,37,91,90,31
22/05/19,17:03:58,37,91,90,31
22/05/19,17:03:58,43,91,90,31
22/05/19,17:03:59,40,91,90,31
22/05/19,17:03:59,36,91,90,31
22/05/19,17:03:59,28,91,90,31
22/05/19,17:03:59,28,90,90,31
22/05/19,17:03:59,24,90,90,31
22/05/19,17:04:00,30,90,90,31
22/05/19,17:04:00,26,90,90,31
22/05/19,17:04:00,32,90,90,31
22/05/19,17:04:00,33,90,90,31
22/05/19,17:04:00,41,90,90,31
22/05/19,17:04:01,40,90,90,31
22/05/19,17:04:01,49,90,90,31
22/05/19,17:04:01,39,90,90,31
22/05/19,17:04:01,34,90,90,31
22/05/19,17:04:01,31,90,90,31
22/05/19,17:04:01,31,89,90,31
22/05/19,17:04:02,22,89,90,31
22/05/19,17:04:02,27,89,90,31
22/05/19,17:04:02,27,89,90,31
22/05/19,17:04:02,28,89,90,31
22/05/19,17:04:02,33,89,90,31
22/05/19,17:04:03,38,89,90,31
22/05/19,17:04:03,39,89,90,31
22/05/19,17:04:03,39,89,90,31
22/05/19,17:04:03,37,89,90,31
22/05/19,17:04:03,31,89,90,31
22/05/19,17:04:04,23,88,90,31
22/05/19,17:04:04,25,88,90,31
22/05/19,17:04:04,29,88,90,31
22/05/19,17:04:04,25,88,90,31
22/05/19,17:04:04,29,88,90,31
22/05/19,17:04:04,32,88,90,31
22/05/19,17:04:05,37,88,90,31
22/05/19,17:04:05,41,88,90,31
22/05/19,17:04:05,44,88,90,31
22/05/19,17:04:05,38,88,90,31
22/05/19,17:04:05,37,88,90,31
22/05/19,17:04:06,33,88,90,31
22/05/19,17:04:06,29,87,90,31
22/05/19,17:04:06,24,87,90,31
22/05/19,17:04:06,23,87,90,31
22/05/19,17:04:06,23,87,90,31
22/05/19,17:04:07,29,87,90,31
22/05/19,17:04:07,35,87,90,31
22/05/19,17:04:07,36,87,90,31
22/05/19,17:04:07,40,87,90,31
22/05/19,17:04:07,35,87,90,31
22/05/19,17:04:08,35,87,90,31
22/05/19,17:04:08,29,87,90,31
22/05/19,17:04:08,21,86,90,31
22/05/19,17:04:08,26,86,90,31
22/05/19,17:04:08,37,86,90,31
22/05/19,17:04:08,21,86,90,31
22/05/19,17:04:09,30,86,90,31
22/05/19,17:04:09,32,86,90,31
22/05/19,17:04:09,37,86,90,31
22/05/19,17:04:09,37,86,90,31
22/05/19,17:04:09,44,86,90,31
22/05/19,17:04:10,38,86,90,31
22/05/19,17:04:10,36,86,90,31
22/05/19,17:04:10,31,86,90,31
22/05/19,17:04:10,29,85,90,31
22/05/19,17:04:10,23,85,90,31
22/05/19,17:04:11,38,85,90,31
22/05/19,17:04:11,22,85,90,31
22/05/19,17:04:11,27,85,90,31
22/05/19,17:04:11,33,85,90,31
22/05/19,17:04:11,37,85,90,31
22/05/19,17:04:11,43,85,90,31
22/05/19,17:04:12,48,85,90,31
22/05/19,17:04:12,44,85,90,31
22/05/19,17:04:12,37,85,90,31
22/05/19,17:04:12,34,85,90,31
22/05/19,17:04:12,28,84,90,31
22/05/19,17:04:13,27,84,90,31
22/05/19,17:04:13,24,84,90,31
22/05/19,17:04:13,24,84,90,31
22/05/19,17:04:13,32,84,90,31
22/05/19,17:04:13,37,84,90,31
22/05/19,17:04:14,40,84,90,31
22/05/19,17:04:14,40,84,90,31
22/05/19,17:04:14,38,84,90,31
22/05/19,17:04:14,36,84,90,31
22/05/19,17:04:14,31,84,90,31
22/05/19,17:04:14,23,83,90,31
