date,time,distance,cnt,pwm,uid
22/05/26,13:49:46,36,100,90,34
22/05/26,13:49:47,39,99,90,34
22/05/26,13:49:47,37,99,90,34
22/05/26,13:49:47,37,99,90,34
22/05/26,13:49:47,26,99,90,34
22/05/26,13:49:47,32,99,90,34
22/05/26,13:49:48,32,99,90,34
22/05/26,13:49:48,36,99,90,34
22/05/26,13:49:48,39,99,90,34
22/05/26,13:49:48,44,99,90,34
22/05/26,13:49:48,41,99,90,34
22/05/26,13:49:49,34,99,90,34
22/05/26,13:49:49,29,99,90,34
22/05/26,13:49:49,27,98,90,34
22/05/26,13:49:49,25,98,90,34
22/05/26,13:49:49,37,98,90,34
22/05/26,13:49:49,27,98,90,34
22/05/26,13:49:50,24,98,90,34
22/05/26,13:49:50,31,98,90,34
22/05/26,13:49:50,35,98,90,34
22/05/26,13:49:50,37,98,90,34
22/05/26,13:49:50,43,98,90,34
22/05/26,13:49:51,37,98,90,34
22/05/26,13:49:51,34,98,90,34
22/05/26,13:49:51,30,98,90,34
22/05/26,13:49:51,29,97,90,34
22/05/26,13:49:51,25,97,90,34
22/05/26,13:49:52,30,97,90,34
22/05/26,13:49:52,22,97,90,34
22/05/26,13:49:52,29,97,90,34
22/05/26,13:49:52,33,97,90,34
22/05/26,13:49:52,36,97,90,34
22/05/26,13:49:52,42,97,90,34
22/05/26,13:49:53,43,97,90,34
22/05/26,13:49:53,37,97,90,34
22/05/26,13:49:53,36,97,90,34
22/05/26,13:49:53,32,97,90,34
22/05/26,13:49:53,26,96,90,34
22/05/26,13:49:54,25,96,90,34
22/05/26,13:49:54,32,96,90,34
22/05/26,13:49:54,27,96,90,34
22/05/26,13:49:54,27,96,90,34
22/05/26,13:49:54,33,96,90,34
22/05/26,13:49:55,38,96,90,34
22/05/26,13:49:55,43,96,90,34
22/05/26,13:49:55,42,96,90,34
22/05/26,13:49:55,42,96,90,34
22/05/26,13:49:55,37,96,90,34
22/05/26,13:49:56,33,96,90,34
22/05/26,13:49:56,30,95,90,34
22/05/26,13:49:56,26,95,90,34
22/05/26,13:49:56,26,95,90,34
22/05/26,13:49:56,31,95,90,34
22/05/26,13:49:56,35,95,90,34
22/05/26,13:49:57,36,95,90,34
22/05/26,13:49:57,40,95,90,34
22/05/26,13:49:57,40,95,90,34
22/05/26,13:49:57,38,95,90,34
22/05/26,13:49:57,38,95,90,34
22/05/26,13:49:58,32,95,90,34
22/05/26,13:49:58,27,94,90,34
22/05/26,13:49:58,26,94,90,34
22/05/26,13:49:58,32,94,90,34
22/05/26,13:49:58,27,94,90,34
22/05/26,13:49:59,28,94,90,34
22/05/26,13:49:59,34,94,90,34
22/05/26,13:49:59,35,94,90,34
22/05/26,13:49:59,42,94,90,34
22/05/26,13:49:59,45,94,90,34
22/05/26,13:49:59,42,94,90,34
22/05/26,13:50:00,37,94,90,34
22/05/26,13:50:00,32,94,90,34
22/05/26,13:50:00,27,93,90,34
22/05/26,13:50:00,25,93,90,34
22/05/26,13:50:00,25,93,90,34
22/05/26,13:50:01,29,93,90,34
22/05/26,13:50:01,32,93,90,34
22/05/26,13:50:01,34,93,90,34
22/05/26,13:50:01,42,93,90,34
22/05/26,13:50:01,42,93,90,34
22/05/26,13:50:02,39,93,90,34
22/05/26,13:50:02,35,93,90,34
22/05/26,13:50:02,31,93,90,34
22/05/26,13:50:02,24,92,90,34
22/05/26,13:50:02,29,92,90,34
