date,time,distance,cnt,pwm,uid
22/06/23,13:16:25,36,100,90,20
22/06/23,13:16:25,30,99,90,20
22/06/23,13:16:26,33,99,90,20
22/06/23,13:16:26,33,99,91,20
22/06/23,13:16:26,28,99,91,20
22/06/23,13:16:26,26,99,91,20
22/06/23,13:16:26,26,99,90,20
22/06/23,13:16:27,34,99,90,20
22/06/23,13:16:27,38,99,91,20
22/06/23,13:16:27,44,99,90,20
22/06/23,13:16:27,35,99,91,20
22/06/23,13:16:27,35,99,90,20
22/06/23,13:16:27,28,99,90,20
22/06/23,13:16:28,23,98,90,20
22/06/23,13:16:28,29,98,90,20
22/06/23,13:16:28,29,98,91,20
22/06/23,13:16:28,26,98,90,20
22/06/23,13:16:28,27,98,90,20
22/06/23,13:16:29,29,98,90,20
22/06/23,13:16:29,37,98,91,20
22/06/23,13:16:29,38,98,91,20
22/06/23,13:16:29,42,98,91,20
22/06/23,13:16:29,38,98,91,20
22/06/23,13:16:30,33,98,91,20
22/06/23,13:16:30,31,98,90,20
22/06/23,13:16:30,24,97,90,20
22/06/23,13:16:30,25,97,91,20
22/06/23,13:16:30,26,97,91,20
22/06/23,13:16:30,26,97,91,20
22/06/23,13:16:31,30,97,90,20
22/06/23,13:16:31,34,97,90,20
22/06/23,13:16:31,41,97,91,20
22/06/23,13:16:31,37,97,91,20
22/06/23,13:16:31,37,97,90,20
22/06/23,13:16:32,33,97,90,20
22/06/23,13:16:32,24,97,90,20
22/06/23,13:16:32,25,96,91,20
22/06/23,13:16:32,25,96,91,20
22/06/23,13:16:32,33,96,91,20
22/06/23,13:16:33,26,96,91,20
22/06/23,13:16:33,28,96,90,20
22/06/23,13:16:33,30,96,90,20
22/06/23,13:16:33,34,96,90,20
22/06/23,13:16:33,40,96,90,20
22/06/23,13:16:33,38,96,91,20
22/06/23,13:16:34,40,96,91,20
22/06/23,13:16:34,34,96,90,20
22/06/23,13:16:34,30,96,90,20
22/06/23,13:16:34,25,95,90,20
22/06/23,13:16:34,26,95,91,20
22/06/23,13:16:35,29,95,91,20
22/06/23,13:16:35,27,95,91,20
22/06/23,13:16:35,29,95,90,20
22/06/23,13:16:35,31,95,90,20
22/06/23,13:16:35,35,95,90,20
22/06/23,13:16:36,39,95,91,20
22/06/23,13:16:36,44,95,91,20
