date,time,distance,cnt,pwm,uid
22/06/27,13:00:12,32,100,90,20
22/06/27,13:00:13,31,99,90,20
22/06/27,13:00:13,31,99,90,20
22/06/27,13:00:13,34,99,90,20
22/06/27,13:00:13,26,99,90,20
22/06/27,13:00:13,24,99,90,20
22/06/27,13:00:14,28,99,90,20
22/06/27,13:00:14,31,99,90,20
22/06/27,13:00:14,40,99,90,20
22/06/27,13:00:14,44,99,90,20
22/06/27,13:00:14,45,99,90,20
22/06/27,13:00:15,46,99,90,20
22/06/27,13:00:15,41,99,90,20
22/06/27,13:00:15,39,99,90,20
22/06/27,13:00:15,33,99,90,20
22/06/27,13:00:15,27,99,90,20
22/06/27,13:00:15,23,98,90,20
22/06/27,13:00:16,24,98,90,20
22/06/27,13:00:16,28,98,90,20
22/06/27,13:00:16,20,98,90,20
22/06/27,13:00:16,25,98,90,20
22/06/27,13:00:16,29,98,90,20
22/06/27,13:00:17,33,98,90,20
22/06/27,13:00:17,38,98,90,20
22/06/27,13:00:17,43,98,90,20
22/06/27,13:00:17,46,98,90,20
22/06/27,13:00:17,39,98,90,20
22/06/27,13:00:18,37,98,90,20
22/06/27,13:00:18,31,98,90,20
22/06/27,13:00:18,29,98,90,20
22/06/27,13:00:18,24,97,90,20
22/06/27,13:00:18,26,97,90,20
22/06/27,13:00:18,34,97,90,20
22/06/27,13:00:19,26,97,90,20
22/06/27,13:00:19,21,97,90,20
22/06/27,13:00:19,25,97,90,20
22/06/27,13:00:19,30,97,90,20
22/06/27,13:00:19,35,97,90,20
22/06/27,13:00:20,39,97,90,20
22/06/27,13:00:20,45,97,90,20
22/06/27,13:00:20,51,97,90,20
22/06/27,13:00:20,61,97,90,20
22/06/27,13:00:20,60,97,90,20
22/06/27,13:00:21,54,97,90,20
22/06/27,13:00:21,47,97,90,20
22/06/27,13:00:21,44,97,90,20
22/06/27,13:00:21,39,97,90,20
22/06/27,13:00:21,35,97,90,20
22/06/27,13:00:21,31,97,90,20
22/06/27,13:00:22,25,96,90,20
22/06/27,13:00:22,21,96,90,20
22/06/27,13:00:22,26,96,90,20
22/06/27,13:00:22,22,96,90,20
22/06/27,13:00:22,25,96,90,20
22/06/27,13:00:23,29,96,90,20
22/06/27,13:00:23,37,96,90,20
22/06/27,13:00:23,39,96,90,20
22/06/27,13:00:23,46,96,90,20
22/06/27,13:00:23,49,96,90,20
22/06/27,13:00:24,52,96,90,20
22/06/27,13:00:24,56,96,90,20
22/06/27,13:00:24,57,96,90,20
22/06/27,13:00:24,43,96,90,20
22/06/27,13:00:24,39,96,90,20
22/06/27,13:00:24,38,96,90,20
22/06/27,13:00:25,36,96,90,20
22/06/27,13:00:25,29,96,90,20
22/06/27,13:00:25,24,95,90,20
22/06/27,13:00:25,21,95,90,20
22/06/27,13:00:25,32,95,90,20
22/06/27,13:00:26,23,95,90,20
22/06/27,13:00:26,25,95,90,20
22/06/27,13:00:26,29,95,90,20
22/06/27,13:00:26,32,95,90,20
22/06/27,13:00:26,39,95,90,20
22/06/27,13:00:27,44,95,90,20
22/06/27,13:00:27,45,95,90,20
22/06/27,13:00:27,54,95,90,20
22/06/27,13:00:27,53,95,90,20
22/06/27,13:00:27,51,95,90,20
22/06/27,13:00:27,42,95,90,20
22/06/27,13:00:28,40,95,90,20
22/06/27,13:00:28,34,95,90,20
22/06/27,13:00:28,33,95,90,20
22/06/27,13:00:28,26,95,90,20
22/06/27,13:00:28,24,94,90,20
22/06/27,13:00:29,22,94,90,20
22/06/27,13:00:29,33,94,90,20
22/06/27,13:00:29,24,94,90,20
22/06/27,13:00:29,21,94,90,20
22/06/27,13:00:29,26,94,90,20
22/06/27,13:00:30,33,94,90,20
22/06/27,13:00:30,36,94,90,20
22/06/27,13:00:30,43,94,90,20
22/06/27,13:00:30,47,94,90,20
22/06/27,13:00:30,47,94,90,20
