date,time,distance,cnt,pwm,uid
22/06/30,09:13:11,30,100,95,20
22/06/30,09:13:11,30,99,95,20
22/06/30,09:13:11,29,99,95,20
22/06/30,09:13:11,28,99,95,20
22/06/30,09:13:11,21,99,95,20
22/06/30,09:13:12,22,99,95,20
22/06/30,09:13:12,29,99,95,20
22/06/30,09:13:12,31,99,95,20
22/06/30,09:13:12,40,99,95,20
22/06/30,09:13:12,40,99,95,20
22/06/30,09:13:12,37,99,95,20
22/06/30,09:13:13,34,99,95,20
22/06/30,09:13:13,27,99,95,20
22/06/30,09:13:13,23,98,95,20
22/06/30,09:13:13,22,98,95,20
22/06/30,09:13:13,26,98,95,20
22/06/30,09:13:14,23,98,95,20
22/06/30,09:13:14,24,98,95,20
22/06/30,09:13:14,30,98,95,20
22/06/30,09:13:14,36,98,95,20
22/06/30,09:13:14,40,98,95,20
22/06/30,09:13:14,38,98,95,20
22/06/30,09:13:15,38,98,95,20
22/06/30,09:13:15,32,98,95,20
22/06/30,09:13:15,29,98,95,20
22/06/30,09:13:15,22,97,95,20
22/06/30,09:13:15,21,97,95,20
22/06/30,09:13:16,27,97,95,20
22/06/30,09:13:16,21,97,95,20
22/06/30,09:13:16,24,97,95,20
22/06/30,09:13:16,30,97,95,20
22/06/30,09:13:16,33,97,95,20
22/06/30,09:13:17,39,97,95,20
22/06/30,09:13:17,42,97,95,20
22/06/30,09:13:17,39,97,95,20
22/06/30,09:13:17,33,97,95,20
22/06/30,09:13:17,27,97,95,20
22/06/30,09:13:17,22,96,95,20
22/06/30,09:13:18,24,96,95,20
22/06/30,09:13:18,22,96,95,20
22/06/30,09:13:18,21,96,95,20
22/06/30,09:13:18,25,96,95,20
22/06/30,09:13:18,31,96,95,20
22/06/30,09:13:19,34,96,95,20
22/06/30,09:13:19,40,96,95,20
22/06/30,09:13:19,39,96,95,20
22/06/30,09:13:19,36,96,95,20
22/06/30,09:13:19,33,96,95,20
22/06/30,09:13:19,31,96,95,20
22/06/30,09:13:20,25,96,95,20
22/06/30,09:13:20,24,95,95,20
22/06/30,09:13:20,25,95,95,20
22/06/30,09:13:20,34,95,95,20
22/06/30,09:13:20,20,95,95,20
22/06/30,09:13:21,20,95,95,20
22/06/30,09:13:21,27,95,95,20
22/06/30,09:13:21,32,95,95,20
22/06/30,09:13:21,35,95,95,20
22/06/30,09:13:21,37,95,95,20
22/06/30,09:13:21,36,95,95,20
22/06/30,09:13:22,33,95,95,20
22/06/30,09:13:22,25,95,95,20
22/06/30,09:13:22,21,94,95,20
22/06/30,09:13:22,20,94,95,20
22/06/30,09:13:22,25,94,95,20
22/06/30,09:13:23,20,94,95,20
22/06/30,09:13:23,25,94,95,20
22/06/30,09:13:23,29,94,95,20
22/06/30,09:13:23,33,94,95,20
22/06/30,09:13:23,40,94,95,20
22/06/30,09:13:24,40,94,95,20
22/06/30,09:13:24,36,94,95,20
22/06/30,09:13:24,30,94,95,20
22/06/30,09:13:24,24,94,95,20
22/06/30,09:13:24,23,93,95,20
22/06/30,09:13:24,20,93,95,20
22/06/30,09:13:25,33,93,95,20
22/06/30,09:13:25,21,93,95,20
22/06/30,09:13:25,22,93,95,20
22/06/30,09:13:25,27,93,95,20
22/06/30,09:13:25,31,93,95,20
22/06/30,09:13:26,38,93,95,20
22/06/30,09:13:26,40,93,95,20
22/06/30,09:13:26,33,93,95,20
22/06/30,09:13:26,31,93,95,20
22/06/30,09:13:26,25,93,95,20
22/06/30,09:13:27,21,92,95,20
22/06/30,09:13:27,25,92,95,20
22/06/30,09:13:27,25,92,95,20
22/06/30,09:13:27,24,92,95,20
22/06/30,09:13:27,24,92,95,20
22/06/30,09:13:27,26,92,95,20
