date,time,distance,cnt,pwm,uid
22/07/03,15:26:10,26,100,90,20
22/07/03,15:26:10,21,99,90,20
22/07/03,15:26:10,26,99,90,20
22/07/03,15:26:11,25,99,90,20
22/07/03,15:26:11,22,99,90,20
22/07/03,15:26:11,23,99,90,20
22/07/03,15:26:11,22,99,90,20
22/07/03,15:26:11,24,99,90,20
22/07/03,15:26:11,22,99,90,20
22/07/03,15:26:12,27,99,90,20
22/07/03,15:26:12,19,99,90,20
22/07/03,15:26:12,21,99,90,20
22/07/03,15:26:12,25,99,90,20
22/07/03,15:26:12,27,99,90,20
22/07/03,15:26:13,25,99,90,20
22/07/03,15:26:13,25,99,90,20
22/07/03,15:26:13,27,99,90,20
22/07/03,15:26:13,25,99,90,20
22/07/03,15:26:13,23,99,90,20
22/07/03,15:26:14,24,99,90,20
22/07/03,15:26:14,23,99,90,20
22/07/03,15:26:14,22,99,90,20
22/07/03,15:26:14,32,99,90,20
22/07/03,15:26:14,34,99,90,20
22/07/03,15:26:14,37,99,90,20
22/07/03,15:26:15,37,99,90,20
22/07/03,15:26:15,39,99,90,20
22/07/03,15:26:15,34,99,90,20
22/07/03,15:26:15,29,99,90,20
22/07/03,15:26:15,23,98,90,20
22/07/03,15:26:16,21,98,90,20
22/07/03,15:26:16,24,98,90,20
22/07/03,15:26:16,21,98,90,20
22/07/03,15:26:16,23,98,90,20
22/07/03,15:26:16,29,98,90,20
22/07/03,15:26:16,37,98,90,20
22/07/03,15:26:17,39,98,90,20
22/07/03,15:26:17,41,98,90,20
22/07/03,15:26:17,41,98,90,20
22/07/03,15:26:17,33,98,90,20
22/07/03,15:26:17,29,98,90,20
22/07/03,15:26:18,24,98,90,20
22/07/03,15:26:18,23,97,90,20
22/07/03,15:26:18,28,97,90,20
22/07/03,15:26:18,38,97,90,20
22/07/03,15:26:18,20,97,90,20
22/07/03,15:26:19,21,97,90,20
22/07/03,15:26:19,26,97,90,20
22/07/03,15:26:19,33,97,90,20
22/07/03,15:26:19,36,97,90,20
22/07/03,15:26:19,37,97,90,20
22/07/03,15:26:19,38,97,90,20
22/07/03,15:26:20,31,97,90,20
22/07/03,15:26:20,25,97,90,20
22/07/03,15:26:20,21,96,90,20
22/07/03,15:26:20,23,96,90,20
22/07/03,15:26:20,23,96,90,20
22/07/03,15:26:21,26,96,90,20
22/07/03,15:26:21,26,96,90,20
22/07/03,15:26:21,30,96,90,20
22/07/03,15:26:21,29,96,90,20
22/07/03,15:26:21,39,96,90,20
22/07/03,15:26:21,37,96,90,20
22/07/03,15:26:22,35,96,90,20
22/07/03,15:26:22,32,96,90,20
22/07/03,15:26:22,30,96,90,20
22/07/03,15:26:22,23,95,90,20
22/07/03,15:26:22,24,95,90,20
22/07/03,15:26:23,21,95,90,20
22/07/03,15:26:23,21,95,90,20
22/07/03,15:26:23,28,95,90,20
22/07/03,15:26:23,32,95,90,20
22/07/03,15:26:23,35,95,90,20
22/07/03,15:26:24,40,95,90,20
22/07/03,15:26:24,42,95,90,20
22/07/03,15:26:24,39,95,90,20
22/07/03,15:26:24,36,95,90,20
22/07/03,15:26:24,30,95,90,20
22/07/03,15:26:24,21,95,90,20
22/07/03,15:26:25,22,94,90,20
22/07/03,15:26:25,27,94,90,20
22/07/03,15:26:25,27,94,90,20
22/07/03,15:26:25,25,94,90,20
22/07/03,15:26:25,26,94,90,20
22/07/03,15:26:26,24,94,90,20
22/07/03,15:26:26,34,94,90,20
22/07/03,15:26:26,36,94,90,20
22/07/03,15:26:26,39,94,90,20
22/07/03,15:26:26,36,94,90,20
22/07/03,15:26:27,30,94,90,20
22/07/03,15:26:27,27,94,90,20
22/07/03,15:26:27,21,93,90,20
22/07/03,15:26:27,25,93,90,20
22/07/03,15:26:27,26,93,90,20
22/07/03,15:26:27,20,93,90,20
22/07/03,15:26:28,23,93,90,20
22/07/03,15:26:28,29,93,90,20
22/07/03,15:26:28,34,93,90,20
22/07/03,15:26:28,39,93,90,20
22/07/03,15:26:28,36,93,90,20
22/07/03,15:26:29,36,93,90,20
22/07/03,15:26:29,34,93,90,20
22/07/03,15:26:29,28,93,90,20
22/07/03,15:26:29,26,92,90,20
22/07/03,15:26:29,23,92,90,20
22/07/03,15:26:29,22,92,90,20
22/07/03,15:26:30,20,92,90,20
22/07/03,15:26:30,23,92,90,20
22/07/03,15:26:30,30,92,90,20
22/07/03,15:26:30,35,92,90,20
22/07/03,15:26:30,40,92,90,20
22/07/03,15:26:31,39,92,90,20
22/07/03,15:26:31,37,92,90,20
22/07/03,15:26:31,34,92,90,20
22/07/03,15:26:31,27,92,90,20
22/07/03,15:26:31,22,91,90,20
22/07/03,15:26:32,23,91,90,20
22/07/03,15:26:32,22,91,90,20
22/07/03,15:26:32,19,91,90,20
22/07/03,15:26:32,25,91,90,20
22/07/03,15:26:32,32,91,90,20
22/07/03,15:26:32,37,91,90,20
22/07/03,15:26:33,39,91,90,20
22/07/03,15:26:33,35,91,90,20
22/07/03,15:26:33,30,91,90,20
22/07/03,15:26:33,24,91,90,20
22/07/03,15:26:33,22,90,90,20
22/07/03,15:26:34,22,90,90,20
22/07/03,15:26:34,29,90,90,20
22/07/03,15:26:34,20,90,90,20
22/07/03,15:26:34,20,90,90,20
22/07/03,15:26:34,30,90,90,20
22/07/03,15:26:34,32,90,90,20
22/07/03,15:26:35,36,90,90,20
22/07/03,15:26:35,41,90,90,20
22/07/03,15:26:35,35,90,90,20
22/07/03,15:26:35,30,90,90,20
22/07/03,15:26:35,27,90,90,20
22/07/03,15:26:36,22,89,90,20
22/07/03,15:26:36,22,89,90,20
22/07/03,15:26:36,32,89,90,20
22/07/03,15:26:36,25,89,90,20
22/07/03,15:26:36,22,89,90,20
22/07/03,15:26:36,29,89,90,20
22/07/03,15:26:37,34,89,90,20
22/07/03,15:26:37,39,89,90,20
22/07/03,15:26:37,39,89,90,20
22/07/03,15:26:37,32,89,90,20
22/07/03,15:26:37,33,89,90,20
