date,time,distance,cnt,pwm,uid
22/07/07,09:59:40,29,100,80,20
22/07/07,09:59:40,28,99,80,20
22/07/07,09:59:40,32,99,80,20
22/07/07,09:59:40,36,99,80,20
22/07/07,09:59:40,27,99,80,20
22/07/07,09:59:40,28,99,80,20
22/07/07,09:59:41,30,99,80,20
22/07/07,09:59:41,32,99,80,20
22/07/07,09:59:41,35,99,80,20
22/07/07,09:59:41,40,99,80,20
22/07/07,09:59:41,42,99,80,20
22/07/07,09:59:42,39,99,80,20
22/07/07,09:59:42,34,99,80,20
22/07/07,09:59:42,32,99,80,20
22/07/07,09:59:42,30,99,80,20
22/07/07,09:59:42,22,98,80,20
22/07/07,09:59:43,28,98,80,20
22/07/07,09:59:43,38,98,80,20
22/07/07,09:59:43,29,98,80,20
22/07/07,09:59:43,27,98,80,20
22/07/07,09:59:43,28,98,80,20
22/07/07,09:59:43,34,98,80,20
22/07/07,09:59:44,38,98,80,20
22/07/07,09:59:44,38,98,80,20
22/07/07,09:59:44,38,98,80,20
22/07/07,09:59:44,40,98,80,20
22/07/07,09:59:44,33,98,80,20
22/07/07,09:59:45,36,98,80,20
22/07/07,09:59:45,28,98,80,20
22/07/07,09:59:45,25,97,80,20
22/07/07,09:59:45,25,97,80,20
22/07/07,09:59:45,32,97,80,20
22/07/07,09:59:46,26,97,80,20
22/07/07,09:59:46,26,97,80,20
22/07/07,09:59:46,29,97,80,20
22/07/07,09:59:46,31,97,80,20
22/07/07,09:59:46,37,97,80,20
22/07/07,09:59:46,41,97,80,20
22/07/07,09:59:47,46,97,80,20
22/07/07,09:59:47,37,97,80,20
22/07/07,09:59:47,37,97,80,20
22/07/07,09:59:47,33,97,80,20
22/07/07,09:59:47,30,97,80,20
22/07/07,09:59:48,25,96,80,20
22/07/07,09:59:48,28,96,80,20
22/07/07,09:59:48,27,96,80,20
22/07/07,09:59:48,24,96,80,20
22/07/07,09:59:48,27,96,80,20
22/07/07,09:59:49,32,96,80,20
22/07/07,09:59:49,37,96,80,20
22/07/07,09:59:49,35,96,80,20
22/07/07,09:59:49,38,96,80,20
22/07/07,09:59:49,37,96,80,20
22/07/07,09:59:49,35,96,80,20
22/07/07,09:59:50,29,96,80,20
22/07/07,09:59:50,28,95,80,20
22/07/07,09:59:50,27,95,80,20
22/07/07,09:59:50,23,95,80,20
22/07/07,09:59:50,26,95,80,20
22/07/07,09:59:51,27,95,80,20
22/07/07,09:59:51,32,95,80,20
22/07/07,09:59:51,34,95,80,20
22/07/07,09:59:51,40,95,80,20
22/07/07,09:59:51,39,95,80,20
22/07/07,09:59:52,35,95,80,20
22/07/07,09:59:52,31,95,80,20
22/07/07,09:59:52,30,95,80,20
22/07/07,09:59:52,24,94,80,20
22/07/07,09:59:52,26,94,80,20
22/07/07,09:59:53,30,94,80,20
22/07/07,09:59:53,26,94,80,20
22/07/07,09:59:53,26,94,80,20
22/07/07,09:59:53,29,94,80,20
22/07/07,09:59:53,35,94,80,20
22/07/07,09:59:53,37,94,80,20
22/07/07,09:59:54,41,94,80,20
22/07/07,09:59:54,40,94,80,20
22/07/07,09:59:54,39,94,80,20
22/07/07,09:59:54,36,94,80,20
22/07/07,09:59:54,34,94,80,20
22/07/07,09:59:55,28,94,80,20
22/07/07,09:59:55,28,93,80,20
22/07/07,09:59:55,26,93,80,20
22/07/07,09:59:55,28,93,80,20
22/07/07,09:59:55,25,93,80,20
22/07/07,09:59:56,28,93,80,20
22/07/07,09:59:56,32,93,80,20
22/07/07,09:59:56,35,93,80,20
22/07/07,09:59:56,39,93,80,20
22/07/07,09:59:56,40,93,80,20
22/07/07,09:59:56,37,93,80,20
22/07/07,09:59:57,36,93,80,20
22/07/07,09:59:57,30,93,80,20
22/07/07,09:59:57,27,92,80,20
22/07/07,09:59:57,32,92,80,20
22/07/07,09:59:57,25,92,80,20
22/07/07,09:59:58,28,92,80,20
22/07/07,09:59:58,29,92,80,20
22/07/07,09:59:58,32,92,80,20
22/07/07,09:59:58,37,92,80,20
22/07/07,09:59:58,40,92,80,20
22/07/07,09:59:59,41,92,80,20
22/07/07,09:59:59,41,92,80,20
22/07/07,09:59:59,34,92,80,20
22/07/07,09:59:59,29,92,80,20
22/07/07,09:59:59,28,91,80,20
22/07/07,09:59:59,31,91,80,20
22/07/07,10:00:00,26,91,80,20
22/07/07,10:00:00,26,91,80,20
22/07/07,10:00:00,30,91,80,20
22/07/07,10:00:00,32,91,80,20
22/07/07,10:00:00,36,91,80,20
22/07/07,10:00:01,37,91,80,20
22/07/07,10:00:01,41,91,80,20
22/07/07,10:00:01,41,91,80,20
22/07/07,10:00:01,37,91,80,20
22/07/07,10:00:01,32,91,80,20
22/07/07,10:00:02,23,90,80,20
22/07/07,10:00:02,27,90,80,20
22/07/07,10:00:02,26,90,80,20
22/07/07,10:00:02,28,90,80,20
22/07/07,10:00:02,30,90,80,20
22/07/07,10:00:02,29,90,80,20
22/07/07,10:00:03,36,90,80,20
22/07/07,10:00:03,39,90,80,20
22/07/07,10:00:03,40,90,80,20
22/07/07,10:00:03,37,90,80,20
22/07/07,10:00:03,33,90,80,20
22/07/07,10:00:04,32,90,80,20
22/07/07,10:00:04,27,90,80,20
22/07/07,10:00:04,25,89,80,20
22/07/07,10:00:04,27,89,80,20
22/07/07,10:00:04,30,89,80,20
22/07/07,10:00:05,28,89,80,20
22/07/07,10:00:05,27,89,80,20
22/07/07,10:00:05,29,89,80,20
22/07/07,10:00:05,35,89,80,20
22/07/07,10:00:05,37,89,80,20
22/07/07,10:00:05,40,89,80,20
22/07/07,10:00:06,39,89,80,20
22/07/07,10:00:06,41,89,80,20
22/07/07,10:00:06,35,89,80,20
22/07/07,10:00:06,36,89,80,20
22/07/07,10:00:06,28,89,80,20
22/07/07,10:00:07,26,88,80,20
22/07/07,10:00:07,26,88,80,20
22/07/07,10:00:07,26,88,80,20
22/07/07,10:00:07,29,88,80,20
22/07/07,10:00:07,26,88,80,20
22/07/07,10:00:08,30,88,80,20
22/07/07,10:00:08,35,88,80,20
22/07/07,10:00:08,37,88,80,20
22/07/07,10:00:08,41,88,80,20
22/07/07,10:00:08,37,88,80,20
22/07/07,10:00:08,36,88,80,20
22/07/07,10:00:09,33,88,80,20
22/07/07,10:00:09,27,87,80,20
22/07/07,10:00:09,27,87,80,20
22/07/07,10:00:09,26,87,80,20
22/07/07,10:00:09,26,87,80,20
22/07/07,10:00:10,26,87,80,20
22/07/07,10:00:10,31,87,80,20
22/07/07,10:00:10,36,87,80,20
22/07/07,10:00:10,40,87,80,20
22/07/07,10:00:10,39,87,80,20
22/07/07,10:00:11,36,87,80,20
22/07/07,10:00:11,33,87,80,20
22/07/07,10:00:11,29,87,80,20
22/07/07,10:00:11,24,86,80,20
22/07/07,10:00:11,25,86,80,20
22/07/07,10:00:12,23,86,80,20
22/07/07,10:00:12,26,86,80,20
22/07/07,10:00:12,31,86,80,20
22/07/07,10:00:12,33,86,80,20
22/07/07,10:00:12,36,86,80,20
22/07/07,10:00:12,40,86,80,20
22/07/07,10:00:13,39,86,80,20
22/07/07,10:00:13,35,86,80,20
22/07/07,10:00:13,34,86,80,20
22/07/07,10:00:13,28,86,80,20
22/07/07,10:00:13,29,85,80,20
22/07/07,10:00:14,27,85,80,20
22/07/07,10:00:14,25,85,80,20
22/07/07,10:00:14,24,85,80,20
22/07/07,10:00:14,27,85,80,20
22/07/07,10:00:14,33,85,80,20
22/07/07,10:00:14,37,85,80,20
22/07/07,10:00:15,39,85,80,20
22/07/07,10:00:15,39,85,80,20
22/07/07,10:00:15,37,85,80,20
22/07/07,10:00:15,35,85,80,20
22/07/07,10:00:15,29,85,80,20
22/07/07,10:00:16,28,84,80,20
22/07/07,10:00:16,27,84,80,20
22/07/07,10:00:16,28,84,80,20
22/07/07,10:00:16,25,84,80,20
22/07/07,10:00:16,31,84,80,20
22/07/07,10:00:17,34,84,80,20
22/07/07,10:00:17,32,84,80,20
22/07/07,10:00:17,39,84,80,20
22/07/07,10:00:17,44,84,80,20
22/07/07,10:00:17,37,84,80,20
22/07/07,10:00:17,37,84,80,20
22/07/07,10:00:18,31,84,80,20
22/07/07,10:00:18,28,84,80,20
22/07/07,10:00:18,25,83,80,20
22/07/07,10:00:18,27,83,80,20
22/07/07,10:00:18,29,83,80,20
22/07/07,10:00:19,28,83,80,20
22/07/07,10:00:19,26,83,80,20
22/07/07,10:00:19,30,83,80,20
22/07/07,10:00:19,34,83,80,20
22/07/07,10:00:19,39,83,80,20
