date,time,distance,cnt,pwm,uid
22/07/10,13:42:54,29,100,95,20
22/07/10,13:42:54,28,99,95,20
22/07/10,13:42:54,29,99,95,20
22/07/10,13:42:54,27,99,95,20
22/07/10,13:42:55,28,99,95,20
22/07/10,13:42:55,27,99,95,20
22/07/10,13:42:55,35,99,95,20
22/07/10,13:42:55,38,99,95,20
22/07/10,13:42:55,42,99,95,20
22/07/10,13:42:55,45,99,95,20
22/07/10,13:42:56,41,99,95,20
22/07/10,13:42:56,32,99,95,20
22/07/10,13:42:56,34,99,95,20
22/07/10,13:42:56,31,98,95,20
22/07/10,13:42:56,29,98,95,20
22/07/10,13:42:57,27,98,95,20
22/07/10,13:42:57,27,98,95,20
22/07/10,13:42:57,27,98,95,20
22/07/10,13:42:57,33,98,95,20
22/07/10,13:42:57,38,98,95,20
22/07/10,13:42:57,43,98,95,20
22/07/10,13:42:58,47,98,95,20
22/07/10,13:42:58,41,98,95,20
22/07/10,13:42:58,36,98,95,20
22/07/10,13:42:58,34,98,95,20
22/07/10,13:42:58,29,97,95,20
22/07/10,13:42:59,26,97,95,20
22/07/10,13:42:59,26,97,95,20
22/07/10,13:42:59,25,97,95,20
22/07/10,13:42:59,31,97,95,20
22/07/10,13:42:59,33,97,95,20
22/07/10,13:43:00,38,97,95,20
22/07/10,13:43:00,38,97,95,20
22/07/10,13:43:00,35,97,95,20
22/07/10,13:43:00,34,97,95,20
22/07/10,13:43:00,31,97,95,20
22/07/10,13:43:00,24,96,95,20
22/07/10,13:43:01,26,96,95,20
22/07/10,13:43:01,33,96,95,20
22/07/10,13:43:01,26,96,95,20
22/07/10,13:43:01,28,96,95,20
22/07/10,13:43:01,35,96,95,20
22/07/10,13:43:02,37,96,95,20
22/07/10,13:43:02,43,96,95,20
22/07/10,13:43:02,43,96,95,20
22/07/10,13:43:02,37,96,95,20
22/07/10,13:43:02,36,96,95,20
22/07/10,13:43:02,30,96,95,20
22/07/10,13:43:03,29,95,95,20
22/07/10,13:43:03,25,95,95,20
22/07/10,13:43:03,32,95,95,20
22/07/10,13:43:03,27,95,95,20
22/07/10,13:43:03,25,95,95,20
22/07/10,13:43:04,36,95,95,20
22/07/10,13:43:04,40,95,95,20
22/07/10,13:43:04,42,95,95,20
22/07/10,13:43:04,41,95,95,20
22/07/10,13:43:04,41,95,95,20
22/07/10,13:43:05,37,95,95,20
22/07/10,13:43:05,33,95,95,20
22/07/10,13:43:05,26,94,95,20
22/07/10,13:43:05,27,94,95,20
22/07/10,13:43:05,29,94,95,20
22/07/10,13:43:05,29,94,95,20
22/07/10,13:43:06,28,94,95,20
22/07/10,13:43:06,33,94,95,20
22/07/10,13:43:06,38,94,95,20
22/07/10,13:43:06,41,94,95,20
22/07/10,13:43:06,42,94,95,20
22/07/10,13:43:07,39,94,95,20
22/07/10,13:43:07,37,94,95,20
22/07/10,13:43:07,33,94,95,20
22/07/10,13:43:07,29,93,95,20
22/07/10,13:43:07,27,93,95,20
22/07/10,13:43:07,27,93,95,20
22/07/10,13:43:08,28,93,95,20
22/07/10,13:43:08,29,93,95,20
22/07/10,13:43:08,34,93,95,20
22/07/10,13:43:08,41,93,95,20
22/07/10,13:43:08,42,93,95,20
22/07/10,13:43:09,47,93,95,20
