----------------------------------
date,time,distance,cnt,pwm,uid
22/07/14,09:48:28,26,100,95,20
22/07/14,09:48:28,26,99,95,20
22/07/14,09:48:28,30,99,95,20
22/07/14,09:48:28,27,99,95,20
22/07/14,09:48:28,27,99,95,20
22/07/14,09:48:28,26,99,95,20
22/07/14,09:48:29,33,99,95,20
22/07/14,09:48:29,38,99,95,20
22/07/14,09:48:29,41,99,95,20
22/07/14,09:48:29,45,99,95,20
22/07/14,09:48:29,40,99,95,20
22/07/14,09:48:30,37,99,95,20
22/07/14,09:48:30,31,99,95,20
22/07/14,09:48:30,30,98,95,20
22/07/14,09:48:30,26,98,95,20
22/07/14,09:48:30,26,98,95,20
22/07/14,09:48:31,25,98,95,20
22/07/14,09:48:31,29,98,95,20
22/07/14,09:48:31,35,98,95,20
22/07/14,09:48:31,39,98,95,20
22/07/14,09:48:31,39,98,95,20
22/07/14,09:48:31,33,98,95,20
22/07/14,09:48:32,31,98,95,20
22/07/14,09:48:32,33,98,95,20
22/07/14,09:48:32,25,97,95,20
22/07/14,09:48:32,30,97,95,20
22/07/14,09:48:32,32,97,95,20
22/07/14,09:48:33,26,97,95,20
22/07/14,09:48:33,29,97,95,20
22/07/14,09:48:33,32,97,95,20
22/07/14,09:48:33,38,97,95,20
22/07/14,09:48:33,41,97,95,20
22/07/14,09:48:34,45,97,95,20
22/07/14,09:48:34,38,97,95,20
22/07/14,09:48:34,36,97,95,20
22/07/14,09:48:34,31,97,95,20
22/07/14,09:48:34,25,96,95,20
22/07/14,09:48:34,28,96,95,20
22/07/14,09:48:35,28,96,95,20
22/07/14,09:48:35,24,96,95,20
22/07/14,09:48:35,29,96,95,20
22/07/14,09:48:35,33,96,95,20
22/07/14,09:48:35,36,96,95,20
22/07/14,09:48:36,41,96,95,20
22/07/14,09:48:36,43,96,95,20
22/07/14,09:48:36,39,96,95,20
22/07/14,09:48:36,36,96,95,20
22/07/14,09:48:36,29,96,95,20
22/07/14,09:48:37,28,95,95,20
22/07/14,09:48:37,26,95,95,20
22/07/14,09:48:37,27,95,95,20
22/07/14,09:48:37,27,95,95,20
22/07/14,09:48:37,29,95,95,20
22/07/14,09:48:37,31,95,95,20
22/07/14,09:48:38,37,95,95,20
22/07/14,09:48:38,39,95,95,20
22/07/14,09:48:38,34,95,95,20
22/07/14,09:48:38,33,95,95,20
22/07/14,09:48:38,24,94,95,20
22/07/14,09:48:39,27,94,95,20
22/07/14,09:48:39,23,94,95,20
22/07/14,09:48:39,27,94,95,20
22/07/14,09:48:39,27,94,95,20
22/07/14,09:48:39,37,94,95,20
22/07/14,09:48:40,41,94,95,20
22/07/14,09:48:40,42,94,95,20
22/07/14,09:48:40,36,94,95,20
22/07/14,09:48:40,35,94,95,20
22/07/14,09:48:40,30,94,95,20
22/07/14,09:48:40,29,93,95,20
22/07/14,09:48:41,28,93,95,20
22/07/14,09:48:41,28,93,95,20
22/07/14,09:48:41,25,93,95,20
22/07/14,09:48:41,26,93,95,20
22/07/14,09:48:41,34,93,95,20
22/07/14,09:48:42,37,93,95,20
22/07/14,09:48:42,38,93,95,20
22/07/14,09:48:42,44,93,95,20
22/07/14,09:48:42,42,93,95,20
22/07/14,09:48:42,36,93,95,20
22/07/14,09:48:43,32,93,95,20
22/07/14,09:48:43,25,92,95,20
22/07/14,09:48:43,28,92,95,20
22/07/14,09:48:43,26,92,95,20
22/07/14,09:48:43,29,92,95,20
22/07/14,09:48:43,27,92,95,20
22/07/14,09:48:44,35,92,95,20
22/07/14,09:48:44,37,92,95,20
22/07/14,09:48:44,40,92,95,20
22/07/14,09:48:44,37,92,95,20
22/07/14,09:48:44,32,92,95,20
22/07/14,09:48:45,27,91,95,20
22/07/14,09:48:45,26,91,95,20
22/07/14,09:48:45,26,91,95,20
22/07/14,09:48:45,28,91,95,20
22/07/14,09:48:45,31,91,95,20
22/07/14,09:48:46,34,91,95,20
22/07/14,09:48:46,36,91,95,20
22/07/14,09:48:46,39,91,95,20
22/07/14,09:48:46,38,91,95,20
22/07/14,09:48:46,34,91,95,20
22/07/14,09:48:46,28,91,95,20
22/07/14,09:48:47,25,90,95,20
22/07/14,09:48:47,28,90,95,20
22/07/14,09:48:47,34,90,95,20
22/07/14,09:48:47,27,90,95,20
22/07/14,09:48:47,26,90,95,20
22/07/14,09:48:48,34,90,95,20
22/07/14,09:48:48,40,90,95,20
22/07/14,09:48:48,43,90,95,20
22/07/14,09:48:48,45,90,95,20
22/07/14,09:48:48,37,90,95,20
22/07/14,09:48:49,33,90,95,20
22/07/14,09:48:49,28,90,95,20
22/07/14,09:48:49,26,89,95,20
22/07/14,09:48:49,28,89,95,20
22/07/14,09:48:49,26,89,95,20
22/07/14,09:48:49,26,89,95,20
22/07/14,09:48:50,28,89,95,20
22/07/14,09:48:50,35,89,95,20
22/07/14,09:48:50,35,89,95,20
22/07/14,09:48:50,42,89,95,20
22/07/14,09:48:50,44,89,95,20
22/07/14,09:48:51,40,89,95,20
22/07/14,09:48:51,36,89,95,20
22/07/14,09:48:51,33,89,95,20
22/07/14,09:48:51,25,88,95,20
22/07/14,09:48:51,27,88,95,20
22/07/14,09:48:52,25,88,95,20
22/07/14,09:48:52,25,88,95,20
22/07/14,09:48:52,29,88,95,20
22/07/14,09:48:52,32,88,95,20
22/07/14,09:48:52,37,88,95,20
22/07/14,09:48:52,40,88,95,20
22/07/14,09:48:53,38,88,95,20
22/07/14,09:48:53,32,88,95,20
22/07/14,09:48:53,29,88,95,20
22/07/14,09:48:53,28,87,95,20
22/07/14,09:48:53,29,87,95,20
22/07/14,09:48:54,32,87,95,20
22/07/14,09:48:54,28,87,95,20
22/07/14,09:48:54,27,87,95,20
22/07/14,09:48:54,29,87,95,20
22/07/14,09:48:54,37,87,95,20
22/07/14,09:48:55,40,87,95,20
22/07/14,09:48:55,42,87,95,20
22/07/14,09:48:55,37,87,95,20
22/07/14,09:48:55,33,87,95,20
22/07/14,09:48:55,31,87,95,20
22/07/14,09:48:56,28,86,95,20
22/07/14,09:48:56,29,86,95,20
22/07/14,09:48:56,27,86,95,20
22/07/14,09:48:56,27,86,95,20
22/07/14,09:48:56,27,86,95,20
22/07/14,09:48:56,34,86,95,20
22/07/14,09:48:57,41,86,95,20
22/07/14,09:48:57,42,86,95,20
22/07/14,09:48:57,46,86,95,20
22/07/14,09:48:57,41,86,95,20
22/07/14,09:48:57,37,86,95,20
