----------------------------------
date,time,distance,cnt,pwm,uid
22/07/18,13:25:26,38,100,95,20
22/07/18,13:25:26,38,99,95,20
22/07/18,13:25:26,41,99,95,20
22/07/18,13:25:27,36,99,95,20
22/07/18,13:25:27,34,99,95,20
22/07/18,13:25:27,42,99,95,20
22/07/18,13:25:27,44,99,95,20
22/07/18,13:25:27,37,99,95,20
22/07/18,13:25:27,41,99,95,20
22/07/18,13:25:28,38,99,95,20
22/07/18,13:25:28,38,99,95,20
22/07/18,13:25:28,37,99,95,20
22/07/18,13:25:28,37,99,95,20
22/07/18,13:25:28,36,99,95,20
22/07/18,13:25:29,33,99,95,20
22/07/18,13:25:29,37,99,95,20
22/07/18,13:25:29,37,99,95,20
22/07/18,13:25:29,40,99,95,20
22/07/18,13:25:29,36,99,95,20
22/07/18,13:25:30,35,99,95,20
22/07/18,13:25:30,36,99,95,20
22/07/18,13:25:30,37,99,95,20
----------------------------------
date,time,distance,cnt,pwm,uid
22/07/18,13:25:43,30,100,95,20
22/07/18,13:25:43,33,99,95,20
22/07/18,13:25:43,32,99,95,20
22/07/18,13:25:43,30,99,95,20
22/07/18,13:25:43,28,99,95,20
22/07/18,13:25:43,26,99,95,20
22/07/18,13:25:44,31,99,95,20
22/07/18,13:25:44,35,99,95,20
22/07/18,13:25:44,41,99,95,20
22/07/18,13:25:44,41,99,95,20
22/07/18,13:25:44,36,99,95,20
22/07/18,13:25:45,37,99,95,20
22/07/18,13:25:45,29,99,95,20
22/07/18,13:25:45,24,98,95,20
22/07/18,13:25:45,22,98,95,20
22/07/18,13:25:45,31,98,95,20
22/07/18,13:25:46,27,98,95,20
22/07/18,13:25:46,31,98,95,20
22/07/18,13:25:46,34,98,95,20
22/07/18,13:25:46,39,98,95,20
22/07/18,13:25:46,40,98,95,20
22/07/18,13:25:46,39,98,95,20
22/07/18,13:25:47,41,98,95,20
22/07/18,13:25:47,34,98,95,20
22/07/18,13:25:47,28,98,95,20
22/07/18,13:25:47,27,97,95,20
22/07/18,13:25:47,23,97,95,20
22/07/18,13:25:48,28,97,95,20
22/07/18,13:25:48,28,97,95,20
22/07/18,13:25:48,27,97,95,20
22/07/18,13:25:48,31,97,95,20
22/07/18,13:25:48,37,97,95,20
22/07/18,13:25:48,41,97,95,20
22/07/18,13:25:49,40,97,95,20
22/07/18,13:25:49,41,97,95,20
22/07/18,13:25:49,34,97,95,20
22/07/18,13:25:49,30,97,95,20
22/07/18,13:25:49,27,96,95,20
22/07/18,13:25:50,22,96,95,20
22/07/18,13:25:50,24,96,95,20
22/07/18,13:25:50,26,96,95,20
22/07/18,13:25:50,29,96,95,20
22/07/18,13:25:50,32,96,95,20
22/07/18,13:25:51,35,96,95,20
22/07/18,13:25:51,41,96,95,20
22/07/18,13:25:51,45,96,95,20
22/07/18,13:25:51,42,96,95,20
22/07/18,13:25:51,36,96,95,20
22/07/18,13:25:51,32,96,95,20
22/07/18,13:25:52,28,95,95,20
22/07/18,13:25:52,31,95,95,20
22/07/18,13:25:52,27,95,95,20
22/07/18,13:25:52,29,95,95,20
22/07/18,13:25:52,27,95,95,20
22/07/18,13:25:53,33,95,95,20
22/07/18,13:25:53,39,95,95,20
22/07/18,13:25:53,40,95,95,20
22/07/18,13:25:53,48,95,95,20
22/07/18,13:25:53,40,95,95,20
22/07/18,13:25:53,34,95,95,20
22/07/18,13:25:54,33,95,95,20
22/07/18,13:25:54,27,95,95,20
22/07/18,13:25:54,25,94,95,20
22/07/18,13:25:54,29,94,95,20
22/07/18,13:25:54,36,94,95,20
22/07/18,13:25:55,26,94,95,20
22/07/18,13:25:55,27,94,95,20
22/07/18,13:25:55,29,94,95,20
22/07/18,13:25:55,36,94,95,20
22/07/18,13:25:55,35,94,95,20
22/07/18,13:25:56,43,94,95,20
22/07/18,13:25:56,41,94,95,20
22/07/18,13:25:56,36,94,95,20
22/07/18,13:25:56,30,94,95,20
22/07/18,13:25:56,26,93,95,20
22/07/18,13:25:56,24,93,95,20
22/07/18,13:25:57,25,93,95,20
22/07/18,13:25:57,31,93,95,20
22/07/18,13:25:57,32,93,95,20
22/07/18,13:25:57,30,93,95,20
22/07/18,13:25:57,39,93,95,20
22/07/18,13:25:58,38,93,95,20
22/07/18,13:25:58,44,93,95,20
22/07/18,13:25:58,40,93,95,20
22/07/18,13:25:58,37,93,95,20
22/07/18,13:25:58,30,93,95,20
