----------------------------------
date,time,distance,cnt,pwm,uid
22/07/26,09:39:35,29,100,100,20
22/07/26,09:39:35,30,99,100,20
22/07/26,09:39:35,28,99,100,20
22/07/26,09:39:35,29,99,100,20
22/07/26,09:39:35,19,99,100,20
22/07/26,09:39:36,18,99,100,20
22/07/26,09:39:36,25,99,100,20
22/07/26,09:39:36,30,99,100,20
22/07/26,09:39:36,36,99,100,20
22/07/26,09:39:36,40,99,100,20
22/07/26,09:39:37,35,99,100,20
22/07/26,09:39:37,30,99,100,20
22/07/26,09:39:37,25,99,100,20
22/07/26,09:39:37,22,98,100,20
22/07/26,09:39:37,22,98,100,20
22/07/26,09:39:38,32,98,100,20
22/07/26,09:39:38,19,98,100,20
22/07/26,09:39:38,20,98,100,20
22/07/26,09:39:38,24,98,100,20
22/07/26,09:39:38,31,98,100,20
22/07/26,09:39:38,36,98,100,20
22/07/26,09:39:39,41,98,100,20
22/07/26,09:39:39,38,98,100,20
22/07/26,09:39:39,29,98,100,20
22/07/26,09:39:39,24,98,100,20
22/07/26,09:39:39,19,97,100,20
22/07/26,09:39:40,20,97,100,20
22/07/26,09:39:40,28,97,100,20
22/07/26,09:39:40,21,97,100,20
22/07/26,09:39:40,17,97,100,20
22/07/26,09:39:40,24,97,100,20
22/07/26,09:39:40,33,97,100,20
22/07/26,09:39:41,34,97,100,20
22/07/26,09:39:41,40,97,100,20
22/07/26,09:39:41,36,97,100,20
22/07/26,09:39:41,31,97,100,20
22/07/26,09:39:41,23,97,100,20
22/07/26,09:39:42,19,96,100,20
22/07/26,09:39:42,19,96,100,20
22/07/26,09:39:42,26,96,100,20
22/07/26,09:39:42,19,96,100,20
22/07/26,09:39:42,21,96,100,20
22/07/26,09:39:43,29,96,100,20
22/07/26,09:39:43,32,96,100,20
22/07/26,09:39:43,40,96,100,20
22/07/26,09:39:43,38,96,100,20
22/07/26,09:39:43,39,96,100,20
22/07/26,09:39:43,32,96,100,20
22/07/26,09:39:44,27,96,100,20
22/07/26,09:39:44,21,95,100,20
22/07/26,09:39:44,19,95,100,20
22/07/26,09:39:44,27,95,100,20
22/07/26,09:39:44,18,95,100,20
22/07/26,09:39:45,21,95,100,20
22/07/26,09:39:45,26,95,100,20
22/07/26,09:39:45,31,95,100,20
22/07/26,09:39:45,37,95,100,20
22/07/26,09:39:45,33,95,100,20
22/07/26,09:39:45,27,95,100,20
22/07/26,09:39:46,20,94,100,20
22/07/26,09:39:46,22,94,100,20
22/07/26,09:39:46,23,94,100,20
22/07/26,09:39:46,18,94,100,20
22/07/26,09:39:46,24,94,100,20
22/07/26,09:39:47,29,94,100,20
22/07/26,09:39:47,32,94,100,20
22/07/26,09:39:47,36,94,100,20
22/07/26,09:39:47,34,94,100,20
22/07/26,09:39:47,29,94,100,20
22/07/26,09:39:48,20,93,100,20
22/07/26,09:39:48,20,93,100,20
22/07/26,09:39:48,19,93,100,20
22/07/26,09:39:48,20,93,100,20
22/07/26,09:39:48,21,93,100,20
22/07/26,09:39:48,29,93,100,20
22/07/26,09:39:49,35,93,100,20
22/07/26,09:39:49,39,93,100,20
22/07/26,09:39:49,36,93,100,20
22/07/26,09:39:49,28,93,100,20
22/07/26,09:39:49,24,92,100,20
22/07/26,09:39:50,19,92,100,20
22/07/26,09:39:50,22,92,100,20
22/07/26,09:39:50,21,92,100,20
22/07/26,09:39:50,24,92,100,20
22/07/26,09:39:50,30,92,100,20
22/07/26,09:39:51,39,92,100,20
