date,time,distance,cnt,pwm,uid
22/07/28,08:41:33,31,99,100,20
22/07/28,08:41:33,27,98,100,20
22/07/28,08:41:34,28,98,100,20
22/07/28,08:41:34,26,98,100,20
22/07/28,08:41:34,26,98,100,20
22/07/28,08:41:34,31,98,100,20
22/07/28,08:41:34,35,98,100,20
22/07/28,08:41:35,43,98,100,20
22/07/28,08:41:35,46,98,100,20
22/07/28,08:41:35,47,98,100,20
22/07/28,08:41:35,43,98,100,20
22/07/28,08:41:35,41,98,100,20
22/07/28,08:41:35,36,98,100,20
22/07/28,08:41:36,32,97,100,20
22/07/28,08:41:36,29,97,100,20
22/07/28,08:41:36,31,97,100,20
22/07/28,08:41:36,29,97,100,20
22/07/28,08:41:36,30,97,100,20
22/07/28,08:41:37,36,97,100,20
22/07/28,08:41:37,40,97,100,20
22/07/28,08:41:37,44,97,100,20
22/07/28,08:41:37,48,97,100,20
22/07/28,08:41:37,45,97,100,20
22/07/28,08:41:37,40,97,100,20
22/07/28,08:41:38,32,97,100,20
22/07/28,08:41:38,33,96,100,20
22/07/28,08:41:38,25,96,100,20
22/07/28,08:41:38,26,96,100,20
22/07/28,08:41:38,30,96,100,20
22/07/28,08:41:39,34,96,100,20
22/07/28,08:41:39,35,96,100,20
22/07/28,08:41:39,43,96,100,20
22/07/28,08:41:39,46,96,100,20
22/07/28,08:41:39,46,96,100,20
22/07/28,08:41:40,44,96,100,20
22/07/28,08:41:40,38,96,100,20
22/07/28,08:41:40,35,96,100,20
22/07/28,08:41:40,28,95,100,20
22/07/28,08:41:40,27,95,100,20
22/07/28,08:41:40,31,95,100,20
22/07/28,08:41:41,31,95,100,20
22/07/28,08:41:41,33,95,100,20
22/07/28,08:41:41,35,95,100,20
22/07/28,08:41:41,40,95,100,20
22/07/28,08:41:41,44,95,100,20
22/07/28,08:41:42,47,95,100,20
22/07/28,08:41:42,41,95,100,20
22/07/28,08:41:42,37,95,100,20
22/07/28,08:41:42,35,95,100,20
22/07/28,08:41:42,32,94,100,20
22/07/28,08:41:42,28,94,100,20
22/07/28,08:41:43,31,94,100,20
22/07/28,08:41:43,29,94,100,20
22/07/28,08:41:43,31,94,100,20
22/07/28,08:41:43,32,94,100,20
22/07/28,08:41:43,44,94,100,20
22/07/28,08:41:44,46,94,100,20
22/07/28,08:41:44,48,94,100,20
22/07/28,08:41:44,42,94,100,20
22/07/28,08:41:44,41,94,100,20
22/07/28,08:41:44,32,94,100,20
22/07/28,08:41:45,29,93,100,20
22/07/28,08:41:45,28,93,100,20
22/07/28,08:41:45,25,93,100,20
22/07/28,08:41:45,27,93,100,20
22/07/28,08:41:45,30,93,100,20
22/07/28,08:41:45,34,93,100,20
22/07/28,08:41:46,41,93,100,20
22/07/28,08:41:46,44,93,100,20
22/07/28,08:41:46,48,93,100,20
22/07/28,08:41:46,45,93,100,20
22/07/28,08:41:46,38,93,100,20
22/07/28,08:41:47,33,93,100,20
22/07/28,08:41:47,29,92,100,20
22/07/28,08:41:47,31,92,100,20
22/07/28,08:41:47,26,92,100,20
22/07/28,08:41:47,29,92,100,20
22/07/28,08:41:47,33,92,100,20
22/07/28,08:41:48,37,92,100,20
22/07/28,08:41:48,42,92,100,20
22/07/28,08:41:48,44,92,100,20
22/07/28,08:41:48,49,92,100,20
22/07/28,08:41:48,45,92,100,20
22/07/28,08:41:49,34,92,100,20
22/07/28,08:41:49,36,92,100,20
22/07/28,08:41:49,28,91,100,20
22/07/28,08:41:49,26,91,100,20
22/07/28,08:41:49,31,91,100,20
22/07/28,08:41:50,31,91,100,20
22/07/28,08:41:50,31,91,100,20
22/07/28,08:41:50,32,91,100,20
22/07/28,08:41:50,39,91,100,20
22/07/28,08:41:50,44,91,100,20
22/07/28,08:41:50,47,91,100,20
22/07/28,08:41:51,42,91,100,20
22/07/28,08:41:51,37,91,100,20
22/07/28,08:41:51,33,91,100,20
22/07/28,08:41:51,30,90,100,20
22/07/28,08:41:51,28,90,100,20
22/07/28,08:41:52,31,90,100,20
22/07/28,08:41:52,28,90,100,20
22/07/28,08:41:52,30,90,100,20
22/07/28,08:41:52,34,90,100,20
22/07/28,08:41:52,38,90,100,20
22/07/28,08:41:52,41,90,100,20
22/07/28,08:41:53,49,90,100,20
22/07/28,08:41:53,44,90,100,20
22/07/28,08:41:53,39,90,100,20
22/07/28,08:41:53,35,90,100,20
22/07/28,08:41:53,29,89,100,20
22/07/28,08:41:54,26,89,100,20
22/07/28,08:41:54,30,89,100,20
22/07/28,08:41:54,33,89,100,20
