date,time,distance,cnt,pwm,uid
22/05/26,13:30:53,30,100,90,30
22/05/26,13:30:53,30,99,90,30
22/05/26,13:30:54,30,99,90,30
22/05/26,13:30:54,32,99,90,30
22/05/26,13:30:54,27,99,90,30
22/05/26,13:30:54,27,99,90,30
22/05/26,13:30:54,32,99,90,30
22/05/26,13:30:54,37,99,90,30
22/05/26,13:30:55,42,99,90,30
22/05/26,13:30:55,43,99,90,30
22/05/26,13:30:55,39,99,90,30
22/05/26,13:30:55,36,99,90,30
22/05/26,13:30:55,34,99,90,30
22/05/26,13:30:56,27,98,90,30
22/05/26,13:30:56,25,98,90,30
22/05/26,13:30:56,28,98,90,30
22/05/26,13:30:56,24,98,90,30
22/05/26,13:30:56,31,98,90,30
22/05/26,13:30:57,35,98,90,30
22/05/26,13:30:57,37,98,90,30
22/05/26,13:30:57,43,98,90,30
22/05/26,13:30:57,40,98,90,30
22/05/26,13:30:57,34,98,90,30
22/05/26,13:30:57,29,98,90,30
22/05/26,13:30:58,25,97,90,30
22/05/26,13:30:58,27,97,90,30
22/05/26,13:30:58,26,97,90,30
22/05/26,13:30:58,23,97,90,30
22/05/26,13:30:58,29,97,90,30
22/05/26,13:30:59,32,97,90,30
22/05/26,13:30:59,37,97,90,30
22/05/26,13:30:59,42,97,90,30
22/05/26,13:30:59,44,97,90,30
22/05/26,13:30:59,42,97,90,30
22/05/26,13:31:00,36,97,90,30
22/05/26,13:31:00,33,97,90,30
22/05/26,13:31:00,28,97,90,30
22/05/26,13:31:00,24,96,90,30
22/05/26,13:31:00,26,96,90,30
22/05/26,13:31:00,27,96,90,30
22/05/26,13:31:01,25,96,90,30
22/05/26,13:31:01,29,96,90,30
22/05/26,13:31:01,33,96,90,30
22/05/26,13:31:01,39,96,90,30
22/05/26,13:31:01,39,96,90,30
22/05/26,13:31:02,44,96,90,30
22/05/26,13:31:02,38,96,90,30
22/05/26,13:31:02,36,96,90,30
22/05/26,13:31:02,32,96,90,30
22/05/26,13:31:02,28,95,90,30
22/05/26,13:31:03,25,95,90,30
22/05/26,13:31:03,27,95,90,30
22/05/26,13:31:03,25,95,90,30
22/05/26,13:31:03,32,95,90,30
22/05/26,13:31:03,33,95,90,30
22/05/26,13:31:03,36,95,90,30
22/05/26,13:31:04,40,95,90,30
22/05/26,13:31:04,40,95,90,30
22/05/26,13:31:04,33,95,90,30
22/05/26,13:31:04,30,95,90,30
22/05/26,13:31:04,25,94,90,30
22/05/26,13:31:05,28,94,90,30
22/05/26,13:31:05,28,94,90,30
22/05/26,13:31:05,26,94,90,30
22/05/26,13:31:05,30,94,90,30
22/05/26,13:31:05,36,94,90,30
22/05/26,13:31:06,39,94,90,30
22/05/26,13:31:06,42,94,90,30
22/05/26,13:31:06,44,94,90,30
22/05/26,13:31:06,39,94,90,30
22/05/26,13:31:06,36,94,90,30
22/05/26,13:31:07,35,94,90,30
22/05/26,13:31:07,29,94,90,30
22/05/26,13:31:07,27,93,90,30
22/05/26,13:31:07,29,93,90,30
22/05/26,13:31:07,28,93,90,30
22/05/26,13:31:07,27,93,90,30
22/05/26,13:31:08,29,93,90,30
22/05/26,13:31:08,31,93,90,30
22/05/26,13:31:08,37,93,90,30
22/05/26,13:31:08,41,93,90,30
22/05/26,13:31:08,43,93,90,30
22/05/26,13:31:09,38,93,90,30
22/05/26,13:31:09,32,93,90,30
22/05/26,13:31:09,32,93,90,30
22/05/26,13:31:09,23,92,90,30
22/05/26,13:31:09,26,92,90,30
22/05/26,13:31:10,31,92,90,30
22/05/26,13:31:10,25,92,90,30
22/05/26,13:31:10,26,92,90,30
22/05/26,13:31:10,36,92,90,30
22/05/26,13:31:10,38,92,90,30
22/05/26,13:31:10,41,92,90,30
22/05/26,13:31:11,44,92,90,30
22/05/26,13:31:11,39,92,90,30
22/05/26,13:31:11,35,92,90,30
22/05/26,13:31:11,33,92,90,30
22/05/26,13:31:11,27,91,90,30
22/05/26,13:31:12,27,91,90,30
22/05/26,13:31:12,29,91,90,30
22/05/26,13:31:12,29,91,90,30
22/05/26,13:31:12,29,91,90,30
22/05/26,13:31:12,36,91,90,30
22/05/26,13:31:13,40,91,90,30
22/05/26,13:31:13,39,91,90,30
22/05/26,13:31:13,46,91,90,30
22/05/26,13:31:13,40,91,90,30
22/05/26,13:31:13,39,91,90,30
22/05/26,13:31:13,30,91,90,30
22/05/26,13:31:14,26,90,90,30
22/05/26,13:31:14,25,90,90,30
22/05/26,13:31:14,27,90,90,30
22/05/26,13:31:14,26,90,90,30
22/05/26,13:31:14,30,90,90,30
22/05/26,13:31:15,35,90,90,30
22/05/26,13:31:15,37,90,90,30
22/05/26,13:31:15,41,90,90,30
22/05/26,13:31:15,39,90,90,30
22/05/26,13:31:15,33,90,90,30
22/05/26,13:31:16,30,90,90,30
22/05/26,13:31:16,26,89,90,30
22/05/26,13:31:16,28,89,90,30
22/05/26,13:31:16,30,89,90,30
22/05/26,13:31:16,24,89,90,30
22/05/26,13:31:16,31,89,90,30
22/05/26,13:31:17,34,89,90,30
22/05/26,13:31:17,35,89,90,30
22/05/26,13:31:17,41,89,90,30
22/05/26,13:31:17,42,89,90,30
22/05/26,13:31:17,39,89,90,30
22/05/26,13:31:18,36,89,90,30
22/05/26,13:31:18,34,89,90,30
22/05/26,13:31:18,27,88,90,30
22/05/26,13:31:18,26,88,90,30
22/05/26,13:31:18,28,88,90,30
22/05/26,13:31:19,24,88,90,30
22/05/26,13:31:19,29,88,90,30
22/05/26,13:31:19,35,88,90,30
22/05/26,13:31:19,39,88,90,30
22/05/26,13:31:19,42,88,90,30
22/05/26,13:31:19,42,88,90,30
22/05/26,13:31:20,38,88,90,30
22/05/26,13:31:20,35,88,90,30
22/05/26,13:31:20,32,88,90,30
22/05/26,13:31:20,29,87,90,30
22/05/26,13:31:20,27,87,90,30
22/05/26,13:31:21,25,87,90,30
22/05/26,13:31:21,26,87,90,30
22/05/26,13:31:21,27,87,90,30
22/05/26,13:31:21,36,87,90,30
22/05/26,13:31:21,40,87,90,30
22/05/26,13:31:22,41,87,90,30
22/05/26,13:31:22,45,87,90,30
22/05/26,13:31:22,37,87,90,30
22/05/26,13:31:22,36,87,90,30
22/05/26,13:31:22,28,87,90,30
22/05/26,13:31:22,28,86,90,30
22/05/26,13:31:23,24,86,90,30
22/05/26,13:31:23,27,86,90,30
22/05/26,13:31:23,27,86,90,30
22/05/26,13:31:23,33,86,90,30
22/05/26,13:31:23,36,86,90,30
22/05/26,13:31:24,41,86,90,30
22/05/26,13:31:24,41,86,90,30
22/05/26,13:31:24,46,86,90,30
22/05/26,13:31:24,42,86,90,30
22/05/26,13:31:24,37,86,90,30
22/05/26,13:31:25,34,86,90,30
22/05/26,13:31:25,30,86,90,30
22/05/26,13:31:25,26,85,90,30
22/05/26,13:31:25,29,85,90,30
22/05/26,13:31:25,29,85,90,30
22/05/26,13:31:25,24,85,90,30
22/05/26,13:31:26,28,85,90,30
22/05/26,13:31:26,32,85,90,30
22/05/26,13:31:26,36,85,90,30
22/05/26,13:31:26,41,85,90,30
22/05/26,13:31:26,44,85,90,30
22/05/26,13:31:27,40,85,90,30
22/05/26,13:31:27,35,85,90,30
22/05/26,13:31:27,34,85,90,30
22/05/26,13:31:27,26,84,90,30
22/05/26,13:31:27,24,84,90,30
22/05/26,13:31:28,26,84,90,30
22/05/26,13:31:28,23,84,90,30
22/05/26,13:31:28,28,84,90,30
22/05/26,13:31:28,37,84,90,30
22/05/26,13:31:28,37,84,90,30
22/05/26,13:31:28,41,84,90,30
22/05/26,13:31:29,45,84,90,30
22/05/26,13:31:29,42,84,90,30
22/05/26,13:31:29,36,84,90,30
22/05/26,13:31:29,30,84,90,30
22/05/26,13:31:29,29,83,90,30
22/05/26,13:31:30,27,83,90,30
22/05/26,13:31:30,25,83,90,30
22/05/26,13:31:30,26,83,90,30
22/05/26,13:31:30,33,83,90,30
22/05/26,13:31:30,34,83,90,30
22/05/26,13:31:31,41,83,90,30
22/05/26,13:31:31,43,83,90,30
22/05/26,13:31:31,42,83,90,30
22/05/26,13:31:31,41,83,90,30
22/05/26,13:31:31,39,83,90,30
22/05/26,13:31:31,33,83,90,30
22/05/26,13:31:32,28,83,90,30
22/05/26,13:31:32,26,82,90,30
22/05/26,13:31:32,30,82,90,30
22/05/26,13:31:32,31,82,90,30
22/05/26,13:31:32,26,82,90,30
22/05/26,13:31:33,28,82,90,30
22/05/26,13:31:33,32,82,90,30
22/05/26,13:31:33,35,82,90,30
22/05/26,13:31:33,39,82,90,30
22/05/26,13:31:33,42,82,90,30
22/05/26,13:31:34,41,82,90,30
22/05/26,13:31:34,35,82,90,30
22/05/26,13:31:34,33,82,90,30
22/05/26,13:31:34,28,81,90,30
22/05/26,13:31:34,27,81,90,30
22/05/26,13:31:34,30,81,90,30
22/05/26,13:31:35,25,81,90,30
22/05/26,13:31:35,28,81,90,30
22/05/26,13:31:35,33,81,90,30
22/05/26,13:31:35,40,81,90,30
22/05/26,13:31:35,39,81,90,30
22/05/26,13:31:36,43,81,90,30
22/05/26,13:31:36,42,81,90,30
22/05/26,13:31:36,37,81,90,30
22/05/26,13:31:36,35,81,90,30
22/05/26,13:31:36,28,80,90,30
22/05/26,13:31:37,25,80,90,30
22/05/26,13:31:37,29,80,90,30
22/05/26,13:31:37,28,80,90,30
22/05/26,13:31:37,29,80,90,30
22/05/26,13:31:37,37,80,90,30
22/05/26,13:31:37,35,80,90,30
22/05/26,13:31:38,42,80,90,30
22/05/26,13:31:38,43,80,90,30
22/05/26,13:31:38,40,80,90,30
22/05/26,13:31:38,39,80,90,30
22/05/26,13:31:38,32,80,90,30
22/05/26,13:31:39,26,79,90,30
22/05/26,13:31:39,26,79,90,30
22/05/26,13:31:39,25,79,90,30
22/05/26,13:31:39,27,79,90,30
22/05/26,13:31:39,31,79,90,30
22/05/26,13:31:40,37,79,90,30
22/05/26,13:31:40,37,79,90,30
22/05/26,13:31:40,42,79,90,30
22/05/26,13:31:40,37,79,90,30
22/05/26,13:31:40,32,79,90,30
22/05/26,13:31:40,28,79,90,30
22/05/26,13:31:41,28,78,90,30
22/05/26,13:31:41,29,78,90,30
22/05/26,13:31:41,29,78,90,30
22/05/26,13:31:41,25,78,90,30
22/05/26,13:31:41,27,78,90,30
22/05/26,13:31:42,35,78,90,30
22/05/26,13:31:42,33,78,90,30
22/05/26,13:31:42,40,78,90,30
22/05/26,13:31:42,43,78,90,30
22/05/26,13:31:42,41,78,90,30
22/05/26,13:31:43,35,78,90,30
22/05/26,13:31:43,29,78,90,30
22/05/26,13:31:43,30,77,90,30
22/05/26,13:31:43,27,77,90,30
22/05/26,13:31:43,27,77,90,30
22/05/26,13:31:43,29,77,90,30
22/05/26,13:31:44,30,77,90,30
22/05/26,13:31:44,38,77,90,30
22/05/26,13:31:44,42,77,90,30
22/05/26,13:31:44,41,77,90,30
22/05/26,13:31:44,43,77,90,30
22/05/26,13:31:45,43,77,90,30
22/05/26,13:31:45,34,77,90,30
22/05/26,13:31:45,33,77,90,30
22/05/26,13:31:45,25,76,90,30
22/05/26,13:31:45,26,76,90,30
22/05/26,13:31:46,27,76,90,30
22/05/26,13:31:46,28,76,90,30
22/05/26,13:31:46,32,76,90,30
22/05/26,13:31:46,35,76,90,30
22/05/26,13:31:46,40,76,90,30
22/05/26,13:31:46,39,76,90,30
22/05/26,13:31:47,35,76,90,30
22/05/26,13:31:47,37,76,90,30
22/05/26,13:31:47,25,76,90,30
22/05/26,13:31:47,28,75,90,30
22/05/26,13:31:47,27,75,90,30
22/05/26,13:31:48,32,75,90,30
22/05/26,13:31:48,28,75,90,30
22/05/26,13:31:48,28,75,90,30
22/05/26,13:31:48,33,75,90,30
22/05/26,13:31:48,34,75,90,30
22/05/26,13:31:49,43,75,90,30
22/05/26,13:31:49,42,75,90,30
22/05/26,13:31:49,37,75,90,30
22/05/26,13:31:49,34,75,90,30
22/05/26,13:31:49,33,75,90,30
22/05/26,13:31:49,28,74,90,30
22/05/26,13:31:50,28,74,90,30
22/05/26,13:31:50,28,74,90,30
22/05/26,13:31:50,26,74,90,30
22/05/26,13:31:50,25,74,90,30
22/05/26,13:31:50,33,74,90,30
22/05/26,13:31:51,38,74,90,30
22/05/26,13:31:51,38,74,90,30
22/05/26,13:31:51,44,74,90,30
22/05/26,13:31:51,37,74,90,30
22/05/26,13:31:51,37,74,90,30
22/05/26,13:31:52,31,74,90,30
22/05/26,13:31:52,32,73,90,30
22/05/26,13:31:52,27,73,90,30
22/05/26,13:31:52,29,73,90,30
22/05/26,13:31:52,26,73,90,30
22/05/26,13:31:53,32,73,90,30
22/05/26,13:31:53,32,73,90,30
22/05/26,13:31:53,42,73,90,30
22/05/26,13:31:53,40,73,90,30
22/05/26,13:31:53,46,73,90,30
22/05/26,13:31:53,39,73,90,30
22/05/26,13:31:54,41,73,90,30
22/05/26,13:31:54,35,73,90,30
22/05/26,13:31:54,30,73,90,30
22/05/26,13:31:54,26,72,90,30
22/05/26,13:31:54,31,72,90,30
22/05/26,13:31:55,28,72,90,30
22/05/26,13:31:55,26,72,90,30
22/05/26,13:31:55,31,72,90,30
22/05/26,13:31:55,34,72,90,30
22/05/26,13:31:55,42,72,90,30
22/05/26,13:31:56,41,72,90,30
22/05/26,13:31:56,41,72,90,30
22/05/26,13:31:56,42,72,90,30
22/05/26,13:31:56,36,72,90,30
22/05/26,13:31:56,37,72,90,30
22/05/26,13:31:56,24,71,90,30
22/05/26,13:31:57,25,71,90,30
22/05/26,13:31:57,28,71,90,30
22/05/26,13:31:57,28,71,90,30
22/05/26,13:31:57,31,71,90,30
22/05/26,13:31:57,32,71,90,30
22/05/26,13:31:58,38,71,90,30
22/05/26,13:31:58,41,71,90,30
22/05/26,13:31:58,37,71,90,30
22/05/26,13:31:58,38,71,90,30
22/05/26,13:31:58,27,71,90,30
22/05/26,13:31:59,24,70,90,30
22/05/26,13:31:59,26,70,90,30
22/05/26,13:31:59,28,70,90,30
22/05/26,13:31:59,27,70,90,30
22/05/26,13:31:59,29,70,90,30
22/05/26,13:31:59,36,70,90,30
22/05/26,13:32:00,39,70,90,30
22/05/26,13:32:00,40,70,90,30
22/05/26,13:32:00,40,70,90,30
22/05/26,13:32:00,36,70,90,30
22/05/26,13:32:00,35,70,90,30
22/05/26,13:32:01,30,70,90,30
22/05/26,13:32:01,27,69,90,30
22/05/26,13:32:01,28,69,90,30
22/05/26,13:32:01,28,69,90,30
22/05/26,13:32:01,26,69,90,30
22/05/26,13:32:02,30,69,90,30
22/05/26,13:32:02,33,69,90,30
22/05/26,13:32:02,42,69,90,30
22/05/26,13:32:02,43,69,90,30
22/05/26,13:32:02,43,69,90,30
22/05/26,13:32:02,40,69,90,30
22/05/26,13:32:03,37,69,90,30
22/05/26,13:32:03,32,69,90,30
22/05/26,13:32:03,26,68,90,30
22/05/26,13:32:03,24,68,90,30
22/05/26,13:32:03,25,68,90,30
22/05/26,13:32:04,29,68,90,30
22/05/26,13:32:04,32,68,90,30
22/05/26,13:32:04,35,68,90,30
22/05/26,13:32:04,38,68,90,30
22/05/26,13:32:04,40,68,90,30
22/05/26,13:32:05,39,68,90,30
22/05/26,13:32:05,33,68,90,30
22/05/26,13:32:05,29,68,90,30
22/05/26,13:32:05,23,67,90,30
22/05/26,13:32:05,28,67,90,30
22/05/26,13:32:05,32,67,90,30
22/05/26,13:32:06,26,67,90,30
22/05/26,13:32:06,29,67,90,30
22/05/26,13:32:06,34,67,90,30
22/05/26,13:32:06,39,67,90,30
22/05/26,13:32:06,40,67,90,30
22/05/26,13:32:07,45,67,90,30
22/05/26,13:32:07,39,67,90,30
22/05/26,13:32:07,37,67,90,30
22/05/26,13:32:07,34,67,90,30
22/05/26,13:32:07,30,66,90,30
22/05/26,13:32:08,26,66,90,30
22/05/26,13:32:08,28,66,90,30
22/05/26,13:32:08,25,66,90,30
22/05/26,13:32:08,29,66,90,30
22/05/26,13:32:08,32,66,90,30
22/05/26,13:32:08,38,66,90,30
22/05/26,13:32:09,41,66,90,30
22/05/26,13:32:09,45,66,90,30
22/05/26,13:32:09,41,66,90,30
22/05/26,13:32:09,37,66,90,30
22/05/26,13:32:09,31,66,90,30
22/05/26,13:32:10,27,65,90,30
22/05/26,13:32:10,26,65,90,30
22/05/26,13:32:10,26,65,90,30
22/05/26,13:32:10,28,65,90,30
22/05/26,13:32:10,31,65,90,30
22/05/26,13:32:11,35,65,90,30
22/05/26,13:32:11,36,65,90,30
22/05/26,13:32:11,42,65,90,30
22/05/26,13:32:11,37,65,90,30
22/05/26,13:32:11,33,65,90,30
22/05/26,13:32:11,26,65,90,30
22/05/26,13:32:12,25,64,90,30
22/05/26,13:32:12,30,64,90,30
22/05/26,13:32:12,37,64,90,30
22/05/26,13:32:12,28,64,90,30
22/05/26,13:32:12,28,64,90,30
22/05/26,13:32:13,33,64,90,30
22/05/26,13:32:13,33,64,90,30
22/05/26,13:32:13,40,64,90,30
22/05/26,13:32:13,43,64,90,30
22/05/26,13:32:13,40,64,90,30
22/05/26,13:32:14,35,64,90,30
22/05/26,13:32:14,32,64,90,30
22/05/26,13:32:14,30,63,90,30
22/05/26,13:32:14,26,63,90,30
22/05/26,13:32:14,27,63,90,30
22/05/26,13:32:14,25,63,90,30
22/05/26,13:32:15,26,63,90,30
22/05/26,13:32:15,35,63,90,30
22/05/26,13:32:15,39,63,90,30
22/05/26,13:32:15,41,63,90,30
22/05/26,13:32:15,42,63,90,30
22/05/26,13:32:16,41,63,90,30
22/05/26,13:32:16,36,63,90,30
22/05/26,13:32:16,31,63,90,30
22/05/26,13:32:16,28,62,90,30
22/05/26,13:32:16,27,62,90,30
22/05/26,13:32:17,27,62,90,30
22/05/26,13:32:17,23,62,90,30
22/05/26,13:32:17,28,62,90,30
22/05/26,13:32:17,33,62,90,30
22/05/26,13:32:17,41,62,90,30
22/05/26,13:32:17,44,62,90,30
22/05/26,13:32:18,46,62,90,30
22/05/26,13:32:18,40,62,90,30
22/05/26,13:32:18,38,62,90,30
22/05/26,13:32:18,35,62,90,30
22/05/26,13:32:18,28,61,90,30
22/05/26,13:32:19,25,61,90,30
22/05/26,13:32:19,28,61,90,30
22/05/26,13:32:19,28,61,90,30
22/05/26,13:32:19,32,61,90,30
22/05/26,13:32:19,37,61,90,30
22/05/26,13:32:20,41,61,90,30
22/05/26,13:32:20,45,61,90,30
22/05/26,13:32:20,46,61,90,30
22/05/26,13:32:20,41,61,90,30
22/05/26,13:32:20,37,61,90,30
22/05/26,13:32:20,34,61,90,30
22/05/26,13:32:21,27,60,90,30
22/05/26,13:32:21,27,60,90,30
22/05/26,13:32:21,26,60,90,30
22/05/26,13:32:21,28,60,90,30
22/05/26,13:32:21,33,60,90,30
22/05/26,13:32:22,33,60,90,30
22/05/26,13:32:22,40,60,90,30
22/05/26,13:32:22,38,60,90,30
22/05/26,13:32:22,41,60,90,30
22/05/26,13:32:22,33,60,90,30
