----------------------------------
date,time,distance,cnt,pwm,uid
22/07/31,09:44:55,32,100,100,20
22/07/31,09:44:56,31,99,100,20
22/07/31,09:44:56,32,99,100,20
22/07/31,09:44:56,33,99,100,20
22/07/31,09:44:56,31,99,100,20
22/07/31,09:44:56,31,99,100,20
22/07/31,09:44:56,35,99,100,20
22/07/31,09:44:57,40,99,100,20
22/07/31,09:44:57,44,99,100,20
22/07/31,09:44:57,52,99,100,20
22/07/31,09:44:57,62,99,100,20
22/07/31,09:44:57,65,99,100,20
22/07/31,09:44:58,73,99,100,20
22/07/31,09:44:58,78,99,100,20
22/07/31,09:44:58,87,99,100,20
22/07/31,09:44:58,80,99,100,20
22/07/31,09:44:58,70,99,100,20
22/07/31,09:44:59,67,99,100,20
22/07/31,09:44:59,62,99,100,20
22/07/31,09:44:59,52,99,100,20
22/07/31,09:44:59,47,99,100,20
22/07/31,09:44:59,42,99,100,20
22/07/31,09:44:59,38,99,100,20
22/07/31,09:45:00,33,99,100,20
22/07/31,09:45:00,31,98,100,20
22/07/31,09:45:00,29,98,100,20
22/07/31,09:45:00,24,98,100,20
22/07/31,09:45:00,30,98,100,20
22/07/31,09:45:01,29,98,100,20
22/07/31,09:45:01,42,98,100,20
22/07/31,09:45:01,40,98,100,20
22/07/31,09:45:01,43,98,100,20
22/07/31,09:45:01,39,98,100,20
22/07/31,09:45:02,33,98,100,20
22/07/31,09:45:02,30,97,100,20
22/07/31,09:45:02,26,97,100,20
22/07/31,09:45:02,28,97,100,20
22/07/31,09:45:02,27,97,100,20
22/07/31,09:45:02,34,97,100,20
22/07/31,09:45:03,36,97,100,20
22/07/31,09:45:03,44,97,100,20
22/07/31,09:45:03,43,97,100,20
22/07/31,09:45:03,43,97,100,20
22/07/31,09:45:03,40,97,100,20
22/07/31,09:45:04,30,97,100,20
22/07/31,09:45:04,29,96,100,20
22/07/31,09:45:04,26,96,100,20
22/07/31,09:45:04,37,96,100,20
22/07/31,09:45:04,29,96,100,20
22/07/31,09:45:05,28,96,100,20
22/07/31,09:45:05,32,96,100,20
22/07/31,09:45:05,37,96,100,20
22/07/31,09:45:05,41,96,100,20
22/07/31,09:45:05,46,96,100,20
22/07/31,09:45:05,44,96,100,20
22/07/31,09:45:06,36,96,100,20
22/07/31,09:45:06,31,96,100,20
22/07/31,09:45:06,29,95,100,20
22/07/31,09:45:06,25,95,100,20
22/07/31,09:45:06,34,95,100,20
22/07/31,09:45:07,29,95,100,20
22/07/31,09:45:07,29,95,100,20
22/07/31,09:45:07,35,95,100,20
22/07/31,09:45:07,39,95,100,20
22/07/31,09:45:07,46,95,100,20
22/07/31,09:45:08,46,95,100,20
22/07/31,09:45:08,41,95,100,20
22/07/31,09:45:08,38,95,100,20
