date,time,distance,cnt,pwm,uid
22/08/04,13:09:16,33,100,97,20
22/08/04,13:09:16,31,99,97,20
22/08/04,13:09:17,34,99,97,20
22/08/04,13:09:17,33,99,97,20
22/08/04,13:09:17,26,99,97,20
22/08/04,13:09:17,27,99,97,20
22/08/04,13:09:17,38,99,97,20
22/08/04,13:09:18,40,99,97,20
22/08/04,13:09:18,44,99,97,20
22/08/04,13:09:18,47,99,97,20
22/08/04,13:09:18,44,99,97,20
22/08/04,13:09:18,39,99,97,20
22/08/04,13:09:18,36,99,97,20
22/08/04,13:09:19,23,98,97,20
22/08/04,13:09:19,25,98,97,20
22/08/04,13:09:19,28,98,97,20
22/08/04,13:09:19,24,98,97,20
22/08/04,13:09:19,29,98,97,20
22/08/04,13:09:20,32,98,97,20
22/08/04,13:09:20,39,98,97,20
22/08/04,13:09:20,39,98,97,20
22/08/04,13:09:20,44,98,97,20
22/08/04,13:09:20,43,98,97,20
22/08/04,13:09:20,39,98,96,20
22/08/04,13:09:21,32,98,95,20
22/08/04,13:09:21,28,97,95,20
22/08/04,13:09:21,24,97,95,20
22/08/04,13:09:21,25,97,95,20
22/08/04,13:09:21,25,97,97,20
22/08/04,13:09:22,29,97,99,20
22/08/04,13:09:22,37,97,99,20
22/08/04,13:09:22,39,97,99,20
22/08/04,13:09:22,44,97,99,20
22/08/04,13:09:22,46,97,99,20
22/08/04,13:09:23,44,97,101,20
22/08/04,13:09:23,37,97,103,20
22/08/04,13:09:23,31,97,103,20
22/08/04,13:09:23,24,96,103,20
22/08/04,13:09:23,27,96,103,20
22/08/04,13:09:23,33,96,103,20
22/08/04,13:09:24,27,96,103,20
22/08/04,13:09:24,27,96,102,20
22/08/04,13:09:24,36,96,101,20
22/08/04,13:09:24,37,96,100,20
22/08/04,13:09:24,41,96,100,20
22/08/04,13:09:25,48,96,100,20
22/08/04,13:09:25,43,96,100,20
22/08/04,13:09:25,36,96,100,20
22/08/04,13:09:25,29,96,100,20
22/08/04,13:09:25,28,95,100,20
22/08/04,13:09:25,23,95,100,20
22/08/04,13:09:26,29,95,100,20
22/08/04,13:09:26,27,95,100,20
22/08/04,13:09:26,28,95,100,20
