----------------------------------
date,time,distance,cnt,pwm,uid
22/08/07,12:29:30,40,100,100,20
22/08/07,12:29:30,39,99,100,20
22/08/07,12:29:30,38,99,100,20
22/08/07,12:29:31,35,99,100,20
22/08/07,12:29:31,37,99,100,20
22/08/07,12:29:31,35,99,100,20
22/08/07,12:29:31,32,99,100,20
22/08/07,12:29:42,36,100,100,20
22/08/07,12:29:43,37,100,100,20
22/08/07,12:29:43,43,100,100,20
22/08/07,12:29:43,27,100,100,20
22/08/07,12:29:43,25,100,100,20
22/08/07,12:29:43,35,100,100,20
22/08/07,12:29:44,42,100,100,20
22/08/07,12:29:44,46,100,100,20
22/08/07,12:29:44,47,100,100,20
22/08/07,12:29:44,43,100,100,20
22/08/07,12:29:44,37,100,100,20
22/08/07,12:29:44,31,100,100,20
22/08/07,12:29:45,26,99,100,20
22/08/07,12:29:45,27,99,100,20
22/08/07,12:29:45,33,99,100,20
22/08/07,12:29:45,25,99,100,20
22/08/07,12:29:45,28,99,100,20
22/08/07,12:29:46,35,99,100,20
22/08/07,12:29:46,37,99,100,20
22/08/07,12:29:46,46,99,100,20
22/08/07,12:29:46,47,99,100,20
22/08/07,12:29:46,44,99,100,20
22/08/07,12:29:47,37,99,100,20
22/08/07,12:29:47,31,99,100,20
22/08/07,12:29:47,25,98,100,20
22/08/07,12:29:47,28,98,100,20
22/08/07,12:29:47,35,98,100,20
22/08/07,12:29:47,28,98,100,20
22/08/07,12:29:48,31,98,100,20
22/08/07,12:29:48,34,98,100,20
22/08/07,12:29:48,38,98,100,20
22/08/07,12:29:48,43,98,100,20
22/08/07,12:29:48,47,98,100,20
22/08/07,12:29:49,41,98,100,20
22/08/07,12:29:49,39,98,100,20
22/08/07,12:29:49,34,98,100,20
22/08/07,12:29:49,25,97,100,20
22/08/07,12:29:49,24,97,100,20
22/08/07,12:29:49,32,97,100,20
22/08/07,12:29:50,28,97,100,20
22/08/07,12:29:50,29,97,100,20
22/08/07,12:29:50,38,97,100,20
22/08/07,12:29:50,40,97,100,20
22/08/07,12:29:50,45,97,100,20
22/08/07,12:29:51,46,97,100,20
22/08/07,12:29:51,44,97,100,20
22/08/07,12:29:51,43,97,100,20
22/08/07,12:29:51,35,97,100,20
22/08/07,12:29:51,28,96,100,20
22/08/07,12:29:52,24,96,100,20
22/08/07,12:29:52,30,96,100,20
22/08/07,12:29:52,27,96,100,20
22/08/07,12:29:52,31,96,100,20
22/08/07,12:29:52,38,96,100,20
22/08/07,12:29:52,38,96,100,20
22/08/07,12:29:53,43,96,100,20
22/08/07,12:29:53,44,96,100,20
22/08/07,12:29:53,43,96,100,20
22/08/07,12:29:53,37,96,100,20
22/08/07,12:29:53,34,96,100,20
22/08/07,12:29:54,30,95,100,20
22/08/07,12:29:54,26,95,100,20
22/08/07,12:29:54,27,95,100,20
22/08/07,12:29:54,22,95,100,20
22/08/07,12:29:54,30,95,100,20
22/08/07,12:29:54,37,95,100,20
22/08/07,12:29:55,36,95,100,20
22/08/07,12:29:55,46,95,100,20
22/08/07,12:29:55,46,95,100,20
22/08/07,12:29:55,45,95,100,20
22/08/07,12:29:55,38,95,100,20
22/08/07,12:29:56,36,95,100,20
22/08/07,12:29:56,30,94,100,20
22/08/07,12:29:56,27,94,100,20
22/08/07,12:29:56,28,94,100,20
22/08/07,12:29:56,25,94,100,20
22/08/07,12:29:57,31,94,100,20
22/08/07,12:29:57,33,94,100,20
22/08/07,12:29:57,40,94,100,20
22/08/07,12:29:57,47,94,100,20
22/08/07,12:29:57,49,94,100,20
22/08/07,12:29:57,44,94,100,20
22/08/07,12:29:58,39,94,100,20
22/08/07,12:29:58,34,94,100,20
22/08/07,12:29:58,29,93,100,20
22/08/07,12:29:58,26,93,100,20
22/08/07,12:29:58,25,93,100,20
22/08/07,12:29:59,25,93,100,20
22/08/07,12:29:59,27,93,100,20
22/08/07,12:29:59,39,93,100,20
22/08/07,12:29:59,39,93,100,20
22/08/07,12:29:59,46,93,100,20
22/08/07,12:29:59,49,93,100,20
22/08/07,12:30:00,45,93,100,20
22/08/07,12:30:00,41,93,100,20
22/08/07,12:30:00,35,93,100,20
22/08/07,12:30:00,27,92,100,20
22/08/07,12:30:00,28,92,100,20
22/08/07,12:30:01,26,92,100,20
22/08/07,12:30:01,26,92,100,20
22/08/07,12:30:01,29,92,100,20
22/08/07,12:30:01,35,92,100,20
22/08/07,12:30:01,37,92,100,20
22/08/07,12:30:02,47,92,100,20
22/08/07,12:30:02,47,92,100,20
22/08/07,12:30:02,44,92,100,20
22/08/07,12:30:02,34,92,100,20
22/08/07,12:30:02,36,92,100,20
22/08/07,12:30:02,30,91,100,20
22/08/07,12:30:03,26,91,100,20
22/08/07,12:30:03,25,91,100,20
22/08/07,12:30:03,26,91,100,20
22/08/07,12:30:03,35,91,100,20
22/08/07,12:30:03,35,91,100,20
22/08/07,12:30:04,43,91,100,20
22/08/07,12:30:04,47,91,100,20
22/08/07,12:30:04,39,91,100,20
22/08/07,12:30:04,38,91,100,20
22/08/07,12:30:04,27,91,100,20
22/08/07,12:30:04,24,90,100,20
22/08/07,12:30:05,29,90,100,20
22/08/07,12:30:05,36,90,100,20
22/08/07,12:30:05,26,90,100,20
22/08/07,12:30:05,27,90,100,20
22/08/07,12:30:05,32,90,100,20
22/08/07,12:30:06,40,90,100,20
22/08/07,12:30:06,46,90,100,20
22/08/07,12:30:06,46,90,100,20
22/08/07,12:30:06,43,90,100,20
22/08/07,12:30:06,38,90,100,20
22/08/07,12:30:07,32,90,100,20
22/08/07,12:30:07,26,89,100,20
22/08/07,12:30:07,27,89,100,20
22/08/07,12:30:07,36,89,100,20
22/08/07,12:30:07,26,89,100,20
22/08/07,12:30:07,27,89,100,20
22/08/07,12:30:08,34,89,100,20
22/08/07,12:30:08,40,89,100,20
22/08/07,12:30:08,44,89,100,20
22/08/07,12:30:08,46,89,100,20
22/08/07,12:30:08,44,89,100,20
22/08/07,12:30:09,41,89,100,20
22/08/07,12:30:09,32,89,100,20
22/08/07,12:30:09,23,88,100,20
22/08/07,12:30:09,27,88,100,20
22/08/07,12:30:09,27,88,100,20
22/08/07,12:30:09,30,88,100,20
22/08/07,12:30:10,29,88,100,20
22/08/07,12:30:10,36,88,100,20
22/08/07,12:30:10,40,88,100,20
22/08/07,12:30:10,43,88,100,20
22/08/07,12:30:10,48,88,100,20
22/08/07,12:30:11,43,88,100,20
22/08/07,12:30:11,41,88,100,20
22/08/07,12:30:11,32,88,100,20
22/08/07,12:30:11,30,87,100,20
22/08/07,12:30:11,27,87,100,20
22/08/07,12:30:12,31,87,100,20
22/08/07,12:30:12,29,87,100,20
22/08/07,12:30:12,31,87,100,20
22/08/07,12:30:12,35,87,100,20
22/08/07,12:30:12,40,87,100,20
22/08/07,12:30:12,44,87,100,20
22/08/07,12:30:13,47,87,100,20
22/08/07,12:30:13,46,87,100,20
22/08/07,12:30:13,40,87,100,20
22/08/07,12:30:13,35,87,100,20
