date,time,distance,cnt,pwm,uid
22/08/11,11:51:54,33,100,100,20
22/08/11,11:51:55,40,99,100,20
22/08/11,11:51:55,38,99,100,20
22/08/11,11:51:55,39,99,100,20
22/08/11,11:51:55,35,99,100,20
22/08/11,11:51:55,39,99,100,20
22/08/11,11:51:56,38,99,100,20
22/08/11,11:52:02,37,100,100,20
22/08/11,11:52:03,37,100,100,20
22/08/11,11:52:03,36,100,100,20
22/08/11,11:52:03,30,100,100,20
22/08/11,11:52:03,28,100,100,20
22/08/11,11:52:03,35,100,100,20
22/08/11,11:52:03,42,100,100,20
22/08/11,11:52:04,41,100,100,20
22/08/11,11:52:04,50,100,100,20
22/08/11,11:52:04,44,100,100,20
22/08/11,11:52:04,37,100,100,20
22/08/11,11:52:04,35,100,100,20
22/08/11,11:52:05,27,99,100,20
22/08/11,11:52:05,29,99,100,20
22/08/11,11:52:05,34,99,100,20
22/08/11,11:52:05,31,99,100,20
22/08/11,11:52:05,27,99,100,20
22/08/11,11:52:06,35,99,100,20
22/08/11,11:52:06,42,99,100,20
22/08/11,11:52:06,41,99,100,20
22/08/11,11:52:06,45,99,100,20
22/08/11,11:52:06,44,99,100,20
22/08/11,11:52:06,37,99,100,20
22/08/11,11:52:07,33,99,100,20
22/08/11,11:52:07,29,98,100,20
22/08/11,11:52:07,30,98,100,20
22/08/11,11:52:07,38,98,100,20
22/08/11,11:52:07,29,98,100,20
22/08/11,11:52:08,26,98,100,20
22/08/11,11:52:08,35,98,100,20
22/08/11,11:52:08,36,98,100,20
22/08/11,11:52:08,42,98,100,20
22/08/11,11:52:08,46,98,100,20
22/08/11,11:52:08,40,98,100,20
22/08/11,11:52:09,36,98,100,20
22/08/11,11:52:09,34,98,100,20
22/08/11,11:52:09,29,97,100,20
----------------------------------
date,time,distance,cnt,pwm,uid
22/08/11,11:53:18,36,100,100,20
22/08/11,11:53:18,32,99,100,20
22/08/11,11:53:18,33,99,100,20
22/08/11,11:53:18,34,99,100,20
22/08/11,11:53:18,37,99,100,20
22/08/11,11:53:18,32,99,100,20
----------------------------------
date,time,distance,cnt,pwm,uid
22/08/11,11:53:33,31,100,100,20
22/08/11,11:53:33,39,99,100,20
22/08/11,11:53:33,35,99,100,20
22/08/11,11:53:34,33,99,100,20
22/08/11,11:53:34,28,99,100,20
22/08/11,11:53:34,25,99,100,20
22/08/11,11:53:34,32,99,100,20
22/08/11,11:53:34,40,99,100,20
22/08/11,11:53:35,41,99,100,20
22/08/11,11:53:35,44,99,100,20
22/08/11,11:53:35,41,99,100,20
22/08/11,11:53:35,35,99,100,20
22/08/11,11:53:35,32,99,100,20
22/08/11,11:53:35,27,98,100,20
22/08/11,11:53:36,30,98,100,20
22/08/11,11:53:36,35,98,100,20
22/08/11,11:53:36,30,98,100,20
22/08/11,11:53:36,28,98,100,20
22/08/11,11:53:36,32,98,100,20
22/08/11,11:53:37,40,98,100,20
22/08/11,11:53:37,47,98,100,20
22/08/11,11:53:37,47,98,100,20
22/08/11,11:53:37,41,98,100,20
22/08/11,11:53:37,37,98,100,20
22/08/11,11:53:38,33,98,100,20
22/08/11,11:53:38,30,97,100,20
22/08/11,11:53:38,32,97,100,20
22/08/11,11:53:38,32,97,100,20
22/08/11,11:53:38,31,97,100,20
22/08/11,11:53:38,31,97,100,20
22/08/11,11:53:39,36,97,100,20
22/08/11,11:53:39,40,97,100,20
22/08/11,11:53:39,45,97,100,20
22/08/11,11:53:39,48,97,100,20
22/08/11,11:53:39,40,97,100,20
22/08/11,11:53:40,37,97,100,20
22/08/11,11:53:40,28,97,100,20
22/08/11,11:53:40,29,96,100,20
22/08/11,11:53:40,32,96,100,20
22/08/11,11:53:40,38,96,100,20
22/08/11,11:53:41,30,96,100,20
22/08/11,11:53:41,28,96,100,20
22/08/11,11:53:41,34,96,100,20
