----------------------------------
date,time,distance,cnt,pwm,uid
22/06/02,07:36:30,37,100,90,30
22/06/02,07:36:30,29,99,90,30
22/06/02,07:36:31,32,99,90,30
22/06/02,07:36:31,33,99,90,30
22/06/02,07:36:31,22,99,90,30
22/06/02,07:36:31,28,99,90,30
22/06/02,07:36:31,31,99,90,30
22/06/02,07:36:32,36,99,90,30
22/06/02,07:36:32,42,99,90,30
22/06/02,07:36:32,41,99,90,30
22/06/02,07:36:32,37,99,90,30
22/06/02,07:36:32,33,99,90,30
22/06/02,07:36:33,31,99,90,30
22/06/02,07:36:33,25,98,90,30
22/06/02,07:36:33,29,98,90,30
22/06/02,07:36:33,37,98,90,30
22/06/02,07:36:33,25,98,90,30
22/06/02,07:36:33,27,98,90,30
22/06/02,07:36:34,30,98,90,30
22/06/02,07:36:34,36,98,90,30
22/06/02,07:36:34,38,98,90,30
22/06/02,07:36:34,40,98,90,30
22/06/02,07:36:34,34,98,90,30
22/06/02,07:36:35,33,98,90,30
22/06/02,07:36:35,28,98,90,30
22/06/02,07:36:35,23,97,90,30
22/06/02,07:36:35,29,97,90,30
22/06/02,07:36:35,34,97,90,30
22/06/02,07:36:36,26,97,90,30
22/06/02,07:36:36,23,97,90,30
22/06/02,07:36:36,33,97,90,30
22/06/02,07:36:36,33,97,90,30
22/06/02,07:36:36,37,97,90,30
22/06/02,07:36:36,43,97,90,30
22/06/02,07:36:37,42,97,90,30
22/06/02,07:36:37,36,97,90,30
22/06/02,07:36:37,37,97,90,30
22/06/02,07:36:37,32,97,90,30
22/06/02,07:36:37,29,96,90,30
22/06/02,07:36:38,31,96,90,30
22/06/02,07:36:38,27,96,90,30
22/06/02,07:36:38,24,96,90,30
22/06/02,07:36:38,28,96,90,30
22/06/02,07:36:38,35,96,90,30
22/06/02,07:36:39,36,96,90,30
22/06/02,07:36:39,39,96,90,30
22/06/02,07:36:39,42,96,90,30
22/06/02,07:36:39,39,96,90,30
22/06/02,07:36:39,34,96,90,30
22/06/02,07:36:39,30,96,90,30
22/06/02,07:36:40,26,95,90,30
22/06/02,07:36:40,26,95,90,30
22/06/02,07:36:40,29,95,90,30
22/06/02,07:36:40,26,95,90,30
22/06/02,07:36:40,27,95,90,30
22/06/02,07:36:41,28,95,90,30
22/06/02,07:36:41,36,95,90,30
22/06/02,07:36:41,40,95,90,30
22/06/02,07:36:41,43,95,90,30
22/06/02,07:36:41,35,95,90,30
22/06/02,07:36:42,35,95,90,30
22/06/02,07:36:42,26,95,90,30
22/06/02,07:36:42,26,94,90,30
22/06/02,07:36:42,28,94,90,30
22/06/02,07:36:42,29,94,90,30
22/06/02,07:36:42,28,94,90,30
22/06/02,07:36:43,26,94,90,30
22/06/02,07:36:43,30,94,90,30
22/06/02,07:36:43,34,94,90,30
22/06/02,07:36:43,37,94,90,30
22/06/02,07:36:43,40,94,90,30
22/06/02,07:36:44,37,94,90,30
22/06/02,07:36:44,36,94,90,30
22/06/02,07:36:44,28,93,90,30
22/06/02,07:36:44,27,93,90,30
22/06/02,07:36:44,22,93,90,30
22/06/02,07:36:45,23,93,90,30
22/06/02,07:36:45,28,93,90,30
22/06/02,07:36:45,37,93,90,30
22/06/02,07:36:45,36,93,90,30
22/06/02,07:36:45,39,93,90,30
22/06/02,07:36:45,42,93,90,30
22/06/02,07:36:46,37,93,90,30
22/06/02,07:36:46,36,93,90,30
22/06/02,07:36:46,34,93,90,30
22/06/02,07:36:46,25,92,90,30
22/06/02,07:36:46,28,92,90,30
22/06/02,07:36:47,34,92,90,30
22/06/02,07:36:47,27,92,90,30
22/06/02,07:36:47,25,92,90,30
22/06/02,07:36:47,30,92,90,30
22/06/02,07:36:47,33,92,90,30
22/06/02,07:36:48,37,92,90,30
22/06/02,07:36:48,39,92,90,30
22/06/02,07:36:48,39,92,90,30
22/06/02,07:36:48,34,92,90,30
22/06/02,07:36:48,27,91,90,30
22/06/02,07:36:48,24,91,90,30
22/06/02,07:36:49,25,91,90,30
22/06/02,07:36:49,22,91,90,30
22/06/02,07:36:49,29,91,90,30
22/06/02,07:36:49,35,91,90,30
22/06/02,07:36:49,38,91,90,30
22/06/02,07:36:50,45,91,90,30
22/06/02,07:36:50,45,91,90,30
22/06/02,07:36:50,40,91,90,30
22/06/02,07:36:50,34,91,90,30
22/06/02,07:36:50,34,91,90,30
22/06/02,07:36:51,28,90,90,30
22/06/02,07:36:51,25,90,90,30
22/06/02,07:36:51,28,90,90,30
22/06/02,07:36:51,26,90,90,30
22/06/02,07:36:51,27,90,90,30
22/06/02,07:36:51,32,90,90,30
22/06/02,07:36:52,41,90,90,30
22/06/02,07:36:52,42,90,90,30
22/06/02,07:36:52,46,90,90,30
22/06/02,07:36:52,39,90,90,30
22/06/02,07:36:52,34,90,90,30
22/06/02,07:36:53,32,90,90,30
22/06/02,07:36:53,25,89,90,30
22/06/02,07:36:53,27,89,90,30
22/06/02,07:36:53,36,89,90,30
22/06/02,07:36:53,27,89,90,30
22/06/02,07:36:54,27,89,90,30
22/06/02,07:36:54,34,89,90,30
22/06/02,07:36:54,38,89,90,30
22/06/02,07:36:54,40,89,90,30
22/06/02,07:36:54,43,89,90,30
22/06/02,07:36:54,38,89,90,30
22/06/02,07:36:55,34,89,90,30
22/06/02,07:36:55,29,89,90,30
22/06/02,07:36:55,24,88,90,30
22/06/02,07:36:55,24,88,90,30
22/06/02,07:36:55,37,88,90,30
22/06/02,07:36:56,31,88,90,30
22/06/02,07:36:56,25,88,90,30
22/06/02,07:36:56,30,88,90,30
22/06/02,07:36:56,34,88,90,30
22/06/02,07:36:56,37,88,90,30
22/06/02,07:36:57,43,88,90,30
22/06/02,07:36:57,37,88,90,30
22/06/02,07:36:57,31,88,90,30
22/06/02,07:36:57,26,87,90,30
22/06/02,07:36:57,24,87,90,30
22/06/02,07:36:57,29,87,90,30
22/06/02,07:36:58,23,87,90,30
22/06/02,07:36:58,27,87,90,30
22/06/02,07:36:58,36,87,90,30
22/06/02,07:36:58,38,87,90,30
22/06/02,07:36:58,42,87,90,30
22/06/02,07:36:59,43,87,90,30
22/06/02,07:36:59,42,87,90,30
22/06/02,07:36:59,39,87,90,30
22/06/02,07:36:59,32,87,90,30
22/06/02,07:36:59,25,86,90,30
22/06/02,07:37:00,26,86,90,30
22/06/02,07:37:00,34,86,90,30
22/06/02,07:37:00,27,86,90,30
22/06/02,07:37:00,27,86,90,30
22/06/02,07:37:00,33,86,90,30
22/06/02,07:37:00,34,86,90,30
22/06/02,07:37:01,38,86,90,30
22/06/02,07:37:01,41,86,90,30
22/06/02,07:37:01,36,86,90,30
22/06/02,07:37:01,32,86,90,30
22/06/02,07:37:01,27,85,90,30
22/06/02,07:37:02,28,85,90,30
22/06/02,07:37:02,27,85,90,30
22/06/02,07:37:02,29,85,90,30
22/06/02,07:37:02,33,85,90,30
22/06/02,07:37:02,33,85,90,30
22/06/02,07:37:03,41,85,90,30
22/06/02,07:37:03,45,85,90,30
22/06/02,07:37:03,35,85,90,30
22/06/02,07:37:03,32,85,90,30
22/06/02,07:37:03,29,85,90,30
22/06/02,07:37:04,28,84,90,30
22/06/02,07:37:04,26,84,90,30
22/06/02,07:37:04,36,84,90,30
22/06/02,07:37:04,24,84,90,30
22/06/02,07:37:04,24,84,90,30
22/06/02,07:37:04,31,84,90,30
22/06/02,07:37:05,37,84,90,30
22/06/02,07:37:05,36,84,90,30
22/06/02,07:37:05,42,84,90,30
22/06/02,07:37:05,42,84,90,30
22/06/02,07:37:05,41,84,90,30
22/06/02,07:37:06,37,84,90,30
22/06/02,07:37:06,27,84,90,30
22/06/02,07:37:06,27,83,90,30
22/06/02,07:37:06,24,83,90,30
22/06/02,07:37:06,30,83,90,30
22/06/02,07:37:07,27,83,90,30
22/06/02,07:37:07,25,83,90,30
22/06/02,07:37:07,33,83,90,30
22/06/02,07:37:07,37,83,90,30
22/06/02,07:37:07,41,83,90,30
22/06/02,07:37:07,42,83,90,30
22/06/02,07:37:08,38,83,90,30
22/06/02,07:37:08,35,83,90,30
22/06/02,07:37:08,30,83,90,30
22/06/02,07:37:08,27,82,90,30
22/06/02,07:37:08,28,82,90,30
22/06/02,07:37:09,33,82,90,30
22/06/02,07:37:09,28,82,90,30
22/06/02,07:37:09,25,82,90,30
22/06/02,07:37:09,28,82,90,30
22/06/02,07:37:09,33,82,90,30
22/06/02,07:37:10,39,82,90,30
22/06/02,07:37:10,41,82,90,30
22/06/02,07:37:10,38,82,90,30
22/06/02,07:37:10,35,82,90,30
22/06/02,07:37:10,26,81,90,30
22/06/02,07:37:11,28,81,90,30
22/06/02,07:37:11,29,81,90,30
22/06/02,07:37:11,25,81,90,30
22/06/02,07:37:11,28,81,90,30
22/06/02,07:37:11,33,81,90,30
22/06/02,07:37:11,39,81,90,30
22/06/02,07:37:12,43,81,90,30
22/06/02,07:37:12,46,81,90,30
22/06/02,07:37:12,41,81,90,30
22/06/02,07:37:12,36,81,90,30
22/06/02,07:37:12,31,81,90,30
22/06/02,07:37:13,28,80,90,30
22/06/02,07:37:13,29,80,90,30
22/06/02,07:37:13,27,80,90,30
22/06/02,07:37:13,28,80,90,30
22/06/02,07:37:13,29,80,90,30
22/06/02,07:37:14,33,80,90,30
22/06/02,07:37:14,38,80,90,30
22/06/02,07:37:14,43,80,90,30
22/06/02,07:37:14,45,80,90,30
22/06/02,07:37:14,39,80,90,30
22/06/02,07:37:14,32,80,90,30
22/06/02,07:37:15,31,80,90,30
22/06/02,07:37:15,28,79,90,30
22/06/02,07:37:15,26,79,90,30
22/06/02,07:37:15,35,79,90,30
22/06/02,07:37:15,30,79,90,30
22/06/02,07:37:16,28,79,90,30
22/06/02,07:37:16,35,79,90,30
22/06/02,07:37:16,37,79,90,30
22/06/02,07:37:16,39,79,90,30
22/06/02,07:37:16,42,79,90,30
22/06/02,07:37:17,38,79,90,30
22/06/02,07:37:17,36,79,90,30
22/06/02,07:37:17,30,79,90,30
22/06/02,07:37:17,26,78,90,30
22/06/02,07:37:17,29,78,90,30
22/06/02,07:37:17,34,78,90,30
22/06/02,07:37:18,27,78,90,30
22/06/02,07:37:18,26,78,90,30
22/06/02,07:37:18,30,78,90,30
22/06/02,07:37:18,38,78,90,30
22/06/02,07:37:18,43,78,90,30
22/06/02,07:37:19,43,78,90,30
22/06/02,07:37:19,37,78,90,30
22/06/02,07:37:19,37,78,90,30
22/06/02,07:37:19,30,78,90,30
22/06/02,07:37:19,27,77,90,30
22/06/02,07:37:20,26,77,90,30
22/06/02,07:37:20,36,77,90,30
22/06/02,07:37:20,29,77,90,30
22/06/02,07:37:20,26,77,90,30
22/06/02,07:37:20,30,77,90,30
22/06/02,07:37:20,36,77,90,30
22/06/02,07:37:21,41,77,90,30
22/06/02,07:37:21,43,77,90,30
22/06/02,07:37:21,37,77,90,30
22/06/02,07:37:21,37,77,90,30
22/06/02,07:37:21,30,77,90,30
22/06/02,07:37:22,27,76,90,30
22/06/02,07:37:22,27,76,90,30
22/06/02,07:37:22,40,76,90,30
22/06/02,07:37:22,29,76,90,30
22/06/02,07:37:22,24,76,90,30
22/06/02,07:37:23,30,76,90,30
22/06/02,07:37:23,36,76,90,30
22/06/02,07:37:23,37,76,90,30
22/06/02,07:37:23,41,76,90,30
22/06/02,07:37:23,42,76,90,30
22/06/02,07:37:23,39,76,90,30
22/06/02,07:37:24,37,76,90,30
22/06/02,07:37:24,32,76,90,30
22/06/02,07:37:24,28,75,90,30
22/06/02,07:37:24,29,75,90,30
22/06/02,07:37:24,28,75,90,30
22/06/02,07:37:25,27,75,90,30
22/06/02,07:37:25,31,75,90,30
22/06/02,07:37:25,35,75,90,30
22/06/02,07:37:25,41,75,90,30
22/06/02,07:37:25,40,75,90,30
22/06/02,07:37:26,40,75,90,30
22/06/02,07:37:26,39,75,90,30
22/06/02,07:37:26,35,75,90,30
22/06/02,07:37:26,33,75,90,30
22/06/02,07:37:26,22,74,90,30
22/06/02,07:37:26,26,74,90,30
22/06/02,07:37:27,33,74,90,30
22/06/02,07:37:27,26,74,90,30
22/06/02,07:37:27,30,74,90,30
22/06/02,07:37:27,31,74,90,30
22/06/02,07:37:27,38,74,90,30
22/06/02,07:37:28,37,74,90,30
22/06/02,07:37:28,42,74,90,30
22/06/02,07:37:28,36,74,90,30
22/06/02,07:37:28,35,74,90,30
22/06/02,07:37:28,31,74,90,30
22/06/02,07:37:29,26,73,90,30
22/06/02,07:37:29,27,73,90,30
22/06/02,07:37:29,32,73,90,30
22/06/02,07:37:29,25,73,90,30
22/06/02,07:37:29,32,73,90,30
22/06/02,07:37:29,34,73,90,30
22/06/02,07:37:30,38,73,90,30
22/06/02,07:37:30,40,73,90,30
22/06/02,07:37:30,43,73,90,30
22/06/02,07:37:30,39,73,90,30
22/06/02,07:37:30,36,73,90,30
22/06/02,07:37:31,29,73,90,30
22/06/02,07:37:31,27,72,90,30
22/06/02,07:37:31,27,72,90,30
22/06/02,07:37:31,36,72,90,30
22/06/02,07:37:31,27,72,90,30
22/06/02,07:37:32,26,72,90,30
22/06/02,07:37:32,28,72,90,30
22/06/02,07:37:32,36,72,90,30
22/06/02,07:37:32,41,72,90,30
22/06/02,07:37:32,42,72,90,30
22/06/02,07:37:32,37,72,90,30
22/06/02,07:37:33,35,72,90,30
22/06/02,07:37:33,28,72,90,30
22/06/02,07:37:33,25,71,90,30
22/06/02,07:37:33,29,71,90,30
22/06/02,07:37:33,33,71,90,30
22/06/02,07:37:34,29,71,90,30
22/06/02,07:37:34,33,71,90,30
22/06/02,07:37:34,35,71,90,30
22/06/02,07:37:34,39,71,90,30
22/06/02,07:37:34,40,71,90,30
22/06/02,07:37:35,42,71,90,30
22/06/02,07:37:35,38,71,90,30
22/06/02,07:37:35,37,71,90,30
22/06/02,07:37:35,30,71,90,30
22/06/02,07:37:35,26,70,90,30
22/06/02,07:37:36,29,70,90,30
22/06/02,07:37:36,36,70,90,30
22/06/02,07:37:36,25,70,90,30
22/06/02,07:37:36,28,70,90,30
22/06/02,07:37:36,33,70,90,30
22/06/02,07:37:36,40,70,90,30
22/06/02,07:37:37,39,70,90,30
22/06/02,07:37:37,42,70,90,30
22/06/02,07:37:37,40,70,90,30
22/06/02,07:37:37,36,70,90,30
22/06/02,07:37:37,29,70,90,30
22/06/02,07:37:38,28,69,90,30
22/06/02,07:37:38,29,69,90,30
22/06/02,07:37:38,31,69,90,30
22/06/02,07:37:38,30,69,90,30
22/06/02,07:37:38,27,69,90,30
22/06/02,07:37:39,29,69,90,30
22/06/02,07:37:39,36,69,90,30
22/06/02,07:37:39,38,69,90,30
22/06/02,07:37:39,43,69,90,30
22/06/02,07:37:39,37,69,90,30
22/06/02,07:37:39,31,69,90,30
22/06/02,07:37:40,27,68,90,30
22/06/02,07:37:40,26,68,90,30
22/06/02,07:37:40,28,68,90,30
