date,time,distance,cnt,pwm,uid
22/06/05,13:20:49,34,100,90,30
22/06/05,13:20:49,33,99,90,30
22/06/05,13:20:49,34,99,90,30
22/06/05,13:20:49,33,99,90,30
22/06/05,13:20:50,41,99,90,30
22/06/05,13:20:50,33,99,90,30
22/06/05,13:20:50,44,99,90,30
22/06/05,13:20:50,37,99,90,30
22/06/05,13:20:50,36,99,90,30
22/06/05,13:20:51,33,99,90,30
22/06/05,13:20:51,42,99,90,30
22/06/05,13:20:51,42,99,90,30
22/06/05,13:20:51,34,99,90,30
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/05,13:21:00,36,100,90,30
22/06/05,13:21:00,41,99,90,30
22/06/05,13:21:00,35,99,90,30
22/06/05,13:21:01,35,99,90,30
22/06/05,13:21:01,31,99,90,30
22/06/05,13:21:01,25,99,90,30
22/06/05,13:21:01,31,99,90,30
22/06/05,13:21:01,36,99,90,30
22/06/05,13:21:02,36,99,90,30
22/06/05,13:21:02,41,99,90,30
22/06/05,13:21:02,36,99,90,30
22/06/05,13:21:02,32,99,90,30
22/06/05,13:21:02,27,98,90,30
22/06/05,13:21:02,27,98,90,30
22/06/05,13:21:03,26,98,90,30
22/06/05,13:21:03,26,98,90,30
22/06/05,13:21:03,33,98,90,30
22/06/05,13:21:03,34,98,90,30
22/06/05,13:21:03,37,98,90,30
22/06/05,13:21:04,43,98,90,30
22/06/05,13:21:04,44,98,90,30
22/06/05,13:21:04,49,98,90,30
22/06/05,13:21:04,44,98,90,30
22/06/05,13:21:04,39,98,90,30
22/06/05,13:21:04,36,98,90,30
22/06/05,13:21:05,32,98,90,30
22/06/05,13:21:05,31,97,90,30
22/06/05,13:21:05,26,97,90,30
22/06/05,13:21:05,26,97,90,30
22/06/05,13:21:05,26,97,90,30
22/06/05,13:21:06,27,97,90,30
22/06/05,13:21:06,32,97,90,30
22/06/05,13:21:06,39,97,90,30
22/06/05,13:21:06,39,97,90,30
22/06/05,13:21:06,48,97,90,30
22/06/05,13:21:07,51,97,90,30
22/06/05,13:21:07,58,97,90,30
22/06/05,13:21:07,61,97,90,30
22/06/05,13:21:07,56,97,90,30
22/06/05,13:21:07,49,97,90,30
22/06/05,13:21:07,43,97,90,30
22/06/05,13:21:08,37,97,90,30
22/06/05,13:21:08,35,97,90,30
22/06/05,13:21:08,28,97,90,30
22/06/05,13:21:08,27,96,90,30
22/06/05,13:21:08,27,96,90,30
22/06/05,13:21:09,34,96,90,30
22/06/05,13:21:09,30,96,90,30
22/06/05,13:21:09,25,96,90,30
22/06/05,13:21:09,32,96,90,30
22/06/05,13:21:09,37,96,90,30
22/06/05,13:21:09,37,96,90,30
22/06/05,13:21:10,38,96,90,30
22/06/05,13:21:10,45,96,90,30
22/06/05,13:21:10,43,96,90,30
22/06/05,13:21:10,46,96,90,30
22/06/05,13:21:10,45,96,90,30
22/06/05,13:21:11,44,96,90,30
22/06/05,13:21:11,50,96,90,30
22/06/05,13:21:11,60,96,90,30
22/06/05,13:21:11,62,96,90,30
22/06/05,13:21:11,55,96,90,30
22/06/05,13:21:12,49,96,90,30
22/06/05,13:21:12,43,96,90,30
22/06/05,13:21:12,37,96,90,30
22/06/05,13:21:12,33,96,90,30
22/06/05,13:21:12,29,96,90,30
22/06/05,13:21:12,26,95,90,30
22/06/05,13:21:13,30,95,90,30
22/06/05,13:21:13,35,95,90,30
22/06/05,13:21:13,29,95,90,30
22/06/05,13:21:13,26,95,90,30
22/06/05,13:21:13,33,95,90,30
22/06/05,13:21:14,36,95,90,30
22/06/05,13:21:14,38,95,90,30
22/06/05,13:21:14,42,95,90,30
22/06/05,13:21:14,52,95,90,30
22/06/05,13:21:14,56,95,90,30
22/06/05,13:21:15,61,95,90,30
22/06/05,13:21:15,50,95,90,30
22/06/05,13:21:15,41,95,90,30
22/06/05,13:21:15,40,95,90,30
22/06/05,13:21:15,36,95,90,30
22/06/05,13:21:15,32,95,90,30
22/06/05,13:21:16,28,94,90,30
22/06/05,13:21:16,25,94,90,30
22/06/05,13:21:16,31,94,90,30
22/06/05,13:21:16,27,94,90,30
22/06/05,13:21:16,31,94,90,30
22/06/05,13:21:17,34,94,90,30
22/06/05,13:21:17,39,94,90,30
22/06/05,13:21:17,45,94,90,30
22/06/05,13:21:17,50,94,90,30
22/06/05,13:21:17,52,94,90,30
22/06/05,13:21:17,55,94,90,30
22/06/05,13:21:18,53,94,90,30
22/06/05,13:21:18,46,94,90,30
22/06/05,13:21:18,42,94,90,30
22/06/05,13:21:18,35,94,90,30
22/06/05,13:21:18,33,94,90,30
22/06/05,13:21:19,23,93,90,30
22/06/05,13:21:19,28,93,90,30
22/06/05,13:21:19,30,93,90,30
22/06/05,13:21:19,26,93,90,30
22/06/05,13:21:19,27,93,90,30
22/06/05,13:21:20,36,93,90,30
22/06/05,13:21:20,37,93,90,30
22/06/05,13:21:20,42,93,90,30
22/06/05,13:21:20,45,93,90,30
22/06/05,13:21:20,52,93,90,30
22/06/05,13:21:20,58,93,90,30
22/06/05,13:21:21,62,93,90,30
22/06/05,13:21:21,52,93,90,30
22/06/05,13:21:21,47,93,90,30
22/06/05,13:21:21,42,93,90,30
22/06/05,13:21:21,35,93,90,30
22/06/05,13:21:22,37,93,90,30
22/06/05,13:21:22,28,93,90,30
22/06/05,13:21:22,27,92,90,30
22/06/05,13:21:22,28,92,90,30
22/06/05,13:21:22,36,92,90,30
22/06/05,13:21:22,26,92,90,30
22/06/05,13:21:23,26,92,90,30
22/06/05,13:21:23,32,92,90,30
22/06/05,13:21:23,37,92,90,30
22/06/05,13:21:23,36,92,90,30
22/06/05,13:21:23,42,92,90,30
22/06/05,13:21:24,50,92,90,30
22/06/05,13:21:24,55,92,90,30
22/06/05,13:21:24,57,92,90,30
22/06/05,13:21:24,52,92,90,30
22/06/05,13:21:24,40,92,90,30
22/06/05,13:21:25,40,92,90,30
22/06/05,13:21:25,37,92,90,30
22/06/05,13:21:25,33,92,90,30
22/06/05,13:21:25,29,91,90,30
22/06/05,13:21:25,23,91,90,30
22/06/05,13:21:25,26,91,90,30
22/06/05,13:21:26,29,91,90,30
22/06/05,13:21:26,28,91,90,30
22/06/05,13:21:26,31,91,90,30
22/06/05,13:21:26,33,91,90,30
22/06/05,13:21:26,40,91,90,30
22/06/05,13:21:27,42,91,90,30
22/06/05,13:21:27,51,91,90,30
22/06/05,13:21:27,52,91,90,30
22/06/05,13:21:27,53,91,90,30
22/06/05,13:21:27,48,91,90,30
22/06/05,13:21:27,46,91,90,30
22/06/05,13:21:28,37,91,90,30
22/06/05,13:21:28,37,91,90,30
22/06/05,13:21:28,30,91,90,30
22/06/05,13:21:28,26,90,90,30
22/06/05,13:21:28,26,90,90,30
22/06/05,13:21:29,25,90,90,30
22/06/05,13:21:29,28,90,90,30
22/06/05,13:21:29,32,90,90,30
22/06/05,13:21:29,32,90,90,30
22/06/05,13:21:29,37,90,90,30
22/06/05,13:21:30,41,90,90,30
22/06/05,13:21:30,45,90,90,30
22/06/05,13:21:30,51,90,90,30
22/06/05,13:21:30,57,90,90,30
22/06/05,13:21:30,56,90,90,30
22/06/05,13:21:30,55,90,90,30
22/06/05,13:21:31,47,90,90,30
22/06/05,13:21:31,41,90,90,30
22/06/05,13:21:31,37,90,90,30
22/06/05,13:21:31,36,90,90,30
22/06/05,13:21:31,32,90,90,30
22/06/05,13:21:32,23,89,90,30
22/06/05,13:21:32,29,89,90,30
22/06/05,13:21:32,34,89,90,30
22/06/05,13:21:32,28,89,90,30
22/06/05,13:21:32,26,89,90,30
22/06/05,13:21:33,28,89,90,30
22/06/05,13:21:33,35,89,90,30
22/06/05,13:21:33,38,89,90,30
22/06/05,13:21:33,43,89,90,30
22/06/05,13:21:33,47,89,90,30
22/06/05,13:21:33,54,89,90,30
22/06/05,13:21:34,57,89,90,30
22/06/05,13:21:34,64,89,90,30
22/06/05,13:21:34,58,89,90,30
22/06/05,13:21:34,51,89,90,30
22/06/05,13:21:34,44,89,90,30
22/06/05,13:21:35,38,89,90,30
22/06/05,13:21:35,38,89,90,30
22/06/05,13:21:35,37,89,90,30
22/06/05,13:21:35,28,88,90,30
22/06/05,13:21:35,27,88,90,30
22/06/05,13:21:35,26,88,90,30
22/06/05,13:21:36,27,88,90,30
22/06/05,13:21:36,31,88,90,30
22/06/05,13:21:36,37,88,90,30
22/06/05,13:21:36,44,88,90,30
22/06/05,13:21:36,43,88,90,30
22/06/05,13:21:37,50,88,90,30
22/06/05,13:21:37,58,88,90,30
22/06/05,13:21:37,60,88,90,30
22/06/05,13:21:37,62,88,90,30
22/06/05,13:21:37,54,88,90,30
22/06/05,13:21:38,50,88,90,30
22/06/05,13:21:38,43,88,90,30
22/06/05,13:21:38,39,88,90,30
22/06/05,13:21:38,36,88,90,30
22/06/05,13:21:38,35,88,90,30
22/06/05,13:21:38,25,87,90,30
22/06/05,13:21:39,27,87,90,30
22/06/05,13:21:39,26,87,90,30
22/06/05,13:21:39,26,87,90,30
22/06/05,13:21:39,27,87,90,30
