date,time,distance,cnt,pwm,uid
22/06/09,08:42:17,37,100,90,30
22/06/09,08:42:17,37,99,90,30
22/06/09,08:42:17,35,99,90,30
22/06/09,08:42:17,38,99,90,30
22/06/09,08:42:18,31,99,90,30
22/06/09,08:42:18,30,99,90,30
22/06/09,08:42:18,33,99,90,30
22/06/09,08:42:18,40,99,90,30
22/06/09,08:42:18,43,99,90,30
22/06/09,08:42:19,45,99,90,30
22/06/09,08:42:19,52,99,90,30
22/06/09,08:42:19,53,99,90,30
22/06/09,08:42:19,51,99,90,30
22/06/09,08:42:19,44,99,90,30
22/06/09,08:42:19,36,99,90,30
22/06/09,08:42:20,37,99,90,30
22/06/09,08:42:20,35,99,90,30
22/06/09,08:42:20,29,98,90,30
22/06/09,08:42:20,29,98,90,30
22/06/09,08:42:20,37,98,90,30
22/06/09,08:42:21,28,98,90,30
22/06/09,08:42:21,28,98,90,30
22/06/09,08:42:21,32,98,90,30
22/06/09,08:42:21,37,98,90,30
22/06/09,08:42:21,39,98,90,30
22/06/09,08:42:22,44,98,90,30
22/06/09,08:42:22,51,98,90,30
22/06/09,08:42:22,52,98,90,30
22/06/09,08:42:22,50,98,90,30
22/06/09,08:42:22,40,98,90,30
22/06/09,08:42:22,37,98,90,30
22/06/09,08:42:23,35,98,90,30
22/06/09,08:42:23,31,98,90,30
22/06/09,08:42:23,28,97,90,30
22/06/09,08:42:23,28,97,90,30
22/06/09,08:42:23,37,97,90,30
22/06/09,08:42:24,28,97,90,30
22/06/09,08:42:24,28,97,90,30
22/06/09,08:42:24,34,97,90,30
22/06/09,08:42:24,35,97,90,30
22/06/09,08:42:24,40,97,90,30
22/06/09,08:42:25,45,97,90,30
22/06/09,08:42:25,53,97,90,30
22/06/09,08:42:25,59,97,90,30
22/06/09,08:42:25,51,97,90,30
22/06/09,08:42:25,44,97,90,30
22/06/09,08:42:25,42,97,90,30
22/06/09,08:42:26,39,97,90,30
22/06/09,08:42:26,31,97,90,30
22/06/09,08:42:26,29,96,90,30
22/06/09,08:42:26,28,96,90,30
22/06/09,08:42:26,31,96,90,30
22/06/09,08:42:27,28,96,90,30
22/06/09,08:42:27,29,96,90,30
22/06/09,08:42:27,39,96,90,30
22/06/09,08:42:27,41,96,90,30
22/06/09,08:42:27,46,96,90,30
22/06/09,08:42:28,50,96,90,30
22/06/09,08:42:28,54,96,90,30
22/06/09,08:42:28,51,96,90,30
22/06/09,08:42:28,45,96,90,30
22/06/09,08:42:28,39,96,90,30
22/06/09,08:42:28,37,96,90,30
22/06/09,08:42:29,33,96,90,30
22/06/09,08:42:29,31,95,90,30
22/06/09,08:42:29,30,95,90,30
22/06/09,08:42:29,28,95,90,30
22/06/09,08:42:29,28,95,90,30
22/06/09,08:42:30,29,95,90,30
22/06/09,08:42:30,34,95,90,30
22/06/09,08:42:30,37,95,90,30
22/06/09,08:42:30,44,95,90,30
22/06/09,08:42:30,44,95,90,30
22/06/09,08:42:31,49,95,90,30
22/06/09,08:42:31,45,95,90,30
22/06/09,08:42:31,38,95,90,30
22/06/09,08:42:31,36,95,90,30
22/06/09,08:42:31,35,95,90,30
22/06/09,08:42:31,27,94,90,30
22/06/09,08:42:32,27,94,90,30
22/06/09,08:42:32,29,94,90,30
22/06/09,08:42:32,29,94,90,30
22/06/09,08:42:32,32,94,90,30
22/06/09,08:42:32,36,94,90,30
22/06/09,08:42:33,39,94,90,30
22/06/09,08:42:33,43,94,90,30
22/06/09,08:42:33,50,94,90,30
22/06/09,08:42:33,52,94,90,30
22/06/09,08:42:33,46,94,90,30
22/06/09,08:42:34,43,94,90,30
22/06/09,08:42:34,38,94,90,30
22/06/09,08:42:34,38,94,90,30
22/06/09,08:42:34,30,94,90,30
22/06/09,08:42:34,28,93,90,30
22/06/09,08:42:35,27,93,90,30
22/06/09,08:42:35,28,93,90,30
22/06/09,08:42:35,29,93,90,30
22/06/09,08:42:35,30,93,90,30
22/06/09,08:42:35,35,93,90,30
22/06/09,08:42:35,37,93,90,30
22/06/09,08:42:36,38,93,90,30
22/06/09,08:42:36,47,93,90,30
22/06/09,08:42:36,48,93,90,30
22/06/09,08:42:36,46,93,90,30
22/06/09,08:42:36,40,93,90,30
22/06/09,08:42:37,39,93,90,30
22/06/09,08:42:37,31,93,90,30
22/06/09,08:42:37,30,92,90,30
22/06/09,08:42:37,25,92,90,30
22/06/09,08:42:37,29,92,90,30
22/06/09,08:42:38,26,92,90,30
22/06/09,08:42:38,31,92,90,30
22/06/09,08:42:38,36,92,90,30
22/06/09,08:42:38,36,92,90,30
22/06/09,08:42:38,45,92,90,30
22/06/09,08:42:38,48,92,90,30
22/06/09,08:42:39,54,92,90,30
22/06/09,08:42:39,45,92,90,30
22/06/09,08:42:39,41,92,90,30
22/06/09,08:42:39,40,92,90,30
22/06/09,08:42:39,33,92,90,30
22/06/09,08:42:40,29,91,90,30
22/06/09,08:42:40,29,91,90,30
22/06/09,08:42:40,23,91,90,30
22/06/09,08:42:40,28,91,90,30
22/06/09,08:42:40,32,91,90,30
22/06/09,08:42:41,36,91,90,30
22/06/09,08:42:41,38,91,90,30
22/06/09,08:42:41,47,91,90,30
22/06/09,08:42:41,48,91,90,30
22/06/09,08:42:41,52,91,90,30
22/06/09,08:42:41,44,91,90,30
22/06/09,08:42:42,43,91,90,30
22/06/09,08:42:42,42,91,90,30
22/06/09,08:42:42,35,91,90,30
22/06/09,08:42:42,32,91,90,30
22/06/09,08:42:42,23,90,90,30
22/06/09,08:42:43,28,90,90,30
22/06/09,08:42:43,29,90,90,30
22/06/09,08:42:43,30,90,90,30
22/06/09,08:42:43,30,90,90,30
22/06/09,08:42:43,33,90,90,30
22/06/09,08:42:44,37,90,90,30
22/06/09,08:42:44,41,90,90,30
22/06/09,08:42:44,46,90,90,30
22/06/09,08:42:44,52,90,90,30
22/06/09,08:42:44,52,90,90,30
22/06/09,08:42:44,52,90,90,30
22/06/09,08:42:45,42,90,90,30
22/06/09,08:42:45,39,90,90,30
22/06/09,08:42:45,36,90,90,30
22/06/09,08:42:45,32,90,90,30
22/06/09,08:42:45,29,89,90,30
22/06/09,08:42:46,26,89,90,30
22/06/09,08:42:46,27,89,90,30
22/06/09,08:42:46,26,89,90,30
22/06/09,08:42:46,30,89,90,30
22/06/09,08:42:46,37,89,90,30
22/06/09,08:42:47,38,89,90,30
22/06/09,08:42:47,45,89,90,30
22/06/09,08:42:47,46,89,90,30
22/06/09,08:42:47,52,89,90,30
22/06/09,08:42:47,46,89,90,30
22/06/09,08:42:47,40,89,90,30
22/06/09,08:42:48,39,89,90,30
22/06/09,08:42:48,36,89,90,30
22/06/09,08:42:48,29,88,90,30
22/06/09,08:42:48,30,88,90,30
