date,time,distance,cnt,pwm,uid
22/06/14,13:23:32,38,100,90,50
22/06/14,13:23:32,40,99,90,50
22/06/14,13:23:32,40,99,90,50
22/06/14,13:23:33,40,99,90,50
22/06/14,13:23:33,40,99,90,50
22/06/14,13:23:33,39,99,90,50
22/06/14,13:23:33,37,99,90,50
22/06/14,13:23:33,39,99,90,50
22/06/14,13:23:34,40,99,90,50
22/06/14,13:23:34,40,99,90,50
22/06/14,13:23:34,40,99,90,50
22/06/14,13:23:34,39,99,90,50
22/06/14,13:23:34,39,99,90,50
22/06/14,13:23:34,38,99,90,50
22/06/14,13:23:35,35,99,90,50
22/06/14,13:23:35,36,99,90,50
22/06/14,13:23:35,37,99,90,50
22/06/14,13:23:35,34,99,90,50
22/06/14,13:23:35,39,99,90,50
22/06/14,13:23:36,38,99,90,50
22/06/14,13:23:36,37,99,90,50
22/06/14,13:23:36,37,99,90,50
22/06/14,13:23:36,38,99,90,50
22/06/14,13:23:36,43,99,90,50
22/06/14,13:23:37,43,99,90,50
22/06/14,13:23:37,40,99,90,50
22/06/14,13:23:37,39,99,90,50
22/06/14,13:23:37,39,99,90,50
22/06/14,13:23:37,36,99,90,50
22/06/14,13:23:37,36,99,90,50
22/06/14,13:23:38,37,99,90,50
22/06/14,13:23:38,37,99,90,50
22/06/14,13:23:38,36,99,90,50
22/06/14,13:23:38,37,99,90,50
22/06/14,13:23:38,38,99,90,50
22/06/14,13:23:39,40,99,90,50
22/06/14,13:23:39,37,99,90,50
22/06/14,13:23:39,36,99,90,50
22/06/14,13:23:39,36,99,90,50
22/06/14,13:23:39,37,99,90,50
22/06/14,13:23:39,37,99,90,50
22/06/14,13:23:40,39,99,90,50
22/06/14,13:23:40,39,99,90,50
22/06/14,13:23:40,35,99,90,50
22/06/14,13:23:40,35,99,90,50
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/14,13:24:01,35,100,90,50
22/06/14,13:24:01,39,99,90,50
22/06/14,13:24:02,40,99,90,50
22/06/14,13:24:02,37,99,90,50
22/06/14,13:24:02,40,99,90,50
22/06/14,13:24:02,38,99,90,50
22/06/14,13:24:02,36,99,90,50
22/06/14,13:24:03,36,99,90,50
22/06/14,13:24:03,34,99,90,50
22/06/14,13:24:03,39,99,90,50
22/06/14,13:24:03,36,99,90,50
22/06/14,13:24:03,37,99,90,50
22/06/14,13:24:04,37,99,90,50
22/06/14,13:24:04,42,99,90,50
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/14,13:24:16,40,100,90,50
22/06/14,13:24:16,37,99,90,50
22/06/14,13:24:16,39,99,90,50
22/06/14,13:24:16,43,99,90,50
22/06/14,13:24:16,37,99,90,50
22/06/14,13:24:17,42,99,90,50
22/06/14,13:24:17,39,99,90,50
22/06/14,13:24:17,39,99,90,50
22/06/14,13:24:17,39,99,90,50
