----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/16,08:44:31,25,100,90,20
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/16,08:44:54,30,100,91,20
22/06/16,08:44:55,26,99,91,20
22/06/16,08:44:55,32,99,91,20
22/06/16,08:44:55,31,99,91,20
22/06/16,08:44:55,25,99,91,20
22/06/16,08:44:55,30,99,91,20
22/06/16,08:44:55,33,99,90,20
22/06/16,08:44:56,38,99,90,20
22/06/16,08:44:56,42,99,91,20
22/06/16,08:44:56,45,99,91,20
22/06/16,08:44:56,48,99,91,20
22/06/16,08:44:56,42,99,91,20
22/06/16,08:44:57,39,99,91,20
22/06/16,08:44:57,35,99,91,20
22/06/16,08:44:57,33,99,91,20
22/06/16,08:44:57,28,98,91,20
22/06/16,08:44:57,30,98,91,20
22/06/16,08:44:57,35,98,91,20
22/06/16,08:44:58,27,98,91,20
22/06/16,08:44:58,30,98,91,20
22/06/16,08:44:58,31,98,91,20
22/06/16,08:44:58,37,98,91,20
22/06/16,08:44:58,42,98,91,20
22/06/16,08:44:59,45,98,91,20
22/06/16,08:44:59,48,98,91,20
22/06/16,08:44:59,40,98,91,20
22/06/16,08:44:59,41,98,91,20
22/06/16,08:44:59,37,98,91,20
22/06/16,08:45:00,33,98,91,20
22/06/16,08:45:00,26,97,91,20
22/06/16,08:45:00,28,97,91,20
22/06/16,08:45:00,30,97,91,20
22/06/16,08:45:00,26,97,91,20
22/06/16,08:45:00,25,97,91,20
22/06/16,08:45:01,32,97,91,20
22/06/16,08:45:01,36,97,91,20
22/06/16,08:45:01,39,97,91,20
22/06/16,08:45:01,46,97,91,20
22/06/16,08:45:01,48,97,91,20
22/06/16,08:45:02,42,97,91,20
22/06/16,08:45:02,39,97,90,20
22/06/16,08:45:02,37,97,91,20
22/06/16,08:45:02,31,97,90,20
22/06/16,08:45:02,25,96,91,20
22/06/16,08:45:02,26,96,91,20
22/06/16,08:45:03,31,96,91,20
22/06/16,08:45:03,30,96,91,20
22/06/16,08:45:03,29,96,91,20
22/06/16,08:45:03,33,96,91,20
22/06/16,08:45:03,38,96,91,20
22/06/16,08:45:04,38,96,90,20
22/06/16,08:45:04,46,96,91,20
22/06/16,08:45:04,49,96,91,20
22/06/16,08:45:04,41,96,91,20
22/06/16,08:45:04,38,96,91,20
22/06/16,08:45:05,36,96,91,20
22/06/16,08:45:05,31,96,91,20
22/06/16,08:45:05,26,95,90,20
22/06/16,08:45:05,25,95,91,20
22/06/16,08:45:05,26,95,91,20
22/06/16,08:45:05,27,95,91,20
22/06/16,08:45:06,29,95,91,20
22/06/16,08:45:06,34,95,90,20
22/06/16,08:45:06,38,95,91,20
22/06/16,08:45:06,42,95,90,20
22/06/16,08:45:06,45,95,91,20
22/06/16,08:45:07,52,95,91,20
22/06/16,08:45:07,44,95,91,20
22/06/16,08:45:07,41,95,91,20
22/06/16,08:45:07,36,95,91,20
22/06/16,08:45:07,33,95,91,20
22/06/16,08:45:07,28,94,90,20
22/06/16,08:45:08,26,94,91,20
22/06/16,08:45:08,28,94,91,20
22/06/16,08:45:08,26,94,91,20
22/06/16,08:45:08,28,94,91,20
22/06/16,08:45:08,32,94,91,20
22/06/16,08:45:09,40,94,91,20
22/06/16,08:45:09,44,94,91,20
22/06/16,08:45:09,47,94,91,20
22/06/16,08:45:09,49,94,91,20
22/06/16,08:45:09,48,94,91,20
22/06/16,08:45:10,38,94,91,20
22/06/16,08:45:10,37,94,91,20
22/06/16,08:45:10,32,94,90,20
22/06/16,08:45:10,27,93,91,20
22/06/16,08:45:10,27,93,91,20
22/06/16,08:45:10,25,93,91,20
22/06/16,08:45:11,27,93,91,20
22/06/16,08:45:11,30,93,91,20
22/06/16,08:45:11,34,93,91,20
22/06/16,08:45:11,41,93,90,20
22/06/16,08:45:11,41,93,91,20
22/06/16,08:45:12,45,93,91,20
22/06/16,08:45:12,52,93,91,20
22/06/16,08:45:12,42,93,91,20
22/06/16,08:45:12,39,93,91,20
22/06/16,08:45:12,37,93,91,20
22/06/16,08:45:13,30,93,91,20
22/06/16,08:45:13,29,92,90,20
22/06/16,08:45:13,27,92,91,20
22/06/16,08:45:13,27,92,91,20
22/06/16,08:45:13,27,92,91,20
22/06/16,08:45:13,29,92,90,20
22/06/16,08:45:14,36,92,91,20
22/06/16,08:45:14,38,92,91,20
22/06/16,08:45:14,42,92,91,20
22/06/16,08:45:14,48,92,91,20
22/06/16,08:45:14,50,92,91,20
22/06/16,08:45:15,47,92,91,20
22/06/16,08:45:15,41,92,91,20
22/06/16,08:45:15,38,92,91,20
22/06/16,08:45:15,33,92,91,20
22/06/16,08:45:15,30,91,90,20
22/06/16,08:45:15,28,91,91,20
22/06/16,08:45:16,27,91,91,20
22/06/16,08:45:16,25,91,91,20
22/06/16,08:45:16,33,91,91,20
22/06/16,08:45:16,35,91,91,20
22/06/16,08:45:16,38,91,91,20
22/06/16,08:45:17,44,91,91,20
22/06/16,08:45:17,49,91,91,20
22/06/16,08:45:17,49,91,91,20
22/06/16,08:45:17,46,91,91,20
22/06/16,08:45:17,42,91,91,20
22/06/16,08:45:18,41,91,90,20
22/06/16,08:45:18,35,91,90,20
22/06/16,08:45:18,29,91,91,20
22/06/16,08:45:18,29,90,91,20
22/06/16,08:45:18,25,90,91,20
22/06/16,08:45:18,31,90,91,20
22/06/16,08:45:19,29,90,91,20
22/06/16,08:45:19,28,90,91,20
22/06/16,08:45:19,30,90,91,20
22/06/16,08:45:19,38,90,91,20
22/06/16,08:45:19,43,90,91,20
22/06/16,08:45:20,44,90,91,20
22/06/16,08:45:20,48,90,91,20
22/06/16,08:45:20,44,90,91,20
22/06/16,08:45:20,40,90,91,20
22/06/16,08:45:20,35,90,91,20
22/06/16,08:45:20,28,90,91,20
22/06/16,08:45:21,24,89,91,20
22/06/16,08:45:21,27,89,91,20
22/06/16,08:45:21,29,89,91,20
22/06/16,08:45:21,26,89,91,20
22/06/16,08:45:21,28,89,91,20
22/06/16,08:45:22,33,89,91,20
22/06/16,08:45:22,36,89,90,20
22/06/16,08:45:22,43,89,91,20
22/06/16,08:45:22,43,89,91,20
22/06/16,08:45:22,50,89,91,20
22/06/16,08:45:22,43,89,91,20
22/06/16,08:45:23,38,89,91,20
22/06/16,08:45:23,37,89,91,20
22/06/16,08:45:23,36,89,90,20
22/06/16,08:45:23,28,88,91,20
22/06/16,08:45:23,24,88,91,20
22/06/16,08:45:24,34,88,91,20
22/06/16,08:45:24,29,88,91,20
22/06/16,08:45:24,30,88,91,20
22/06/16,08:45:24,34,88,91,20
22/06/16,08:45:24,40,88,91,20
22/06/16,08:45:25,43,88,91,20
22/06/16,08:45:25,48,88,91,20
22/06/16,08:45:25,49,88,91,20
22/06/16,08:45:25,46,88,91,20
22/06/16,08:45:25,41,88,91,20
22/06/16,08:45:25,35,88,91,20
22/06/16,08:45:26,30,88,90,20
22/06/16,08:45:26,26,87,91,20
22/06/16,08:45:26,27,87,91,20
22/06/16,08:45:26,26,87,91,20
22/06/16,08:45:26,28,87,91,20
22/06/16,08:45:27,27,87,90,20
22/06/16,08:45:27,33,87,91,20
22/06/16,08:45:27,38,87,90,20
22/06/16,08:45:27,40,87,91,20
22/06/16,08:45:27,47,87,91,20
22/06/16,08:45:28,49,87,91,20
22/06/16,08:45:28,44,87,91,20
22/06/16,08:45:28,41,87,91,20
22/06/16,08:45:28,39,87,90,20
22/06/16,08:45:28,34,87,90,20
22/06/16,08:45:28,29,86,90,20
22/06/16,08:45:29,26,86,91,20
22/06/16,08:45:29,27,86,91,20
22/06/16,08:45:29,28,86,91,20
22/06/16,08:45:29,30,86,90,20
22/06/16,08:45:29,36,86,91,20
22/06/16,08:45:30,37,86,91,20
22/06/16,08:45:30,41,86,91,20
22/06/16,08:45:30,44,86,91,20
22/06/16,08:45:30,51,86,91,20
22/06/16,08:45:30,47,86,91,20
22/06/16,08:45:30,40,86,91,20
22/06/16,08:45:31,38,86,91,20
22/06/16,08:45:31,35,86,91,20
22/06/16,08:45:31,26,85,91,20
22/06/16,08:45:31,27,85,91,20
22/06/16,08:45:31,28,85,91,20
22/06/16,08:45:32,26,85,91,20
22/06/16,08:45:32,31,85,90,20
22/06/16,08:45:32,33,85,91,20
22/06/16,08:45:32,38,85,90,20
22/06/16,08:45:32,41,85,91,20
22/06/16,08:45:33,47,85,91,20
22/06/16,08:45:33,50,85,91,20
22/06/16,08:45:33,47,85,91,20
22/06/16,08:45:33,44,85,91,20
22/06/16,08:45:33,37,85,91,20
22/06/16,08:45:33,33,85,91,20
22/06/16,08:45:34,26,85,91,20
22/06/16,08:45:34,28,84,91,20
22/06/16,08:45:34,28,84,91,20
22/06/16,08:45:34,37,84,91,20
22/06/16,08:45:34,28,84,91,20
22/06/16,08:45:35,30,84,91,20
22/06/16,08:45:35,31,84,91,20
22/06/16,08:45:35,34,84,90,20
22/06/16,08:45:35,43,84,90,20
22/06/16,08:45:35,44,84,91,20
22/06/16,08:45:35,47,84,91,20
22/06/16,08:45:36,40,84,91,20
22/06/16,08:45:36,38,84,91,20
22/06/16,08:45:36,36,84,90,20
22/06/16,08:45:36,31,84,90,20
22/06/16,08:45:36,31,83,91,20
22/06/16,08:45:37,27,83,91,20
22/06/16,08:45:37,37,83,91,20
22/06/16,08:45:37,24,83,91,20
22/06/16,08:45:37,30,83,91,20
22/06/16,08:45:37,34,83,91,20
22/06/16,08:45:38,35,83,91,20
22/06/16,08:45:38,42,83,90,20
22/06/16,08:45:38,45,83,91,20
22/06/16,08:45:38,45,83,91,20
22/06/16,08:45:38,43,83,91,20
22/06/16,08:45:38,40,83,90,20
22/06/16,08:45:39,37,83,91,20
22/06/16,08:45:39,29,83,91,20
22/06/16,08:45:39,29,82,90,20
22/06/16,08:45:39,25,82,91,20
22/06/16,08:45:39,30,82,91,20
22/06/16,08:45:40,29,82,91,20
22/06/16,08:45:40,29,82,90,20
22/06/16,08:45:40,34,82,90,20
22/06/16,08:45:40,36,82,91,20
22/06/16,08:45:40,41,82,91,20
22/06/16,08:45:41,46,82,91,20
22/06/16,08:45:41,50,82,91,20
22/06/16,08:45:41,44,82,91,20
22/06/16,08:45:41,40,82,91,20
22/06/16,08:45:41,42,82,91,20
22/06/16,08:45:42,31,82,90,20
22/06/16,08:45:42,30,81,90,20
22/06/16,08:45:42,23,81,91,20
22/06/16,08:45:42,25,81,91,20
22/06/16,08:45:42,28,81,91,20
22/06/16,08:45:42,30,81,90,20
22/06/16,08:45:43,34,81,90,20
22/06/16,08:45:43,36,81,90,20
22/06/16,08:45:43,43,81,91,20
22/06/16,08:45:43,47,81,91,20
22/06/16,08:45:43,52,81,91,20
22/06/16,08:45:44,45,81,91,20
22/06/16,08:45:44,44,81,91,20
22/06/16,08:45:44,39,81,90,20
22/06/16,08:45:44,31,81,90,20
22/06/16,08:45:44,28,80,90,20
