date,time,distance,cnt,pwm,uid
22/08/22,22:23:34,35,100,100,80
22/08/22,22:23:34,35,99,100,80
22/08/22,22:23:35,35,99,100,80
22/08/22,22:23:35,34,99,100,80
22/08/22,22:23:35,29,99,100,80
22/08/22,22:23:35,32,99,100,80
22/08/22,22:23:35,36,99,100,80
22/08/22,22:23:36,43,99,100,80
22/08/22,22:23:36,44,99,100,80
22/08/22,22:23:36,49,99,100,80
22/08/22,22:23:36,45,99,100,80
22/08/22,22:23:36,40,99,100,80
22/08/22,22:23:36,35,99,100,80
22/08/22,22:23:37,35,98,100,80
22/08/22,22:23:37,28,98,100,80
22/08/22,22:23:37,26,98,100,80
22/08/22,22:23:37,26,98,100,80
22/08/22,22:23:37,36,98,100,80
22/08/22,22:23:38,39,98,100,80
22/08/22,22:23:38,42,98,100,80
22/08/22,22:23:38,41,98,100,80
22/08/22,22:23:38,38,98,100,80
22/08/22,22:23:38,38,98,100,80
22/08/22,22:23:38,33,98,100,80
22/08/22,22:23:39,29,97,100,80
22/08/22,22:23:39,30,97,100,80
22/08/22,22:23:39,35,97,100,80
22/08/22,22:23:39,31,97,100,80
22/08/22,22:23:39,32,97,100,80
22/08/22,22:23:40,35,97,100,80
22/08/22,22:23:40,38,97,100,80
22/08/22,22:23:40,45,97,100,80
22/08/22,22:23:40,46,97,100,80
22/08/22,22:23:40,47,97,100,80
22/08/22,22:23:41,40,97,100,80
22/08/22,22:23:41,36,97,100,80
22/08/22,22:23:41,27,96,100,80
22/08/22,22:23:41,27,96,100,80
22/08/22,22:23:41,35,96,100,80
22/08/22,22:23:41,25,96,100,80
22/08/22,22:23:42,30,96,100,80
22/08/22,22:23:42,36,96,100,80
22/08/22,22:23:42,40,96,100,80
22/08/22,22:23:42,44,96,100,80
22/08/22,22:23:42,50,96,100,80
22/08/22,22:23:43,44,96,100,80
22/08/22,22:23:43,40,96,100,80
22/08/22,22:23:43,38,96,100,80
22/08/22,22:23:43,33,95,100,80
22/08/22,22:23:43,27,95,100,80
22/08/22,22:23:43,34,95,100,80
22/08/22,22:23:44,28,95,100,80
22/08/22,22:23:44,29,95,100,80
22/08/22,22:23:44,33,95,100,80
22/08/22,22:23:44,43,95,100,80
22/08/22,22:23:44,48,95,100,80
22/08/22,22:23:45,53,95,100,80
22/08/22,22:23:45,43,95,100,80
22/08/22,22:23:45,41,95,100,80
22/08/22,22:23:45,36,95,100,80
22/08/22,22:23:45,31,94,100,80
22/08/22,22:23:46,29,94,100,80
22/08/22,22:23:46,30,94,100,80
22/08/22,22:23:46,30,94,100,80
22/08/22,22:23:46,35,94,100,80
22/08/22,22:23:46,39,94,100,80
22/08/22,22:23:46,44,94,100,80
22/08/22,22:23:47,44,94,100,80
22/08/22,22:23:47,40,94,100,80
22/08/22,22:23:47,40,94,100,80
22/08/22,22:23:47,34,93,100,80
22/08/22,22:23:47,27,93,100,80
22/08/22,22:23:48,27,93,100,80
22/08/22,22:23:48,28,93,100,80
22/08/22,22:23:48,35,93,100,80
22/08/22,22:23:48,39,93,100,80
22/08/22,22:23:48,46,93,100,80
22/08/22,22:23:48,45,93,100,80
22/08/22,22:23:49,44,93,100,80
22/08/22,22:23:49,41,93,100,80
22/08/22,22:23:49,32,93,100,80
22/08/22,22:23:49,30,92,100,80
22/08/22,22:23:49,31,92,100,80
22/08/22,22:23:50,37,92,100,80
22/08/22,22:23:50,31,92,100,80
22/08/22,22:23:50,33,92,100,80
22/08/22,22:23:50,32,92,100,80
22/08/22,22:23:50,41,92,100,80
22/08/22,22:23:51,42,92,100,80
22/08/22,22:23:51,45,92,100,80
22/08/22,22:23:51,43,92,100,80
22/08/22,22:23:51,40,92,100,80
22/08/22,22:23:51,32,92,100,80
22/08/22,22:23:51,27,91,100,80
22/08/22,22:23:52,29,91,100,80
22/08/22,22:23:52,39,91,100,80
22/08/22,22:23:52,29,91,100,80
22/08/22,22:23:52,33,91,100,80
22/08/22,22:23:52,33,91,100,80
22/08/22,22:23:53,40,91,100,80
22/08/22,22:23:53,46,91,100,80
22/08/22,22:23:53,48,91,100,80
22/08/22,22:23:53,41,91,100,80
22/08/22,22:23:53,39,91,100,80
22/08/22,22:23:54,37,91,100,80
22/08/22,22:23:54,29,90,100,80
22/08/22,22:23:54,28,90,100,80
22/08/22,22:23:54,31,90,100,80
22/08/22,22:23:54,27,90,100,80
22/08/22,22:23:54,32,90,100,80
22/08/22,22:23:55,39,90,100,80
22/08/22,22:23:55,42,90,100,80
22/08/22,22:23:55,45,90,100,80
22/08/22,22:23:55,47,90,100,80
22/08/22,22:23:55,43,90,100,80
22/08/22,22:23:56,39,90,100,80
