----------------------------------
date,time,distance,cnt,pwm,uid
22/07/14,15:09:47,31,100,95,50
22/07/14,15:09:47,35,99,95,50
22/07/14,15:09:47,33,99,95,50
22/07/14,15:09:47,31,99,95,50
22/07/14,15:09:48,28,99,95,50
22/07/14,15:09:48,27,99,95,50
22/07/14,15:09:48,33,99,95,50
22/07/14,15:09:48,37,99,95,50
22/07/14,15:09:48,43,99,95,50
22/07/14,15:09:49,44,99,95,50
22/07/14,15:09:49,46,99,95,50
22/07/14,15:09:49,43,99,95,50
22/07/14,15:09:49,38,99,95,50
22/07/14,15:09:49,35,99,95,50
22/07/14,15:09:50,33,99,95,50
22/07/14,15:09:50,30,98,95,50
22/07/14,15:09:50,25,98,95,50
22/07/14,15:09:50,34,98,95,50
22/07/14,15:09:50,26,98,95,50
22/07/14,15:09:50,30,98,95,50
22/07/14,15:09:51,32,98,95,50
22/07/14,15:09:51,39,98,95,50
22/07/14,15:09:51,38,98,95,50
22/07/14,15:09:51,45,98,95,50
22/07/14,15:09:51,50,98,95,50
22/07/14,15:09:52,41,98,95,50
22/07/14,15:09:52,39,98,95,50
22/07/14,15:09:52,36,98,95,50
22/07/14,15:09:52,32,98,95,50
22/07/14,15:09:52,25,97,95,50
22/07/14,15:09:52,24,97,95,50
22/07/14,15:09:53,31,97,95,50
22/07/14,15:09:53,28,97,95,50
22/07/14,15:09:53,32,97,95,50
22/07/14,15:09:53,32,97,95,50
22/07/14,15:09:53,40,97,95,50
22/07/14,15:09:54,38,97,95,50
22/07/14,15:09:54,48,97,95,50
22/07/14,15:09:54,49,97,95,50
22/07/14,15:09:54,44,97,95,50
22/07/14,15:09:54,39,97,95,50
22/07/14,15:09:55,37,97,95,50
22/07/14,15:09:55,30,97,95,50
22/07/14,15:09:55,24,96,95,50
22/07/14,15:09:55,26,96,95,50
22/07/14,15:09:55,33,96,95,50
22/07/14,15:09:55,27,96,95,50
22/07/14,15:09:56,29,96,95,50
22/07/14,15:09:56,34,96,95,50
22/07/14,15:09:56,34,96,95,50
22/07/14,15:09:56,41,96,95,50
22/07/14,15:09:56,45,96,95,50
22/07/14,15:09:57,48,96,95,50
22/07/14,15:09:57,46,96,95,50
22/07/14,15:09:57,39,96,95,50
22/07/14,15:09:57,40,96,95,50
22/07/14,15:09:57,38,96,95,50
22/07/14,15:09:57,26,95,95,50
22/07/14,15:09:58,28,95,95,50
22/07/14,15:09:58,30,95,95,50
22/07/14,15:09:58,28,95,95,50
22/07/14,15:09:58,28,95,95,50
22/07/14,15:09:58,33,95,95,50
22/07/14,15:09:59,38,95,95,50
22/07/14,15:09:59,40,95,95,50
22/07/14,15:09:59,47,95,95,50
22/07/14,15:09:59,50,95,95,50
22/07/14,15:09:59,43,95,95,50
22/07/14,15:10:00,42,95,95,50
22/07/14,15:10:00,34,95,95,50
22/07/14,15:10:00,31,95,95,50
22/07/14,15:10:00,26,94,95,50
22/07/14,15:10:00,27,94,95,50
22/07/14,15:10:00,27,94,95,50
22/07/14,15:10:01,26,94,95,50
22/07/14,15:10:01,30,94,95,50
22/07/14,15:10:01,33,94,95,50
22/07/14,15:10:01,36,94,95,50
22/07/14,15:10:01,41,94,95,50
22/07/14,15:10:02,43,94,95,50
22/07/14,15:10:02,39,94,95,50
22/07/14,15:10:02,38,94,95,50
22/07/14,15:10:02,33,94,95,50
22/07/14,15:10:02,27,93,95,50
22/07/14,15:10:02,28,93,95,50
22/07/14,15:10:03,27,93,95,50
22/07/14,15:10:03,24,93,95,50
22/07/14,15:10:03,26,93,95,50
22/07/14,15:10:03,36,93,95,50
22/07/14,15:10:03,38,93,95,50
22/07/14,15:10:04,43,93,95,50
22/07/14,15:10:04,45,93,95,50
22/07/14,15:10:04,41,93,95,50
22/07/14,15:10:04,37,93,95,50
22/07/14,15:10:04,34,93,95,50
22/07/14,15:10:05,29,92,95,50
22/07/14,15:10:05,27,92,95,50
22/07/14,15:10:05,24,92,95,50
22/07/14,15:10:05,28,92,95,50
22/07/14,15:10:05,29,92,95,50
22/07/14,15:10:05,29,92,95,50
22/07/14,15:10:06,37,92,95,50
22/07/14,15:10:06,42,92,95,50
22/07/14,15:10:06,43,92,95,50
22/07/14,15:10:06,41,92,95,50
22/07/14,15:10:06,37,92,95,50
22/07/14,15:10:07,34,92,95,50
22/07/14,15:10:07,29,91,95,50
22/07/14,15:10:07,28,91,95,50
22/07/14,15:10:07,30,91,95,50
22/07/14,15:10:07,24,91,95,50
22/07/14,15:10:07,29,91,95,50
22/07/14,15:10:08,34,91,95,50
22/07/14,15:10:08,37,91,95,50
22/07/14,15:10:08,42,91,95,50
22/07/14,15:10:08,47,91,95,50
22/07/14,15:10:08,42,91,95,50
22/07/14,15:10:09,37,91,95,50
22/07/14,15:10:09,34,91,95,50
22/07/14,15:10:09,30,91,95,50
22/07/14,15:10:09,29,90,95,50
22/07/14,15:10:09,28,90,95,50
22/07/14,15:10:10,34,90,95,50
22/07/14,15:10:10,28,90,95,50
22/07/14,15:10:10,25,90,95,50
22/07/14,15:10:10,32,90,95,50
22/07/14,15:10:10,36,90,95,50
22/07/14,15:10:10,38,90,95,50
22/07/14,15:10:11,42,90,95,50
22/07/14,15:10:11,50,90,95,50
22/07/14,15:10:11,40,90,95,50
22/07/14,15:10:11,37,90,95,50
22/07/14,15:10:11,32,90,95,50
22/07/14,15:10:12,32,90,95,50
22/07/14,15:10:12,26,89,95,50
22/07/14,15:10:12,28,89,95,50
22/07/14,15:10:12,38,89,95,50
22/07/14,15:10:12,28,89,95,50
22/07/14,15:10:12,25,89,95,50
22/07/14,15:10:13,31,89,95,50
22/07/14,15:10:13,38,89,95,50
22/07/14,15:10:13,39,89,95,50
22/07/14,15:10:13,44,89,95,50
22/07/14,15:10:13,44,89,95,50
22/07/14,15:10:14,43,89,95,50
22/07/14,15:10:14,37,89,95,50
22/07/14,15:10:14,36,89,95,50
22/07/14,15:10:14,30,89,95,50
22/07/14,15:10:14,27,88,95,50
22/07/14,15:10:15,25,88,95,50
22/07/14,15:10:15,37,88,95,50
22/07/14,15:10:15,27,88,95,50
22/07/14,15:10:15,27,88,95,50
22/07/14,15:10:15,29,88,95,50
22/07/14,15:10:15,37,88,95,50
22/07/14,15:10:16,41,88,95,50
22/07/14,15:10:16,44,88,95,50
22/07/14,15:10:16,48,88,95,50
22/07/14,15:10:16,41,88,95,50
22/07/14,15:10:16,40,88,95,50
22/07/14,15:10:17,38,88,95,50
22/07/14,15:10:17,31,88,95,50
22/07/14,15:10:17,24,87,95,50
22/07/14,15:10:17,27,87,95,50
22/07/14,15:10:17,38,87,95,50
22/07/14,15:10:17,27,87,95,50
22/07/14,15:10:18,28,87,95,50
22/07/14,15:10:18,33,87,95,50
22/07/14,15:10:18,36,87,95,50
22/07/14,15:10:18,39,87,95,50
22/07/14,15:10:18,48,87,95,50
22/07/14,15:10:19,49,87,95,50
22/07/14,15:10:19,44,87,95,50
22/07/14,15:10:19,40,87,95,50
22/07/14,15:10:19,35,87,95,50
22/07/14,15:10:19,32,87,95,50
22/07/14,15:10:20,26,86,95,50
22/07/14,15:10:20,30,86,95,50
22/07/14,15:10:20,33,86,95,50
22/07/14,15:10:20,29,86,95,50
22/07/14,15:10:20,27,86,95,50
22/07/14,15:10:20,35,86,95,50
22/07/14,15:10:21,37,86,95,50
22/07/14,15:10:21,42,86,95,50
22/07/14,15:10:21,44,86,95,50
22/07/14,15:10:21,46,86,95,50
22/07/14,15:10:21,46,86,95,50
22/07/14,15:10:22,40,86,95,50
22/07/14,15:10:22,37,86,95,50
22/07/14,15:10:22,28,86,95,50
22/07/14,15:10:22,26,85,95,50
22/07/14,15:10:22,28,85,95,50
22/07/14,15:10:23,37,85,95,50
22/07/14,15:10:23,29,85,95,50
22/07/14,15:10:23,31,85,95,50
22/07/14,15:10:23,37,85,95,50
22/07/14,15:10:23,39,85,95,50
22/07/14,15:10:23,40,85,95,50
22/07/14,15:10:24,48,85,95,50
22/07/14,15:10:24,49,85,95,50
22/07/14,15:10:24,45,85,95,50
22/07/14,15:10:24,37,85,95,50
22/07/14,15:10:24,33,85,95,50
22/07/14,15:10:25,32,85,95,50
22/07/14,15:10:25,26,84,95,50
22/07/14,15:10:25,27,84,95,50
22/07/14,15:10:25,39,84,95,50
22/07/14,15:10:25,26,84,95,50
22/07/14,15:10:26,30,84,95,50
22/07/14,15:10:26,32,84,95,50
22/07/14,15:10:26,41,84,95,50
22/07/14,15:10:26,42,84,95,50
22/07/14,15:10:26,42,84,95,50
22/07/14,15:10:26,49,84,95,50
22/07/14,15:10:27,46,84,95,50
22/07/14,15:10:27,41,84,95,50
22/07/14,15:10:27,36,84,95,50
22/07/14,15:10:27,33,84,95,50
22/07/14,15:10:27,28,83,95,50
22/07/14,15:10:28,27,83,95,50
22/07/14,15:10:28,33,83,95,50
22/07/14,15:10:28,27,83,95,50
22/07/14,15:10:28,26,83,95,50
22/07/14,15:10:28,37,83,95,50
22/07/14,15:10:29,38,83,95,50
22/07/14,15:10:29,41,83,95,50
22/07/14,15:10:29,48,83,95,50
22/07/14,15:10:29,49,83,95,50
22/07/14,15:10:29,45,83,95,50
22/07/14,15:10:29,36,83,95,50
22/07/14,15:10:30,39,83,95,50
22/07/14,15:10:30,31,83,95,50
22/07/14,15:10:30,27,82,95,50
22/07/14,15:10:30,26,82,95,50
22/07/14,15:10:30,28,82,95,50
22/07/14,15:10:31,27,82,95,50
22/07/14,15:10:31,26,82,95,50
22/07/14,15:10:31,34,82,95,50
22/07/14,15:10:31,36,82,95,50
22/07/14,15:10:31,42,82,95,50
22/07/14,15:10:32,44,82,95,50
22/07/14,15:10:32,52,82,95,50
22/07/14,15:10:32,42,82,95,50
22/07/14,15:10:32,41,82,95,50
22/07/14,15:10:32,37,82,95,50
22/07/14,15:10:32,31,82,95,50
22/07/14,15:10:33,31,81,95,50
22/07/14,15:10:33,28,81,95,50
22/07/14,15:10:33,25,81,95,50
22/07/14,15:10:33,29,81,95,50
22/07/14,15:10:33,28,81,95,50
22/07/14,15:10:34,34,81,95,50
22/07/14,15:10:34,37,81,95,50
22/07/14,15:10:34,43,81,95,50
22/07/14,15:10:34,44,81,95,50
22/07/14,15:10:34,42,81,95,50
22/07/14,15:10:35,39,81,95,50
22/07/14,15:10:35,32,81,95,50
22/07/14,15:10:35,28,80,95,50
22/07/14,15:10:35,27,80,95,50
22/07/14,15:10:35,29,80,95,50
22/07/14,15:10:35,29,80,95,50
22/07/14,15:10:36,29,80,95,50
22/07/14,15:10:36,35,80,95,50
22/07/14,15:10:36,39,80,95,50
22/07/14,15:10:36,43,80,95,50
22/07/14,15:10:36,43,80,95,50
22/07/14,15:10:37,42,80,95,50
22/07/14,15:10:37,40,80,95,50
22/07/14,15:10:37,36,80,95,50
22/07/14,15:10:37,27,79,95,50
22/07/14,15:10:37,25,79,95,50
22/07/14,15:10:38,29,79,95,50
22/07/14,15:10:38,27,79,95,50
22/07/14,15:10:38,29,79,95,50
22/07/14,15:10:38,36,79,95,50
22/07/14,15:10:38,37,79,95,50
22/07/14,15:10:38,44,79,95,50
22/07/14,15:10:39,49,79,95,50
22/07/14,15:10:39,43,79,95,50
22/07/14,15:10:39,38,79,95,50
22/07/14,15:10:39,33,79,95,50
22/07/14,15:10:39,31,78,95,50
22/07/14,15:10:40,22,78,95,50
22/07/14,15:10:40,26,78,95,50
22/07/14,15:10:40,25,78,95,50
22/07/14,15:10:40,30,78,95,50
22/07/14,15:10:40,32,78,95,50
22/07/14,15:10:41,41,78,95,50
22/07/14,15:10:41,44,78,95,50
22/07/14,15:10:41,46,78,95,50
22/07/14,15:10:41,42,78,95,50
22/07/14,15:10:41,36,78,95,50
22/07/14,15:10:41,35,78,95,50
22/07/14,15:10:42,32,78,95,50
22/07/14,15:10:42,25,77,95,50
22/07/14,15:10:42,26,77,95,50
22/07/14,15:10:42,37,77,95,50
22/07/14,15:10:42,27,77,95,50
22/07/14,15:10:43,27,77,95,50
22/07/14,15:10:43,33,77,95,50
22/07/14,15:10:43,39,77,95,50
22/07/14,15:10:43,40,77,95,50
22/07/14,15:10:43,46,77,95,50
22/07/14,15:10:44,48,77,95,50
22/07/14,15:10:44,41,77,95,50
22/07/14,15:10:44,38,77,95,50
22/07/14,15:10:44,34,77,95,50
22/07/14,15:10:44,29,77,95,50
22/07/14,15:10:44,29,76,95,50
22/07/14,15:10:45,25,76,95,50
22/07/14,15:10:45,33,76,95,50
22/07/14,15:10:45,27,76,95,50
22/07/14,15:10:45,29,76,95,50
22/07/14,15:10:45,32,76,95,50
22/07/14,15:10:46,39,76,95,50
22/07/14,15:10:46,39,76,95,50
22/07/14,15:10:46,46,76,95,50
22/07/14,15:10:46,46,76,95,50
22/07/14,15:10:46,41,76,95,50
22/07/14,15:10:47,36,76,95,50
22/07/14,15:10:47,35,76,95,50
22/07/14,15:10:47,30,76,95,50
22/07/14,15:10:47,27,75,95,50
22/07/14,15:10:47,28,75,95,50
22/07/14,15:10:47,33,75,95,50
22/07/14,15:10:48,28,75,95,50
22/07/14,15:10:48,30,75,95,50
22/07/14,15:10:48,34,75,95,50
22/07/14,15:10:48,37,75,95,50
22/07/14,15:10:48,39,75,95,50
22/07/14,15:10:49,45,75,95,50
22/07/14,15:10:49,49,75,95,50
22/07/14,15:10:49,42,75,95,50
22/07/14,15:10:49,39,75,95,50
22/07/14,15:10:49,34,75,95,50
22/07/14,15:10:50,30,75,95,50
22/07/14,15:10:50,27,74,95,50
22/07/14,15:10:50,30,74,95,50
22/07/14,15:10:50,32,74,95,50
22/07/14,15:10:50,29,74,95,50
22/07/14,15:10:50,30,74,95,50
22/07/14,15:10:51,35,74,95,50
22/07/14,15:10:51,40,74,95,50
22/07/14,15:10:51,42,74,95,50
22/07/14,15:10:51,42,74,95,50
22/07/14,15:10:51,43,74,95,50
22/07/14,15:10:52,36,74,95,50
22/07/14,15:10:52,31,74,95,50
22/07/14,15:10:52,30,73,95,50
22/07/14,15:10:52,29,73,95,50
22/07/14,15:10:52,34,73,95,50
22/07/14,15:10:53,24,73,95,50
22/07/14,15:10:53,27,73,95,50
22/07/14,15:10:53,36,73,95,50
22/07/14,15:10:53,40,73,95,50
22/07/14,15:10:53,42,73,95,50
22/07/14,15:10:53,45,73,95,50
22/07/14,15:10:54,43,73,95,50
22/07/14,15:10:54,38,73,95,50
22/07/14,15:10:54,31,73,95,50
22/07/14,15:10:54,25,72,95,50
22/07/14,15:10:54,29,72,95,50
22/07/14,15:10:55,27,72,95,50
22/07/14,15:10:55,28,72,95,50
22/07/14,15:10:55,24,72,95,50
22/07/14,15:10:55,37,72,95,50
22/07/14,15:10:55,38,72,95,50
22/07/14,15:10:56,43,72,95,50
22/07/14,15:10:56,44,72,95,50
22/07/14,15:10:56,44,72,95,50
22/07/14,15:10:56,35,72,95,50
22/07/14,15:10:56,36,72,95,50
22/07/14,15:10:56,30,71,95,50
22/07/14,15:10:57,26,71,95,50
22/07/14,15:10:57,26,71,95,50
22/07/14,15:10:57,24,71,95,50
22/07/14,15:10:57,29,71,95,50
22/07/14,15:10:57,36,71,95,50
22/07/14,15:10:58,37,71,95,50
22/07/14,15:10:58,45,71,95,50
22/07/14,15:10:58,46,71,95,50
22/07/14,15:10:58,40,71,95,50
22/07/14,15:10:58,39,71,95,50
22/07/14,15:10:59,36,71,95,50
22/07/14,15:10:59,29,71,95,50
22/07/14,15:10:59,27,70,95,50
22/07/14,15:10:59,36,70,95,50
22/07/14,15:10:59,36,70,95,50
22/07/14,15:10:59,28,70,95,50
22/07/14,15:11:00,25,70,95,50
22/07/14,15:11:00,34,70,95,50
22/07/14,15:11:00,39,70,95,50
22/07/14,15:11:00,40,70,95,50
22/07/14,15:11:00,43,70,95,50
22/07/14,15:11:01,46,70,95,50
22/07/14,15:11:01,42,70,95,50
22/07/14,15:11:01,40,70,95,50
22/07/14,15:11:01,35,70,95,50
22/07/14,15:11:01,28,70,95,50
22/07/14,15:11:02,25,69,95,50
22/07/14,15:11:02,31,69,95,50
22/07/14,15:11:02,34,69,95,50
22/07/14,15:11:02,27,69,95,50
22/07/14,15:11:02,28,69,95,50
22/07/14,15:11:02,28,69,95,50
22/07/14,15:11:03,35,69,95,50
22/07/14,15:11:03,40,69,95,50
22/07/14,15:11:03,46,69,95,50
22/07/14,15:11:03,48,69,95,50
22/07/14,15:11:03,44,69,95,50
22/07/14,15:11:04,39,69,95,50
22/07/14,15:11:04,35,69,95,50
22/07/14,15:11:04,29,69,95,50
22/07/14,15:11:04,27,68,95,50
22/07/14,15:11:04,28,68,95,50
22/07/14,15:11:05,30,68,95,50
22/07/14,15:11:05,24,68,95,50
22/07/14,15:11:05,28,68,95,50
22/07/14,15:11:05,33,68,95,50
22/07/14,15:11:05,37,68,95,50
22/07/14,15:11:05,39,68,95,50
22/07/14,15:11:06,47,68,95,50
22/07/14,15:11:06,45,68,95,50
22/07/14,15:11:06,41,68,95,50
22/07/14,15:11:06,39,68,95,50
22/07/14,15:11:06,34,68,95,50
22/07/14,15:11:07,30,68,95,50
22/07/14,15:11:07,25,67,95,50
22/07/14,15:11:07,27,67,95,50
22/07/14,15:11:07,37,67,95,50
22/07/14,15:11:07,28,67,95,50
22/07/14,15:11:08,31,67,95,50
22/07/14,15:11:08,32,67,95,50
22/07/14,15:11:08,40,67,95,50
22/07/14,15:11:08,40,67,95,50
22/07/14,15:11:08,45,67,95,50
22/07/14,15:11:08,51,67,95,50
22/07/14,15:11:09,46,67,95,50
22/07/14,15:11:09,41,67,95,50
22/07/14,15:11:09,34,67,95,50
22/07/14,15:11:09,31,67,95,50
22/07/14,15:11:09,29,66,95,50
22/07/14,15:11:10,26,66,95,50
22/07/14,15:11:10,33,66,95,50
22/07/14,15:11:10,28,66,95,50
22/07/14,15:11:10,29,66,95,50
22/07/14,15:11:10,33,66,95,50
22/07/14,15:11:11,36,66,95,50
22/07/14,15:11:11,41,66,95,50
22/07/14,15:11:11,43,66,95,50
22/07/14,15:11:11,50,66,95,50
22/07/14,15:11:11,43,66,95,50
22/07/14,15:11:11,41,66,95,50
22/07/14,15:11:12,36,66,95,50
22/07/14,15:11:12,32,66,95,50
22/07/14,15:11:12,25,65,95,50
22/07/14,15:11:12,26,65,95,50
22/07/14,15:11:12,32,65,95,50
22/07/14,15:11:13,27,65,95,50
22/07/14,15:11:13,27,65,95,50
22/07/14,15:11:13,32,65,95,50
22/07/14,15:11:13,37,65,95,50
22/07/14,15:11:13,41,65,95,50
22/07/14,15:11:14,44,65,95,50
22/07/14,15:11:14,48,65,95,50
22/07/14,15:11:14,41,65,95,50
22/07/14,15:11:14,40,65,95,50
22/07/14,15:11:14,37,65,95,50
22/07/14,15:11:14,28,65,95,50
22/07/14,15:11:15,27,64,95,50
22/07/14,15:11:15,25,64,95,50
22/07/14,15:11:15,33,64,95,50
22/07/14,15:11:15,27,64,95,50
22/07/14,15:11:15,29,64,95,50
22/07/14,15:11:16,31,64,95,50
22/07/14,15:11:16,39,64,95,50
22/07/14,15:11:16,42,64,95,50
22/07/14,15:11:16,46,64,95,50
22/07/14,15:11:16,51,64,95,50
22/07/14,15:11:17,45,64,95,50
22/07/14,15:11:17,41,64,95,50
22/07/14,15:11:17,33,64,95,50
22/07/14,15:11:17,32,64,95,50
22/07/14,15:11:17,29,63,95,50
22/07/14,15:11:17,27,63,95,50
22/07/14,15:11:18,29,63,95,50
22/07/14,15:11:18,29,63,95,50
22/07/14,15:11:18,30,63,95,50
22/07/14,15:11:18,31,63,95,50
22/07/14,15:11:18,35,63,95,50
22/07/14,15:11:19,42,63,95,50
22/07/14,15:11:19,44,63,95,50
22/07/14,15:11:19,52,63,95,50
22/07/14,15:11:19,41,63,95,50
22/07/14,15:11:19,40,63,95,50
22/07/14,15:11:20,37,63,95,50
22/07/14,15:11:20,33,63,95,50
22/07/14,15:11:20,29,62,95,50
22/07/14,15:11:20,25,62,95,50
22/07/14,15:11:20,28,62,95,50
22/07/14,15:11:20,27,62,95,50
22/07/14,15:11:21,26,62,95,50
22/07/14,15:11:21,31,62,95,50
22/07/14,15:11:21,39,62,95,50
22/07/14,15:11:21,42,62,95,50
22/07/14,15:11:21,43,62,95,50
22/07/14,15:11:22,40,62,95,50
22/07/14,15:11:22,38,62,95,50
22/07/14,15:11:22,32,62,95,50
22/07/14,15:11:22,29,61,95,50
22/07/14,15:11:22,26,61,95,50
22/07/14,15:11:23,25,61,95,50
22/07/14,15:11:23,30,61,95,50
22/07/14,15:11:23,25,61,95,50
22/07/14,15:11:23,37,61,95,50
22/07/14,15:11:23,37,61,95,50
22/07/14,15:11:23,42,61,95,50
22/07/14,15:11:24,45,61,95,50
22/07/14,15:11:24,40,61,95,50
22/07/14,15:11:24,37,61,95,50
22/07/14,15:11:24,31,61,95,50
22/07/14,15:11:24,31,60,95,50
22/07/14,15:11:25,28,60,95,50
22/07/14,15:11:25,26,60,95,50
22/07/14,15:11:25,30,60,95,50
22/07/14,15:11:25,29,60,95,50
22/07/14,15:11:25,35,60,95,50
22/07/14,15:11:26,38,60,95,50
22/07/14,15:11:26,38,60,95,50
22/07/14,15:11:26,45,60,95,50
22/07/14,15:11:26,41,60,95,50
22/07/14,15:11:26,37,60,95,50
22/07/14,15:11:26,30,60,95,50
22/07/14,15:11:27,29,59,95,50
22/07/14,15:11:27,27,59,95,50
22/07/14,15:11:27,30,59,95,50
22/07/14,15:11:27,28,59,95,50
22/07/14,15:11:27,29,59,95,50
22/07/14,15:11:28,33,59,95,50
22/07/14,15:11:28,36,59,95,50
22/07/14,15:11:28,41,59,95,50
22/07/14,15:11:28,44,59,95,50
22/07/14,15:11:28,41,59,95,50
22/07/14,15:11:29,37,59,95,50
22/07/14,15:11:29,35,59,95,50
22/07/14,15:11:29,27,58,95,50
22/07/14,15:11:29,26,58,95,50
22/07/14,15:11:29,29,58,95,50
22/07/14,15:11:29,25,58,95,50
22/07/14,15:11:30,29,58,95,50
22/07/14,15:11:30,33,58,95,50
22/07/14,15:11:30,35,58,95,50
22/07/14,15:11:30,43,58,95,50
22/07/14,15:11:30,45,58,95,50
22/07/14,15:11:31,42,58,95,50
22/07/14,15:11:31,42,58,95,50
22/07/14,15:11:31,36,58,95,50
22/07/14,15:11:31,30,57,95,50
22/07/14,15:11:31,26,57,95,50
22/07/14,15:11:32,25,57,95,50
22/07/14,15:11:32,28,57,95,50
22/07/14,15:11:32,33,57,95,50
22/07/14,15:11:32,36,57,95,50
22/07/14,15:11:32,38,57,95,50
22/07/14,15:11:32,42,57,95,50
22/07/14,15:11:33,47,57,95,50
22/07/14,15:11:33,42,57,95,50
22/07/14,15:11:33,37,57,95,50
22/07/14,15:11:33,35,57,95,50
22/07/14,15:11:33,27,56,95,50
22/07/14,15:11:34,25,56,95,50
22/07/14,15:11:34,25,56,95,50
22/07/14,15:11:34,24,56,95,50
22/07/14,15:11:34,31,56,95,50
22/07/14,15:11:34,35,56,95,50
22/07/14,15:11:35,38,56,95,50
22/07/14,15:11:35,43,56,95,50
22/07/14,15:11:35,47,56,95,50
22/07/14,15:11:35,44,56,95,50
22/07/14,15:11:35,36,56,95,50
22/07/14,15:11:35,34,56,95,50
22/07/14,15:11:36,27,56,95,50
22/07/14,15:11:36,27,55,95,50
22/07/14,15:11:36,28,55,95,50
22/07/14,15:11:36,37,55,95,50
22/07/14,15:11:36,26,55,95,50
22/07/14,15:11:37,27,55,95,50
22/07/14,15:11:37,31,55,95,50
22/07/14,15:11:37,36,55,95,50
22/07/14,15:11:37,40,55,95,50
22/07/14,15:11:37,42,55,95,50
22/07/14,15:11:38,48,55,95,50
22/07/14,15:11:38,41,55,95,50
22/07/14,15:11:38,35,55,95,50
22/07/14,15:11:38,35,55,95,50
22/07/14,15:11:38,31,55,95,50
22/07/14,15:11:38,26,54,95,50
22/07/14,15:11:39,29,54,95,50
22/07/14,15:11:39,36,54,95,50
22/07/14,15:11:39,26,54,95,50
22/07/14,15:11:39,30,54,95,50
22/07/14,15:11:39,33,54,95,50
22/07/14,15:11:40,38,54,95,50
22/07/14,15:11:40,39,54,95,50
22/07/14,15:11:40,47,54,95,50
22/07/14,15:11:40,49,54,95,50
22/07/14,15:11:40,45,54,95,50
22/07/14,15:11:41,38,54,95,50
22/07/14,15:11:41,36,54,95,50
22/07/14,15:11:41,32,54,95,50
22/07/14,15:11:41,26,53,95,50
22/07/14,15:11:41,29,53,95,50
22/07/14,15:11:41,35,53,95,50
22/07/14,15:11:42,28,53,95,50
22/07/14,15:11:42,31,53,95,50
22/07/14,15:11:42,32,53,95,50
22/07/14,15:11:42,38,53,95,50
22/07/14,15:11:42,41,53,95,50
22/07/14,15:11:43,44,53,95,50
22/07/14,15:11:43,48,53,95,50
22/07/14,15:11:43,44,53,95,50
22/07/14,15:11:43,41,53,95,50
22/07/14,15:11:43,37,53,95,50
22/07/14,15:11:44,29,53,95,50
