----------------------------------
date,time,distance,cnt,pwm,uid
22/07/28,15:18:48,33,100,100,50
22/07/28,15:18:48,37,99,100,50
22/07/28,15:18:48,40,99,100,50
22/07/28,15:18:49,34,99,100,50
22/07/28,15:18:49,39,99,100,50
22/07/28,15:18:49,35,99,100,50
22/07/28,15:18:49,36,99,100,50
22/07/28,15:18:49,38,99,100,50
22/07/28,15:18:59,38,100,100,50
22/07/28,15:18:59,41,100,100,50
22/07/28,15:19:00,37,100,100,50
22/07/28,15:19:00,28,100,100,50
22/07/28,15:19:00,28,100,100,50
22/07/28,15:19:00,37,100,100,50
22/07/28,15:19:00,42,100,100,50
22/07/28,15:19:00,42,100,100,50
22/07/28,15:19:01,46,100,100,50
22/07/28,15:19:01,41,100,100,50
22/07/28,15:19:01,40,100,100,50
22/07/28,15:19:01,34,100,100,50
22/07/28,15:19:01,28,99,100,50
22/07/28,15:19:02,26,99,100,50
22/07/28,15:19:02,28,99,100,50
22/07/28,15:19:02,26,99,100,50
22/07/28,15:19:02,29,99,100,50
22/07/28,15:19:02,33,99,100,50
22/07/28,15:19:02,41,99,100,50
22/07/28,15:19:03,44,99,100,50
22/07/28,15:19:03,46,99,100,50
22/07/28,15:19:03,44,99,100,50
22/07/28,15:19:03,40,99,100,50
22/07/28,15:19:03,32,99,100,50
22/07/28,15:19:04,29,98,100,50
22/07/28,15:19:04,25,98,100,50
22/07/28,15:19:04,31,98,100,50
22/07/28,15:19:04,28,98,100,50
22/07/28,15:19:04,29,98,100,50
22/07/28,15:19:05,38,98,100,50
22/07/28,15:19:05,39,98,100,50
22/07/28,15:19:05,45,98,100,50
22/07/28,15:19:05,46,98,100,50
22/07/28,15:19:05,46,98,100,50
22/07/28,15:19:05,39,98,100,50
22/07/28,15:19:06,37,98,100,50
22/07/28,15:19:06,28,97,100,50
22/07/28,15:19:06,25,97,100,50
22/07/28,15:19:06,28,97,100,50
22/07/28,15:19:06,27,97,100,50
22/07/28,15:19:07,33,97,100,50
22/07/28,15:19:07,37,97,100,50
22/07/28,15:19:07,37,97,100,50
22/07/28,15:19:07,46,97,100,50
22/07/28,15:19:07,48,97,100,50
22/07/28,15:19:07,43,97,100,50
22/07/28,15:19:08,42,97,100,50
22/07/28,15:19:08,35,97,100,50
22/07/28,15:19:08,30,96,100,50
22/07/28,15:19:08,26,96,100,50
22/07/28,15:19:08,32,96,100,50
22/07/28,15:19:09,25,96,100,50
22/07/28,15:19:09,33,96,100,50
22/07/28,15:19:09,38,96,100,50
22/07/28,15:19:09,41,96,100,50
22/07/28,15:19:09,41,96,100,50
22/07/28,15:19:10,50,96,100,50
22/07/28,15:19:10,44,96,100,50
22/07/28,15:19:10,39,96,100,50
22/07/28,15:19:10,35,96,100,50
22/07/28,15:19:10,29,95,100,50
22/07/28,15:19:10,28,95,100,50
22/07/28,15:19:11,30,95,100,50
22/07/28,15:19:11,25,95,100,50
22/07/28,15:19:11,29,95,100,50
22/07/28,15:19:11,37,95,100,50
22/07/28,15:19:11,39,95,100,50
22/07/28,15:19:12,45,95,100,50
22/07/28,15:19:12,39,95,100,50
22/07/28,15:19:12,37,95,100,50
22/07/28,15:19:12,34,94,100,50
22/07/28,15:19:12,25,94,100,50
22/07/28,15:19:12,32,94,100,50
22/07/28,15:19:13,28,94,100,50
22/07/28,15:19:13,29,94,100,50
22/07/28,15:19:13,37,94,100,50
22/07/28,15:19:13,43,94,100,50
22/07/28,15:19:13,46,94,100,50
22/07/28,15:19:14,35,94,100,50
22/07/28,15:19:14,35,94,100,50
22/07/28,15:19:14,34,93,100,50
22/07/28,15:19:14,26,93,100,50
22/07/28,15:19:14,30,93,100,50
22/07/28,15:19:15,25,93,100,50
22/07/28,15:19:15,30,93,100,50
22/07/28,15:19:15,38,93,100,50
22/07/28,15:19:15,41,93,100,50
22/07/28,15:19:15,41,93,100,50
22/07/28,15:19:15,47,93,100,50
22/07/28,15:19:16,44,93,100,50
22/07/28,15:19:16,37,93,100,50
22/07/28,15:19:16,36,93,100,50
22/07/28,15:19:16,32,92,100,50
22/07/28,15:19:16,29,92,100,50
22/07/28,15:19:17,29,92,100,50
22/07/28,15:19:17,30,92,100,50
22/07/28,15:19:17,31,92,100,50
22/07/28,15:19:17,34,92,100,50
22/07/28,15:19:17,38,92,100,50
22/07/28,15:19:18,43,92,100,50
22/07/28,15:19:18,39,92,100,50
22/07/28,15:19:18,37,92,100,50
22/07/28,15:19:18,31,91,100,50
22/07/28,15:19:18,25,91,100,50
22/07/28,15:19:18,31,91,100,50
22/07/28,15:19:19,30,91,100,50
22/07/28,15:19:19,30,91,100,50
22/07/28,15:19:19,39,91,100,50
22/07/28,15:19:19,40,91,100,50
22/07/28,15:19:19,44,91,100,50
22/07/28,15:19:20,40,91,100,50
22/07/28,15:19:20,36,91,100,50
22/07/28,15:19:20,31,91,100,50
22/07/28,15:19:20,26,90,100,50
22/07/28,15:19:20,27,90,100,50
22/07/28,15:19:20,36,90,100,50
22/07/28,15:19:21,29,90,100,50
22/07/28,15:19:21,26,90,100,50
22/07/28,15:19:21,34,90,100,50
22/07/28,15:19:21,39,90,100,50
22/07/28,15:19:21,42,90,100,50
22/07/28,15:19:22,46,90,100,50
22/07/28,15:19:22,43,90,100,50
22/07/28,15:19:22,38,90,100,50
22/07/28,15:19:22,29,90,100,50
22/07/28,15:19:22,26,89,100,50
22/07/28,15:19:22,28,89,100,50
22/07/28,15:19:23,34,89,100,50
22/07/28,15:19:23,28,89,100,50
22/07/28,15:19:23,26,89,100,50
22/07/28,15:19:23,33,89,100,50
22/07/28,15:19:23,40,89,100,50
22/07/28,15:19:24,43,89,100,50
22/07/28,15:19:24,46,89,100,50
22/07/28,15:19:24,38,89,100,50
22/07/28,15:19:24,38,89,100,50
22/07/28,15:19:24,29,89,100,50
22/07/28,15:19:25,26,88,100,50
22/07/28,15:19:25,31,88,100,50
22/07/28,15:19:25,33,88,100,50
22/07/28,15:19:25,27,88,100,50
22/07/28,15:19:25,27,88,100,50
22/07/28,15:19:25,33,88,100,50
22/07/28,15:19:26,41,88,100,50
22/07/28,15:19:26,44,88,100,50
22/07/28,15:19:26,46,88,100,50
22/07/28,15:19:26,42,88,100,50
22/07/28,15:19:26,39,88,100,50
22/07/28,15:19:27,35,88,100,50
22/07/28,15:19:27,29,87,100,50
22/07/28,15:19:27,28,87,100,50
22/07/28,15:19:27,27,87,100,50
22/07/28,15:19:27,28,87,100,50
22/07/28,15:19:28,29,87,100,50
22/07/28,15:19:28,32,87,100,50
22/07/28,15:19:28,39,87,100,50
22/07/28,15:19:28,45,87,100,50
22/07/28,15:19:28,47,87,100,50
22/07/28,15:19:28,41,87,100,50
22/07/28,15:19:29,36,87,100,50
22/07/28,15:19:29,33,87,100,50
22/07/28,15:19:29,25,86,100,50
22/07/28,15:19:29,30,86,100,50
22/07/28,15:19:29,34,86,100,50
22/07/28,15:19:30,28,86,100,50
22/07/28,15:19:30,28,86,100,50
22/07/28,15:19:30,33,86,100,50
22/07/28,15:19:30,41,86,100,50
22/07/28,15:19:30,42,86,100,50
22/07/28,15:19:31,45,86,100,50
22/07/28,15:19:31,43,86,100,50
22/07/28,15:19:31,41,86,100,50
22/07/28,15:19:31,34,86,100,50
22/07/28,15:19:31,27,85,100,50
22/07/28,15:19:31,26,85,100,50
22/07/28,15:19:32,33,85,100,50
22/07/28,15:19:32,27,85,100,50
22/07/28,15:19:32,33,85,100,50
22/07/28,15:19:32,34,85,100,50
22/07/28,15:19:32,40,85,100,50
22/07/28,15:19:33,42,85,100,50
22/07/28,15:19:33,45,85,100,50
22/07/28,15:19:33,41,85,100,50
22/07/28,15:19:33,41,85,100,50
22/07/28,15:19:33,30,85,100,50
22/07/28,15:19:33,26,84,100,50
22/07/28,15:19:34,26,84,100,50
22/07/28,15:19:34,31,84,100,50
22/07/28,15:19:34,28,84,100,50
22/07/28,15:19:34,31,84,100,50
22/07/28,15:19:34,35,84,100,50
22/07/28,15:19:35,38,84,100,50
22/07/28,15:19:35,40,84,100,50
22/07/28,15:19:35,48,84,100,50
22/07/28,15:19:35,41,84,100,50
22/07/28,15:19:35,42,84,100,50
22/07/28,15:19:36,32,84,100,50
22/07/28,15:19:36,29,83,100,50
22/07/28,15:19:36,25,83,100,50
22/07/28,15:19:36,26,83,100,50
22/07/28,15:19:36,27,83,100,50
22/07/28,15:19:36,31,83,100,50
22/07/28,15:19:37,36,83,100,50
22/07/28,15:19:37,39,83,100,50
22/07/28,15:19:37,42,83,100,50
22/07/28,15:19:37,49,83,100,50
22/07/28,15:19:37,41,83,100,50
22/07/28,15:19:38,40,83,100,50
22/07/28,15:19:38,32,83,100,50
22/07/28,15:19:38,30,82,100,50
22/07/28,15:19:38,25,82,100,50
22/07/28,15:19:38,33,82,100,50
22/07/28,15:19:38,25,82,100,50
22/07/28,15:19:39,33,82,100,50
22/07/28,15:19:39,33,82,100,50
22/07/28,15:19:39,40,82,100,50
22/07/28,15:19:39,41,82,100,50
22/07/28,15:19:39,45,82,100,50
22/07/28,15:19:40,44,82,100,50
22/07/28,15:19:40,39,82,100,50
22/07/28,15:19:40,34,82,100,50
22/07/28,15:19:40,29,81,100,50
22/07/28,15:19:40,28,81,100,50
22/07/28,15:19:41,27,81,100,50
22/07/28,15:19:41,25,81,100,50
22/07/28,15:19:41,32,81,100,50
22/07/28,15:19:41,35,81,100,50
22/07/28,15:19:41,39,81,100,50
22/07/28,15:19:41,44,81,100,50
22/07/28,15:19:42,37,81,100,50
22/07/28,15:19:42,37,81,100,50
22/07/28,15:19:42,32,80,100,50
22/07/28,15:19:42,26,80,100,50
22/07/28,15:19:42,28,80,100,50
22/07/28,15:19:43,30,80,100,50
22/07/28,15:19:43,31,80,100,50
22/07/28,15:19:43,38,80,100,50
22/07/28,15:19:43,41,80,100,50
22/07/28,15:19:43,44,80,100,50
22/07/28,15:19:43,35,80,100,50
22/07/28,15:19:44,36,80,100,50
22/07/28,15:19:44,33,79,100,50
22/07/28,15:19:44,27,79,100,50
22/07/28,15:19:44,28,79,100,50
22/07/28,15:19:44,25,79,100,50
22/07/28,15:19:45,31,79,100,50
22/07/28,15:19:45,39,79,100,50
22/07/28,15:19:45,40,79,100,50
22/07/28,15:19:45,45,79,100,50
22/07/28,15:19:45,41,79,100,50
22/07/28,15:19:46,31,79,100,50
22/07/28,15:19:46,29,78,100,50
22/07/28,15:19:46,24,78,100,50
22/07/28,15:19:46,29,78,100,50
22/07/28,15:19:46,25,78,100,50
22/07/28,15:19:47,31,78,100,50
22/07/28,15:19:47,35,78,100,50
22/07/28,15:19:47,40,78,100,50
22/07/28,15:19:47,41,78,100,50
22/07/28,15:19:47,38,78,100,50
22/07/28,15:19:47,35,78,100,50
22/07/28,15:19:48,29,77,100,50
22/07/28,15:19:48,27,77,100,50
22/07/28,15:19:48,29,77,100,50
22/07/28,15:19:48,28,77,100,50
22/07/28,15:19:48,29,77,100,50
22/07/28,15:19:49,37,77,100,50
22/07/28,15:19:49,40,77,100,50
22/07/28,15:19:49,44,77,100,50
22/07/28,15:19:49,42,77,100,50
22/07/28,15:19:49,36,77,100,50
22/07/28,15:19:50,29,76,100,50
22/07/28,15:19:50,27,76,100,50
22/07/28,15:19:50,30,76,100,50
22/07/28,15:19:50,25,76,100,50
