----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
22/08/18,15:02:33,33,100,100,50
22/08/18,15:02:33,33,99,100,50
22/08/18,15:02:33,36,99,100,50
22/08/18,15:02:33,35,99,100,50
22/08/18,15:02:33,29,99,100,50
22/08/18,15:02:33,28,99,100,50
22/08/18,15:02:34,35,99,100,50
22/08/18,15:02:34,39,99,100,50
22/08/18,15:02:34,43,99,100,50
22/08/18,15:02:34,48,99,100,50
22/08/18,15:02:34,51,99,100,50
22/08/18,15:02:35,47,99,100,50
22/08/18,15:02:35,39,99,100,50
22/08/18,15:02:35,37,99,100,50
22/08/18,15:02:35,29,99,100,50
22/08/18,15:02:35,24,98,100,50
22/08/18,15:02:36,30,98,100,50
22/08/18,15:02:36,35,98,100,50
22/08/18,15:02:36,29,98,100,50
22/08/18,15:02:36,26,98,100,50
22/08/18,15:02:36,33,98,100,50
22/08/18,15:02:36,43,98,100,50
22/08/18,15:02:37,44,98,100,50
22/08/18,15:02:37,47,98,100,50
22/08/18,15:02:37,51,98,100,50
22/08/18,15:02:37,44,98,100,50
22/08/18,15:02:37,43,98,100,50
22/08/18,15:02:38,39,98,100,50
22/08/18,15:02:38,29,98,100,50
22/08/18,15:02:38,32,97,100,50
22/08/18,15:02:38,29,97,100,50
22/08/18,15:02:38,34,97,100,50
22/08/18,15:02:38,30,97,100,50
22/08/18,15:02:39,29,97,100,50
22/08/18,15:02:39,35,97,100,50
22/08/18,15:02:39,35,97,100,50
22/08/18,15:02:39,42,97,100,50
22/08/18,15:02:39,47,97,100,50
22/08/18,15:02:40,50,97,100,50
22/08/18,15:02:40,44,97,100,50
22/08/18,15:02:40,38,97,100,50
22/08/18,15:02:40,36,97,100,50
22/08/18,15:02:40,33,96,100,50
22/08/18,15:02:41,24,96,100,50
22/08/18,15:02:41,29,96,100,50
22/08/18,15:02:41,28,96,100,50
22/08/18,15:02:41,28,96,100,50
22/08/18,15:02:41,39,96,100,50
22/08/18,15:02:41,44,96,100,50
22/08/18,15:02:42,45,96,100,50
22/08/18,15:02:42,48,96,100,50
22/08/18,15:02:42,42,96,100,50
22/08/18,15:02:42,39,96,100,50
22/08/18,15:02:42,36,96,100,50
22/08/18,15:02:43,30,95,100,50
22/08/18,15:02:43,24,95,100,50
22/08/18,15:02:43,29,95,100,50
22/08/18,15:02:43,29,95,100,50
22/08/18,15:02:43,32,95,100,50
22/08/18,15:02:43,38,95,100,50
22/08/18,15:02:44,44,95,100,50
22/08/18,15:02:44,46,95,100,50
22/08/18,15:02:44,48,95,100,50
22/08/18,15:02:44,43,95,100,50
22/08/18,15:02:44,40,95,100,50
22/08/18,15:02:45,33,95,100,50
22/08/18,15:02:45,31,94,100,50
22/08/18,15:02:45,26,94,100,50
22/08/18,15:02:45,27,94,100,50
22/08/18,15:02:45,25,94,100,50
22/08/18,15:02:46,30,94,100,50
22/08/18,15:02:46,37,94,100,50
22/08/18,15:02:46,41,94,100,50
22/08/18,15:02:46,45,94,100,50
22/08/18,15:02:46,47,94,100,50
22/08/18,15:02:46,45,94,100,50
22/08/18,15:02:47,40,94,100,50
22/08/18,15:02:47,35,94,100,50
22/08/18,15:02:47,34,93,100,50
22/08/18,15:02:47,28,93,100,50
22/08/18,15:02:47,32,93,100,50
22/08/18,15:02:48,24,93,100,50
22/08/18,15:02:48,31,93,100,50
22/08/18,15:02:48,37,93,100,50
22/08/18,15:02:48,39,93,100,50
22/08/18,15:02:48,43,93,100,50
22/08/18,15:02:48,48,93,100,50
22/08/18,15:02:49,43,93,100,50
22/08/18,15:02:49,38,93,100,50
22/08/18,15:02:49,35,93,100,50
22/08/18,15:02:49,28,92,100,50
22/08/18,15:02:49,24,92,100,50
22/08/18,15:02:50,30,92,100,50
22/08/18,15:02:50,26,92,100,50
22/08/18,15:02:50,31,92,100,50
22/08/18,15:02:50,32,92,100,50
22/08/18,15:02:50,38,92,100,50
22/08/18,15:02:51,44,92,100,50
22/08/18,15:02:51,47,92,100,50
22/08/18,15:02:51,43,92,100,50
22/08/18,15:02:51,39,92,100,50
22/08/18,15:02:51,32,92,100,50
22/08/18,15:02:51,26,91,100,50
22/08/18,15:02:52,26,91,100,50
22/08/18,15:02:52,32,91,100,50
22/08/18,15:02:52,27,91,100,50
22/08/18,15:02:52,28,91,100,50
22/08/18,15:02:52,35,91,100,50
22/08/18,15:02:53,41,91,100,50
22/08/18,15:02:53,43,91,100,50
22/08/18,15:02:53,46,91,100,50
22/08/18,15:02:53,43,91,100,50
22/08/18,15:02:53,37,91,100,50
22/08/18,15:02:54,32,91,100,50
22/08/18,15:02:54,27,90,100,50
22/08/18,15:02:54,29,90,100,50
22/08/18,15:02:54,32,90,100,50
22/08/18,15:02:54,30,90,100,50
22/08/18,15:02:54,33,90,100,50
22/08/18,15:02:55,35,90,100,50
22/08/18,15:02:55,39,90,100,50
22/08/18,15:02:55,44,90,100,50
22/08/18,15:02:55,46,90,100,50
22/08/18,15:02:55,43,90,100,50
22/08/18,15:02:56,43,90,100,50
22/08/18,15:02:56,35,90,100,50
22/08/18,15:02:56,29,89,100,50
22/08/18,15:02:56,32,89,100,50
22/08/18,15:02:56,37,89,100,50
22/08/18,15:02:56,30,89,100,50
22/08/18,15:02:57,30,89,100,50
22/08/18,15:02:57,33,89,100,50
22/08/18,15:02:57,43,89,100,50
22/08/18,15:02:57,43,89,100,50
22/08/18,15:02:57,46,89,100,50
22/08/18,15:02:58,39,89,100,50
22/08/18,15:02:58,38,89,100,50
22/08/18,15:02:58,33,89,100,50
22/08/18,15:02:58,28,88,100,50
22/08/18,15:02:58,30,88,100,50
22/08/18,15:02:58,30,88,100,50
22/08/18,15:02:59,28,88,100,50
22/08/18,15:02:59,31,88,100,50
22/08/18,15:02:59,36,88,100,50
22/08/18,15:02:59,37,88,100,50
22/08/18,15:02:59,44,88,100,50
22/08/18,15:03:00,48,88,100,50
22/08/18,15:03:00,43,88,100,50
22/08/18,15:03:00,40,88,100,50
22/08/18,15:03:00,35,88,100,50
22/08/18,15:03:00,30,87,100,50
22/08/18,15:03:01,27,87,100,50
22/08/18,15:03:01,32,87,100,50
22/08/18,15:03:01,25,87,100,50
22/08/18,15:03:01,28,87,100,50
22/08/18,15:03:01,33,87,100,50
22/08/18,15:03:01,39,87,100,50
22/08/18,15:03:02,43,87,100,50
22/08/18,15:03:02,43,87,100,50
22/08/18,15:03:02,42,87,100,50
22/08/18,15:03:02,37,87,100,50
22/08/18,15:03:02,32,87,100,50
22/08/18,15:03:03,26,86,100,50
22/08/18,15:03:03,28,86,100,50
22/08/18,15:03:03,33,86,100,50
22/08/18,15:03:03,28,86,100,50
22/08/18,15:03:03,29,86,100,50
22/08/18,15:03:03,35,86,100,50
22/08/18,15:03:04,41,86,100,50
22/08/18,15:03:04,41,86,100,50
22/08/18,15:03:04,49,86,100,50
22/08/18,15:03:04,43,86,100,50
22/08/18,15:03:04,37,86,100,50
22/08/18,15:03:05,33,86,100,50
22/08/18,15:03:05,25,85,100,50
22/08/18,15:03:05,29,85,100,50
22/08/18,15:03:05,27,85,100,50
22/08/18,15:03:05,28,85,100,50
22/08/18,15:03:06,31,85,100,50
22/08/18,15:03:06,38,85,100,50
22/08/18,15:03:06,39,85,100,50
22/08/18,15:03:06,45,85,100,50
22/08/18,15:03:06,47,85,100,50
22/08/18,15:03:06,46,85,100,50
22/08/18,15:03:07,41,85,100,50
22/08/18,15:03:07,34,85,100,50
22/08/18,15:03:07,28,84,100,50
22/08/18,15:03:07,26,84,100,50
22/08/18,15:03:07,29,84,100,50
22/08/18,15:03:08,26,84,100,50
22/08/18,15:03:08,30,84,100,50
22/08/18,15:03:08,34,84,100,50
22/08/18,15:03:08,39,84,100,50
22/08/18,15:03:08,44,84,100,50
22/08/18,15:03:09,48,84,100,50
22/08/18,15:03:09,43,84,100,50
22/08/18,15:03:09,37,84,100,50
22/08/18,15:03:09,33,84,100,50
22/08/18,15:03:09,29,83,100,50
22/08/18,15:03:09,28,83,100,50
22/08/18,15:03:10,26,83,100,50
22/08/18,15:03:10,27,83,100,50
22/08/18,15:03:10,31,83,100,50
22/08/18,15:03:10,33,83,100,50
22/08/18,15:03:10,41,83,100,50
22/08/18,15:03:11,43,83,100,50
22/08/18,15:03:11,48,83,100,50
22/08/18,15:03:11,41,83,100,50
22/08/18,15:03:11,40,83,100,50
22/08/18,15:03:11,33,83,100,50
22/08/18,15:03:11,28,82,100,50
22/08/18,15:03:12,29,82,100,50
22/08/18,15:03:12,30,82,100,50
22/08/18,15:03:12,27,82,100,50
22/08/18,15:03:12,29,82,100,50
22/08/18,15:03:12,33,82,100,50
22/08/18,15:03:13,41,82,100,50
22/08/18,15:03:13,45,82,100,50
22/08/18,15:03:13,47,82,100,50
22/08/18,15:03:13,40,82,100,50
22/08/18,15:03:13,38,82,100,50
22/08/18,15:03:14,36,82,100,50
22/08/18,15:03:14,27,81,100,50
22/08/18,15:03:14,30,81,100,50
22/08/18,15:03:14,35,81,100,50
22/08/18,15:03:14,28,81,100,50
22/08/18,15:03:14,31,81,100,50
22/08/18,15:03:15,34,81,100,50
22/08/18,15:03:15,40,81,100,50
22/08/18,15:03:15,44,81,100,50
22/08/18,15:03:15,45,81,100,50
22/08/18,15:03:15,43,81,100,50
22/08/18,15:03:16,43,81,100,50
22/08/18,15:03:16,34,81,100,50
22/08/18,15:03:16,29,80,100,50
22/08/18,15:03:16,28,80,100,50
22/08/18,15:03:16,39,80,100,50
22/08/18,15:03:16,30,80,100,50
22/08/18,15:03:17,28,80,100,50
22/08/18,15:03:17,38,80,100,50
22/08/18,15:03:17,38,80,100,50
22/08/18,15:03:17,43,80,100,50
22/08/18,15:03:17,44,80,100,50
22/08/18,15:03:18,41,80,100,50
22/08/18,15:03:18,36,80,100,50
22/08/18,15:03:18,33,80,100,50
22/08/18,15:03:18,29,79,100,50
22/08/18,15:03:18,27,79,100,50
22/08/18,15:03:19,39,79,100,50
22/08/18,15:03:19,26,79,100,50
22/08/18,15:03:19,31,79,100,50
22/08/18,15:03:19,36,79,100,50
22/08/18,15:03:19,35,79,100,50
22/08/18,15:03:20,44,79,100,50
22/08/18,15:03:20,50,79,100,50
22/08/18,15:03:20,40,79,100,50
22/08/18,15:03:20,39,79,100,50
22/08/18,15:03:20,36,79,100,50
22/08/18,15:03:20,28,78,100,50
22/08/18,15:03:21,26,78,100,50
22/08/18,15:03:21,30,78,100,50
22/08/18,15:03:21,27,78,100,50
22/08/18,15:03:21,32,78,100,50
22/08/18,15:03:21,39,78,100,50
22/08/18,15:03:22,39,78,100,50
22/08/18,15:03:22,43,78,100,50
22/08/18,15:03:22,49,78,100,50
22/08/18,15:03:22,43,78,100,50
22/08/18,15:03:22,40,78,100,50
22/08/18,15:03:23,35,78,100,50
22/08/18,15:03:23,26,77,100,50
22/08/18,15:03:23,26,77,100,50
22/08/18,15:03:23,33,77,100,50
22/08/18,15:03:23,26,77,100,50
