----------------------------------
date,time,distance,cnt,pwm,uid
22/04/29,14:35:53,28,36,85,88
22/04/29,14:35:53,30,35,85,88
22/04/29,14:35:53,27,35,85,88
22/04/29,14:35:54,30,35,85,88
22/04/29,14:35:54,21,35,85,88
22/04/29,14:35:54,25,35,85,88
22/04/29,14:35:54,28,35,85,88
22/04/29,14:35:54,36,35,85,88
22/04/29,14:35:54,40,35,85,88
22/04/29,14:35:55,40,35,85,88
22/04/29,14:35:55,44,35,85,88
22/04/29,14:35:55,48,35,85,88
22/04/29,14:35:55,49,35,85,88
22/04/29,14:35:55,41,35,85,88
22/04/29,14:35:56,37,35,85,88
22/04/29,14:35:56,34,35,85,88
22/04/29,14:35:56,29,35,85,88
22/04/29,14:35:56,27,34,85,88
22/04/29,14:35:56,25,34,85,88
22/04/29,14:35:57,26,34,85,88
22/04/29,14:35:57,21,34,85,88
22/04/29,14:35:57,29,34,85,88
22/04/29,14:35:57,28,34,85,88
22/04/29,14:35:57,35,34,85,88
22/04/29,14:35:57,41,34,85,88
22/04/29,14:35:58,45,34,85,88
22/04/29,14:35:58,45,34,85,88
22/04/29,14:35:58,52,34,85,88
22/04/29,14:35:58,44,34,85,88
22/04/29,14:35:58,44,34,85,88
22/04/29,14:35:59,39,34,85,88
22/04/29,14:35:59,36,34,85,88
22/04/29,14:35:59,28,34,85,88
22/04/29,14:35:59,25,33,85,88
22/04/29,14:35:59,22,33,85,88
22/04/29,14:35:59,22,33,85,88
22/04/29,14:36:00,22,33,85,88
22/04/29,14:36:00,28,33,85,88
22/04/29,14:36:00,33,33,85,88
22/04/29,14:36:00,36,33,85,88
22/04/29,14:36:00,42,33,85,88
22/04/29,14:36:01,45,33,85,88
22/04/29,14:36:01,50,33,85,88
22/04/29,14:36:01,50,33,85,88
22/04/29,14:36:01,46,33,85,88
22/04/29,14:36:01,46,33,85,88
22/04/29,14:36:02,40,33,85,88
22/04/29,14:36:02,35,33,85,88
22/04/29,14:36:02,32,33,85,88
22/04/29,14:36:02,28,33,85,88
22/04/29,14:36:02,23,32,85,88
22/04/29,14:36:02,27,32,85,88
22/04/29,14:36:03,33,32,85,88
22/04/29,14:36:03,25,32,85,88
22/04/29,14:36:03,28,32,85,88
22/04/29,14:36:03,29,32,85,88
22/04/29,14:36:03,38,32,85,88
22/04/29,14:36:04,37,32,85,88
22/04/29,14:36:04,42,32,85,88
22/04/29,14:36:04,46,32,85,88
22/04/29,14:36:04,48,32,85,88
22/04/29,14:36:04,45,32,85,88
22/04/29,14:36:04,41,32,85,88
22/04/29,14:36:05,40,32,85,88
22/04/29,14:36:05,33,32,85,88
22/04/29,14:36:05,28,32,85,88
22/04/29,14:36:05,30,31,85,88
22/04/29,14:36:05,22,31,85,88
22/04/29,14:36:06,25,31,85,88
22/04/29,14:36:06,21,31,85,88
22/04/29,14:36:06,25,31,85,88
22/04/29,14:36:06,34,31,85,88
22/04/29,14:36:06,36,31,85,88
22/04/29,14:36:07,39,31,85,88
22/04/29,14:36:07,44,31,85,88
22/04/29,14:36:07,49,31,85,88
22/04/29,14:36:07,51,31,85,88
22/04/29,14:36:07,46,31,85,88
22/04/29,14:36:07,42,31,85,88
22/04/29,14:36:08,41,31,85,88
22/04/29,14:36:08,33,31,85,88
22/04/29,14:36:08,32,31,85,88
22/04/29,14:36:08,25,31,85,88
22/04/29,14:36:08,23,30,85,88
22/04/29,14:36:09,24,30,85,88
22/04/29,14:36:09,26,30,85,88
22/04/29,14:36:09,25,30,85,88
22/04/29,14:36:09,25,30,85,88
22/04/29,14:36:09,31,30,85,88
22/04/29,14:36:09,32,30,85,88
22/04/29,14:36:10,37,30,85,88
22/04/29,14:36:10,40,30,85,88
22/04/29,14:36:10,47,30,85,88
22/04/29,14:36:10,49,30,85,88
22/04/29,14:36:10,44,30,85,88
22/04/29,14:36:11,40,30,85,88
22/04/29,14:36:11,37,30,85,88
22/04/29,14:36:11,31,30,85,88
22/04/29,14:36:11,26,30,85,88
22/04/29,14:36:11,25,29,85,88
22/04/29,14:36:12,24,29,85,88
22/04/29,14:36:12,22,29,85,88
22/04/29,14:36:12,27,29,85,88
22/04/29,14:36:12,27,29,85,88
22/04/29,14:36:12,31,29,85,88
22/04/29,14:36:12,35,29,85,88
22/04/29,14:36:13,37,29,85,88
22/04/29,14:36:13,33,29,85,88
22/04/29,14:36:13,29,29,85,88
22/04/29,14:36:13,27,29,85,88
22/04/29,14:36:13,23,28,85,88
22/04/29,14:36:14,23,28,85,88
22/04/29,14:36:14,23,28,85,88
22/04/29,14:36:14,21,28,85,88
22/04/29,14:36:14,29,28,85,88
22/04/29,14:36:14,32,28,85,88
22/04/29,14:36:14,35,28,85,88
22/04/29,14:36:15,37,28,85,88
22/04/29,14:36:15,43,28,85,88
22/04/29,14:36:15,37,28,85,88
22/04/29,14:36:15,36,28,85,88
22/04/29,14:36:15,29,28,85,88
22/04/29,14:36:16,25,27,85,88
22/04/29,14:36:16,21,27,85,88
22/04/29,14:36:16,21,27,85,88
22/04/29,14:36:16,18,27,85,88
22/04/29,14:36:16,27,27,85,88
22/04/29,14:36:17,28,27,85,88
22/04/29,14:36:17,37,27,85,88
22/04/29,14:36:17,40,27,85,88
22/04/29,14:36:17,40,27,85,88
22/04/29,14:36:17,38,27,85,88
22/04/29,14:36:17,37,27,85,88
22/04/29,14:36:18,30,27,85,88
22/04/29,14:36:18,24,27,85,88
22/04/29,14:36:18,21,26,85,88
22/04/29,14:36:18,24,26,85,88
22/04/29,14:36:18,31,26,85,88
22/04/29,14:36:19,24,26,85,88
22/04/29,14:36:19,27,26,85,88
22/04/29,14:36:19,28,26,85,88
22/04/29,14:36:19,35,26,85,88
22/04/29,14:36:19,39,26,85,88
22/04/29,14:36:19,42,26,85,88
22/04/29,14:36:20,38,26,85,88
22/04/29,14:36:20,31,26,85,88
22/04/29,14:36:20,30,26,85,88
22/04/29,14:36:20,25,25,85,88
22/04/29,14:36:20,21,25,85,88
22/04/29,14:36:21,24,25,85,88
22/04/29,14:36:21,22,25,85,88
22/04/29,14:36:21,26,25,85,88
22/04/29,14:36:21,31,25,85,88
22/04/29,14:36:21,36,25,85,88
22/04/29,14:36:22,40,25,85,88
22/04/29,14:36:22,40,25,85,88
22/04/29,14:36:22,40,25,85,88
22/04/29,14:36:22,34,25,85,88
22/04/29,14:36:22,30,25,85,88
22/04/29,14:36:22,23,24,85,88
22/04/29,14:36:23,21,24,85,88
22/04/29,14:36:23,24,24,85,88
22/04/29,14:36:23,25,24,85,88
22/04/29,14:36:23,28,24,85,88
22/04/29,14:36:23,33,24,85,88
22/04/29,14:36:24,37,24,85,88
22/04/29,14:36:24,39,24,85,88
22/04/29,14:36:24,34,24,85,88
22/04/29,14:36:24,29,24,85,88
22/04/29,14:36:24,29,24,85,88
22/04/29,14:36:24,23,23,85,88
22/04/29,14:36:25,23,23,85,88
22/04/29,14:36:25,31,23,85,88
22/04/29,14:36:25,23,23,85,88
22/04/29,14:36:25,26,23,85,88
22/04/29,14:36:25,29,23,85,88
22/04/29,14:36:26,34,23,85,88
