----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
----------------------------------
date,time,distance,cnt,pwm,uid
22/05/19,15:25:07,33,100,90,20
22/05/19,15:25:07,30,99,90,20
22/05/19,15:25:07,35,99,90,20
22/05/19,15:25:08,32,99,90,20
22/05/19,15:25:08,27,99,90,20
22/05/19,15:25:08,27,99,90,20
22/05/19,15:25:08,29,99,90,20
22/05/19,15:25:08,35,99,90,20
22/05/19,15:25:09,37,99,90,20
22/05/19,15:25:09,40,99,90,20
22/05/19,15:25:09,49,99,90,20
22/05/19,15:25:09,47,99,90,20
22/05/19,15:25:09,48,99,90,20
22/05/19,15:25:09,40,99,90,20
22/05/19,15:25:10,37,99,90,20
22/05/19,15:25:10,33,99,90,20
22/05/19,15:25:10,29,99,90,20
22/05/19,15:25:10,21,98,90,20
22/05/19,15:25:10,33,98,90,20
22/05/19,15:25:11,32,98,90,20
22/05/19,15:25:11,23,98,90,20
22/05/19,15:25:11,28,98,90,20
22/05/19,15:25:11,29,98,90,20
22/05/19,15:25:11,35,98,90,20
22/05/19,15:25:12,40,98,90,20
22/05/19,15:25:12,42,98,90,20
22/05/19,15:25:12,50,98,90,20
22/05/19,15:25:12,50,98,90,20
22/05/19,15:25:12,45,98,90,20
22/05/19,15:25:12,40,98,90,20
22/05/19,15:25:13,39,98,90,20
22/05/19,15:25:13,34,98,90,20
22/05/19,15:25:13,25,98,90,20
22/05/19,15:25:13,29,97,90,20
22/05/19,15:25:13,31,97,90,20
22/05/19,15:25:14,33,97,90,20
22/05/19,15:25:14,25,97,90,20
22/05/19,15:25:14,26,97,90,20
22/05/19,15:25:14,28,97,90,20
22/05/19,15:25:14,38,97,90,20
22/05/19,15:25:15,39,97,90,20
22/05/19,15:25:15,42,97,90,20
22/05/19,15:25:15,48,97,90,20
22/05/19,15:25:15,49,97,90,20
22/05/19,15:25:15,44,97,90,20
22/05/19,15:25:15,38,97,90,20
22/05/19,15:25:16,39,97,90,20
22/05/19,15:25:16,33,97,90,20
22/05/19,15:25:16,26,97,90,20
22/05/19,15:25:16,27,96,90,20
22/05/19,15:25:16,25,96,90,20
22/05/19,15:25:17,36,96,90,20
22/05/19,15:25:17,27,96,90,20
22/05/19,15:25:17,27,96,90,20
22/05/19,15:25:17,30,96,90,20
22/05/19,15:25:17,38,96,90,20
22/05/19,15:25:18,40,96,90,20
22/05/19,15:25:18,42,96,90,20
22/05/19,15:25:18,48,96,90,20
22/05/19,15:25:18,54,96,90,20
22/05/19,15:25:18,45,96,90,20
22/05/19,15:25:18,42,96,90,20
22/05/19,15:25:19,38,96,90,20
22/05/19,15:25:19,33,96,90,20
22/05/19,15:25:19,29,96,90,20
22/05/19,15:25:19,26,95,90,20
22/05/19,15:25:19,26,95,90,20
22/05/19,15:25:20,35,95,90,20
22/05/19,15:25:20,27,95,90,20
22/05/19,15:25:20,28,95,90,20
22/05/19,15:25:20,31,95,90,20
22/05/19,15:25:20,34,95,90,20
22/05/19,15:25:21,39,95,90,20
22/05/19,15:25:21,44,95,90,20
22/05/19,15:25:21,50,95,90,20
22/05/19,15:25:21,51,95,90,20
22/05/19,15:25:21,48,95,90,20
22/05/19,15:25:21,43,95,90,20
22/05/19,15:25:22,36,95,90,20
22/05/19,15:25:22,34,95,90,20
22/05/19,15:25:22,32,95,90,20
22/05/19,15:25:22,29,94,90,20
22/05/19,15:25:22,22,94,90,20
22/05/19,15:25:23,27,94,90,20
22/05/19,15:25:23,21,94,90,20
22/05/19,15:25:23,31,94,90,20
22/05/19,15:25:23,32,94,90,20
22/05/19,15:25:23,38,94,90,20
22/05/19,15:25:24,39,94,90,20
22/05/19,15:25:24,44,94,90,20
22/05/19,15:25:24,49,94,90,20
22/05/19,15:25:24,51,94,90,20
22/05/19,15:25:24,50,94,90,20
22/05/19,15:25:24,41,94,90,20
22/05/19,15:25:25,41,94,90,20
22/05/19,15:25:25,38,94,90,20
22/05/19,15:25:25,30,94,90,20
22/05/19,15:25:25,26,93,90,20
22/05/19,15:25:25,24,93,90,20
22/05/19,15:25:26,24,93,90,20
22/05/19,15:25:26,24,93,90,20
22/05/19,15:25:26,29,93,90,20
22/05/19,15:25:26,32,93,90,20
22/05/19,15:25:26,39,93,90,20
22/05/19,15:25:27,38,93,90,20
22/05/19,15:25:27,47,93,90,20
22/05/19,15:25:27,49,93,90,20
22/05/19,15:25:27,43,93,90,20
22/05/19,15:25:27,40,93,90,20
22/05/19,15:25:27,37,93,90,20
22/05/19,15:25:28,33,93,90,20
22/05/19,15:25:28,25,92,90,20
22/05/19,15:25:28,24,92,90,20
22/05/19,15:25:28,26,92,90,20
22/05/19,15:25:28,26,92,90,20
22/05/19,15:25:29,28,92,90,20
22/05/19,15:25:29,31,92,90,20
22/05/19,15:25:29,39,92,90,20
22/05/19,15:25:29,42,92,90,20
22/05/19,15:25:29,46,92,90,20
22/05/19,15:25:30,47,92,90,20
22/05/19,15:25:30,46,92,90,20
22/05/19,15:25:30,40,92,90,20
22/05/19,15:25:30,39,92,90,20
22/05/19,15:25:30,34,92,90,20
22/05/19,15:25:30,31,91,90,20
22/05/19,15:25:31,23,91,90,20
22/05/19,15:25:31,25,91,90,20
22/05/19,15:25:31,22,91,90,20
22/05/19,15:25:31,29,91,90,20
22/05/19,15:25:31,35,91,90,20
22/05/19,15:25:32,40,91,90,20
22/05/19,15:25:32,41,91,90,20
22/05/19,15:25:32,47,91,90,20
22/05/19,15:25:32,48,91,90,20
22/05/19,15:25:32,45,91,90,20
22/05/19,15:25:33,39,91,90,20
22/05/19,15:25:33,36,91,90,20
22/05/19,15:25:33,32,91,90,20
22/05/19,15:25:33,30,91,90,20
22/05/19,15:25:33,27,90,90,20
22/05/19,15:25:33,22,90,90,20
22/05/19,15:25:34,33,90,90,20
22/05/19,15:25:34,26,90,90,20
22/05/19,15:25:34,26,90,90,20
22/05/19,15:25:34,31,90,90,20
22/05/19,15:25:34,34,90,90,20
22/05/19,15:25:35,38,90,90,20
22/05/19,15:25:35,43,90,90,20
22/05/19,15:25:35,47,90,90,20
22/05/19,15:25:35,51,90,90,20
22/05/19,15:25:35,49,90,90,20
22/05/19,15:25:36,40,90,90,20
22/05/19,15:25:36,38,90,90,20
22/05/19,15:25:36,37,90,90,20
22/05/19,15:25:36,28,90,90,20
22/05/19,15:25:36,24,89,90,20
22/05/19,15:25:36,25,89,90,20
22/05/19,15:25:37,28,89,90,20
22/05/19,15:25:37,24,89,90,20
22/05/19,15:25:37,29,89,90,20
22/05/19,15:25:37,29,89,90,20
22/05/19,15:25:37,36,89,90,20
22/05/19,15:25:38,37,89,90,20
22/05/19,15:25:38,44,89,90,20
22/05/19,15:25:38,47,89,90,20
22/05/19,15:25:38,51,89,90,20
22/05/19,15:25:38,48,89,90,20
22/05/19,15:25:39,42,89,90,20
22/05/19,15:25:39,38,89,90,20
22/05/19,15:25:39,31,89,90,20
22/05/19,15:25:39,31,89,90,20
22/05/19,15:25:39,26,88,90,20
22/05/19,15:25:40,23,88,90,20
22/05/19,15:25:40,27,88,90,20
22/05/19,15:25:40,22,88,90,20
22/05/19,15:25:40,26,88,90,20
22/05/19,15:25:40,30,88,90,20
22/05/19,15:25:40,36,88,90,20
22/05/19,15:25:41,35,88,90,20
22/05/19,15:25:41,47,88,90,20
22/05/19,15:25:41,50,88,90,20
22/05/19,15:25:41,51,88,90,20
22/05/19,15:25:41,46,88,90,20
22/05/19,15:25:42,42,88,90,20
22/05/19,15:25:42,38,88,90,20
22/05/19,15:25:42,36,88,90,20
22/05/19,15:25:42,32,88,90,20
22/05/19,15:25:42,24,87,90,20
22/05/19,15:25:43,24,87,90,20
22/05/19,15:25:43,30,87,90,20
22/05/19,15:25:43,24,87,90,20
22/05/19,15:25:43,31,87,90,20
22/05/19,15:25:43,31,87,90,20
22/05/19,15:25:43,37,87,90,20
22/05/19,15:25:44,40,87,90,20
22/05/19,15:25:44,45,87,90,20
22/05/19,15:25:44,46,87,90,20
22/05/19,15:25:44,44,87,90,20
22/05/19,15:25:44,41,87,90,20
22/05/19,15:25:45,36,87,90,20
22/05/19,15:25:45,29,87,90,20
22/05/19,15:25:45,27,86,90,20
22/05/19,15:25:45,24,86,90,20
22/05/19,15:25:45,28,86,90,20
22/05/19,15:25:46,25,86,90,20
22/05/19,15:25:46,30,86,90,20
22/05/19,15:25:46,30,86,90,20
22/05/19,15:25:46,35,86,90,20
22/05/19,15:25:46,42,86,90,20
22/05/19,15:25:46,42,86,90,20
22/05/19,15:25:47,50,86,90,20
22/05/19,15:25:47,43,86,90,20
22/05/19,15:25:47,39,86,90,20
22/05/19,15:25:47,38,86,90,20
22/05/19,15:25:47,33,86,90,20
22/05/19,15:25:48,27,85,90,20
22/05/19,15:25:48,25,85,90,20
22/05/19,15:25:48,28,85,90,20
22/05/19,15:25:48,22,85,90,20
22/05/19,15:25:48,30,85,90,20
22/05/19,15:25:49,34,85,90,20
22/05/19,15:25:49,41,85,90,20
22/05/19,15:25:49,42,85,90,20
22/05/19,15:25:49,44,85,90,20
22/05/19,15:25:49,49,85,90,20
22/05/19,15:25:49,45,85,90,20
22/05/19,15:25:50,42,85,90,20
22/05/19,15:25:50,37,85,90,20
22/05/19,15:25:50,33,85,90,20
22/05/19,15:25:50,28,84,90,20
22/05/19,15:25:50,24,84,90,20
22/05/19,15:25:51,24,84,90,20
22/05/19,15:25:51,25,84,90,20
22/05/19,15:25:51,29,84,90,20
22/05/19,15:25:51,34,84,90,20
22/05/19,15:25:51,37,84,90,20
22/05/19,15:25:52,41,84,90,20
22/05/19,15:25:52,46,84,90,20
22/05/19,15:25:52,47,84,90,20
22/05/19,15:25:52,44,84,90,20
22/05/19,15:25:52,42,84,90,20
22/05/19,15:25:52,39,84,90,20
22/05/19,15:25:53,34,84,90,20
22/05/19,15:25:53,32,83,90,20
22/05/19,15:25:53,27,83,90,20
22/05/19,15:25:53,24,83,90,20
22/05/19,15:25:53,25,83,90,20
22/05/19,15:25:54,31,83,90,20
22/05/19,15:25:54,33,83,90,20
22/05/19,15:25:54,41,83,90,20
22/05/19,15:25:54,42,83,90,20
22/05/19,15:25:54,48,83,90,20
22/05/19,15:25:55,47,83,90,20
22/05/19,15:25:55,44,83,90,20
22/05/19,15:25:55,38,83,90,20
22/05/19,15:25:55,35,83,90,20
22/05/19,15:25:55,34,83,90,20
22/05/19,15:25:55,29,82,90,20
22/05/19,15:25:56,24,82,90,20
22/05/19,15:25:56,25,82,90,20
22/05/19,15:25:56,24,82,90,20
22/05/19,15:25:56,32,82,90,20
22/05/19,15:25:56,36,82,90,20
22/05/19,15:25:57,37,82,90,20
22/05/19,15:25:57,42,82,90,20
22/05/19,15:25:57,47,82,90,20
22/05/19,15:25:57,47,82,90,20
22/05/19,15:25:57,48,82,90,20
22/05/19,15:25:58,41,82,90,20
22/05/19,15:25:58,39,82,90,20
22/05/19,15:25:58,31,82,90,20
22/05/19,15:25:58,29,81,90,20
22/05/19,15:25:58,26,81,90,20
22/05/19,15:25:58,25,81,90,20
22/05/19,15:25:59,25,81,90,20
