----------------------------------
date,time,distance,cnt,pwm,uid
22/05/26,15:24:03,34,100,90,50
22/05/26,15:24:03,31,99,90,50
22/05/26,15:24:03,33,99,90,50
22/05/26,15:24:03,37,99,90,50
22/05/26,15:24:03,40,99,90,50
22/05/26,15:24:04,40,99,90,50
22/05/26,15:24:04,37,99,90,50
22/05/26,15:24:04,32,99,90,50
22/05/26,15:24:04,35,99,90,50
22/05/26,15:24:04,35,99,90,50
22/05/26,15:24:04,35,99,90,50
22/05/26,15:24:05,37,99,90,50
22/05/26,15:24:05,35,99,90,50
22/05/26,15:24:05,39,99,90,50
22/05/26,15:24:05,38,99,90,50
22/05/26,15:24:05,40,99,90,50
22/05/26,15:24:06,38,99,90,50
22/05/26,15:24:06,36,99,90,50
22/05/26,15:24:06,36,99,90,50
22/05/26,15:24:06,41,99,90,50
22/05/26,15:24:06,38,99,90,50
22/05/26,15:24:07,39,99,90,50
22/05/26,15:24:07,35,99,90,50
----------------------------------
date,time,distance,cnt,pwm,uid
22/05/26,15:24:16,39,100,90,50
22/05/26,15:24:16,37,99,90,50
22/05/26,15:24:17,39,99,90,50
22/05/26,15:24:17,37,99,90,50
22/05/26,15:24:17,28,99,90,50
22/05/26,15:24:17,30,99,90,50
22/05/26,15:24:17,32,99,90,50
22/05/26,15:24:18,34,99,90,50
22/05/26,15:24:18,40,99,90,50
22/05/26,15:24:18,45,99,90,50
22/05/26,15:24:18,37,99,90,50
22/05/26,15:24:18,37,99,90,50
22/05/26,15:24:19,29,99,90,50
22/05/26,15:24:19,26,98,90,50
22/05/26,15:24:19,26,98,90,50
22/05/26,15:24:19,35,98,90,50
22/05/26,15:24:19,26,98,90,50
22/05/26,15:24:19,29,98,90,50
22/05/26,15:24:20,36,98,90,50
22/05/26,15:24:20,38,98,90,50
22/05/26,15:24:20,40,98,90,50
22/05/26,15:24:20,43,98,90,50
22/05/26,15:24:20,40,98,90,50
22/05/26,15:24:21,35,98,90,50
22/05/26,15:24:21,33,98,90,50
22/05/26,15:24:21,28,97,90,50
22/05/26,15:24:21,25,97,90,50
22/05/26,15:24:21,29,97,90,50
22/05/26,15:24:22,26,97,90,50
22/05/26,15:24:22,27,97,90,50
22/05/26,15:24:22,33,97,90,50
22/05/26,15:24:22,35,97,90,50
22/05/26,15:24:22,40,97,90,50
22/05/26,15:24:22,43,97,90,50
22/05/26,15:24:23,39,97,90,50
22/05/26,15:24:23,34,97,90,50
22/05/26,15:24:23,31,97,90,50
22/05/26,15:24:23,28,96,90,50
22/05/26,15:24:23,27,96,90,50
22/05/26,15:24:24,36,96,90,50
22/05/26,15:24:24,25,96,90,50
22/05/26,15:24:24,29,96,90,50
22/05/26,15:24:24,33,96,90,50
22/05/26,15:24:24,40,96,90,50
22/05/26,15:24:25,40,96,90,50
22/05/26,15:24:25,44,96,90,50
22/05/26,15:24:25,41,96,90,50
22/05/26,15:24:25,37,96,90,50
22/05/26,15:24:25,32,96,90,50
22/05/26,15:24:25,30,95,90,50
22/05/26,15:24:26,26,95,90,50
22/05/26,15:24:26,31,95,90,50
22/05/26,15:24:26,26,95,90,50
22/05/26,15:24:26,27,95,90,50
22/05/26,15:24:26,31,95,90,50
22/05/26,15:24:27,38,95,90,50
22/05/26,15:24:27,41,95,90,50
22/05/26,15:24:27,42,95,90,50
22/05/26,15:24:27,41,95,90,50
22/05/26,15:24:27,36,95,90,50
22/05/26,15:24:28,31,95,90,50
22/05/26,15:24:28,29,94,90,50
22/05/26,15:24:28,26,94,90,50
22/05/26,15:24:28,27,94,90,50
22/05/26,15:24:28,26,94,90,50
22/05/26,15:24:29,28,94,90,50
22/05/26,15:24:29,34,94,90,50
22/05/26,15:24:29,35,94,90,50
22/05/26,15:24:29,44,94,90,50
22/05/26,15:24:29,48,94,90,50
22/05/26,15:24:29,42,94,90,50
22/05/26,15:24:30,38,94,90,50
22/05/26,15:24:30,32,94,90,50
22/05/26,15:24:30,29,93,90,50
22/05/26,15:24:30,24,93,90,50
22/05/26,15:24:30,33,93,90,50
22/05/26,15:24:31,29,93,90,50
22/05/26,15:24:31,31,93,90,50
22/05/26,15:24:31,33,93,90,50
22/05/26,15:24:31,34,93,90,50
22/05/26,15:24:31,42,93,90,50
22/05/26,15:24:32,44,93,90,50
22/05/26,15:24:32,36,93,90,50
22/05/26,15:24:32,38,93,90,50
22/05/26,15:24:32,33,93,90,50
22/05/26,15:24:32,29,92,90,50
22/05/26,15:24:33,28,92,90,50
22/05/26,15:24:33,32,92,90,50
22/05/26,15:24:33,27,92,90,50
22/05/26,15:24:33,31,92,90,50
22/05/26,15:24:33,33,92,90,50
22/05/26,15:24:33,36,92,90,50
22/05/26,15:24:34,43,92,90,50
22/05/26,15:24:34,44,92,90,50
22/05/26,15:24:34,42,92,90,50
22/05/26,15:24:34,39,92,90,50
22/05/26,15:24:34,34,92,90,50
22/05/26,15:24:35,32,91,90,50
22/05/26,15:24:35,25,91,90,50
22/05/26,15:24:35,33,91,90,50
22/05/26,15:24:35,28,91,90,50
22/05/26,15:24:35,28,91,90,50
22/05/26,15:24:36,35,91,90,50
22/05/26,15:24:36,41,91,90,50
22/05/26,15:24:36,41,91,90,50
22/05/26,15:24:36,44,91,90,50
22/05/26,15:24:36,40,91,90,50
22/05/26,15:24:36,37,91,90,50
22/05/26,15:24:37,33,91,90,50
22/05/26,15:24:37,30,90,90,50
22/05/26,15:24:37,24,90,90,50
22/05/26,15:24:37,30,90,90,50
22/05/26,15:24:37,27,90,90,50
22/05/26,15:24:38,29,90,90,50
22/05/26,15:24:38,38,90,90,50
22/05/26,15:24:38,40,90,90,50
22/05/26,15:24:38,39,90,90,50
22/05/26,15:24:38,47,90,90,50
22/05/26,15:24:39,40,90,90,50
22/05/26,15:24:39,38,90,90,50
22/05/26,15:24:39,33,90,90,50
22/05/26,15:24:39,29,89,90,50
22/05/26,15:24:39,25,89,90,50
22/05/26,15:24:39,27,89,90,50
22/05/26,15:24:40,28,89,90,50
22/05/26,15:24:40,28,89,90,50
22/05/26,15:24:40,38,89,90,50
22/05/26,15:24:40,36,89,90,50
22/05/26,15:24:40,43,89,90,50
22/05/26,15:24:41,45,89,90,50
22/05/26,15:24:41,40,89,90,50
22/05/26,15:24:41,37,89,90,50
22/05/26,15:24:41,35,89,90,50
22/05/26,15:24:41,25,88,90,50
22/05/26,15:24:42,26,88,90,50
22/05/26,15:24:42,28,88,90,50
22/05/26,15:24:42,26,88,90,50
22/05/26,15:24:42,25,88,90,50
22/05/26,15:24:42,34,88,90,50
22/05/26,15:24:43,39,88,90,50
22/05/26,15:24:43,38,88,90,50
22/05/26,15:24:43,37,88,90,50
22/05/26,15:24:43,35,88,90,50
22/05/26,15:24:43,26,87,90,50
22/05/26,15:24:43,26,87,90,50
22/05/26,15:24:44,29,87,90,50
22/05/26,15:24:44,28,87,90,50
22/05/26,15:24:44,29,87,90,50
22/05/26,15:24:44,35,87,90,50
22/05/26,15:24:44,37,87,90,50
22/05/26,15:24:45,40,87,90,50
22/05/26,15:24:45,38,87,90,50
22/05/26,15:24:45,34,87,90,50
22/05/26,15:24:45,28,86,90,50
22/05/26,15:24:45,28,86,90,50
22/05/26,15:24:46,26,86,90,50
