----------------------------------
date,time,distance,cnt,pwm,uid
22/06/10,14:45:41,33,100,90,50
22/06/10,14:45:41,33,99,90,50
22/06/10,14:45:42,33,99,90,50
22/06/10,14:45:42,31,99,90,50
22/06/10,14:45:42,27,99,90,50
22/06/10,14:45:42,32,99,90,50
22/06/10,14:45:42,30,99,90,50
22/06/10,14:45:42,27,99,90,50
22/06/10,14:45:43,26,99,90,50
22/06/10,14:45:43,29,99,90,50
22/06/10,14:45:43,33,99,90,50
22/06/10,14:45:43,31,99,90,50
22/06/10,14:45:43,31,99,90,50
22/06/10,14:45:44,31,99,90,50
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/10,14:45:54,30,100,90,50
22/06/10,14:45:54,38,99,90,50
22/06/10,14:45:54,33,99,90,50
22/06/10,14:45:55,33,99,90,50
22/06/10,14:45:55,29,99,90,50
22/06/10,14:45:55,33,99,90,50
22/06/10,14:45:55,40,99,90,50
22/06/10,14:45:55,33,99,90,50
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/10,14:46:05,33,100,90,50
22/06/10,14:46:06,38,99,90,50
22/06/10,14:46:06,33,99,90,50
22/06/10,14:46:06,36,99,90,50
22/06/10,14:46:06,27,99,90,50
22/06/10,14:46:06,25,99,90,50
22/06/10,14:46:07,30,99,90,50
22/06/10,14:46:07,37,99,90,50
22/06/10,14:46:07,41,99,90,50
22/06/10,14:46:07,44,99,90,50
22/06/10,14:46:07,42,99,90,50
22/06/10,14:46:07,36,99,90,50
22/06/10,14:46:08,32,99,90,50
22/06/10,14:46:08,26,98,90,50
22/06/10,14:46:08,26,98,90,50
22/06/10,14:46:08,27,98,90,50
22/06/10,14:46:08,26,98,90,50
22/06/10,14:46:09,30,98,90,50
22/06/10,14:46:09,36,98,90,50
22/06/10,14:46:09,39,98,90,50
22/06/10,14:46:09,41,98,90,50
22/06/10,14:46:09,40,98,90,50
22/06/10,14:46:10,35,98,90,50
22/06/10,14:46:10,28,98,90,50
22/06/10,14:46:10,27,97,90,50
22/06/10,14:46:10,27,97,90,50
22/06/10,14:46:10,38,97,90,50
22/06/10,14:46:10,24,97,90,50
22/06/10,14:46:11,27,97,90,50
22/06/10,14:46:11,30,97,90,50
22/06/10,14:46:11,38,97,90,50
22/06/10,14:46:11,40,97,90,50
22/06/10,14:46:11,44,97,90,50
22/06/10,14:46:12,40,97,90,50
22/06/10,14:46:12,34,97,90,50
22/06/10,14:46:12,30,97,90,50
22/06/10,14:46:12,28,96,90,50
22/06/10,14:46:12,28,96,90,50
22/06/10,14:46:12,28,96,90,50
22/06/10,14:46:13,26,96,90,50
22/06/10,14:46:13,29,96,90,50
22/06/10,14:46:13,32,96,90,50
22/06/10,14:46:13,38,96,90,50
22/06/10,14:46:13,37,96,90,50
22/06/10,14:46:14,42,96,90,50
22/06/10,14:46:14,38,96,90,50
22/06/10,14:46:14,37,96,90,50
22/06/10,14:46:14,33,96,90,50
22/06/10,14:46:14,30,96,90,50
