----------------------------------
date,time,distance,cnt,pwm,uid
22/06/23,15:12:58,27,100,90,50
22/06/23,15:12:58,27,99,90,50
22/06/23,15:12:58,28,99,90,50
22/06/23,15:12:58,26,99,90,50
22/06/23,15:12:58,33,99,90,50
22/06/23,15:12:59,25,99,90,50
22/06/23,15:12:59,32,99,90,50
22/06/23,15:12:59,33,99,90,50
22/06/23,15:12:59,27,99,90,50
22/06/23,15:12:59,29,99,90,50
22/06/23,15:13:00,30,99,90,50
22/06/23,15:13:00,30,99,90,50
22/06/23,15:13:00,27,99,90,50
22/06/23,15:13:00,27,99,90,50
22/06/23,15:13:00,24,99,90,50
22/06/23,15:13:01,24,99,90,50
22/06/23,15:13:01,28,99,90,50
22/06/23,15:13:01,31,99,90,50
----------------------------------
date,time,distance,cnt,pwm,uid
22/06/23,15:13:10,26,100,90,50
22/06/23,15:13:10,29,99,90,50
22/06/23,15:13:11,24,99,90,50
22/06/23,15:13:11,24,99,90,50
22/06/23,15:13:11,29,99,90,50
22/06/23,15:13:11,25,99,90,50
22/06/23,15:13:36,28,100,90,50
22/06/23,15:13:36,31,100,90,50
22/06/23,15:13:36,27,100,90,50
22/06/23,15:13:36,26,100,90,50
22/06/23,15:13:36,26,100,90,50
22/06/23,15:13:37,36,100,90,50
22/06/23,15:13:37,37,100,90,50
22/06/23,15:13:37,41,100,90,50
22/06/23,15:13:37,40,100,90,50
22/06/23,15:13:37,41,100,90,50
22/06/23,15:13:38,37,100,90,50
22/06/23,15:13:38,34,100,90,50
22/06/23,15:13:38,29,100,90,50
22/06/23,15:13:38,24,99,90,50
22/06/23,15:13:38,26,99,90,50
22/06/23,15:13:38,33,99,90,50
22/06/23,15:13:39,25,99,90,50
22/06/23,15:13:39,25,99,90,50
22/06/23,15:13:39,29,99,90,50
22/06/23,15:13:39,34,99,90,50
22/06/23,15:13:39,39,99,90,50
22/06/23,15:13:40,42,99,90,50
22/06/23,15:13:40,37,99,90,50
22/06/23,15:13:40,36,99,90,50
22/06/23,15:13:40,30,99,90,50
22/06/23,15:13:40,26,98,90,50
22/06/23,15:13:41,24,98,90,50
22/06/23,15:13:41,35,98,90,50
22/06/23,15:13:41,30,98,90,50
22/06/23,15:13:41,25,98,90,50
22/06/23,15:13:41,31,98,90,50
22/06/23,15:13:42,34,98,90,50
22/06/23,15:13:42,41,98,90,50
22/06/23,15:13:42,41,98,90,50
22/06/23,15:13:42,37,98,90,50
22/06/23,15:13:42,34,98,90,50
22/06/23,15:13:42,28,98,90,50
22/06/23,15:13:43,27,97,90,50
22/06/23,15:13:43,26,97,90,50
22/06/23,15:13:43,32,97,90,50
22/06/23,15:13:43,25,97,90,50
22/06/23,15:13:43,28,97,90,50
22/06/23,15:13:44,31,97,90,50
22/06/23,15:13:44,33,97,90,50
22/06/23,15:13:44,41,97,90,50
22/06/23,15:13:44,44,97,90,50
22/06/23,15:13:44,39,97,90,50
22/06/23,15:13:45,35,97,90,50
22/06/23,15:13:45,32,97,90,50
22/06/23,15:13:45,23,96,90,50
22/06/23,15:13:45,28,96,90,50
22/06/23,15:13:45,24,96,90,50
22/06/23,15:13:45,25,96,90,50
22/06/23,15:13:46,27,96,90,50
22/06/23,15:13:46,36,96,90,50
22/06/23,15:13:46,40,96,90,50
22/06/23,15:13:46,42,96,90,50
22/06/23,15:13:46,45,96,90,50
22/06/23,15:13:47,41,96,90,50
22/06/23,15:13:47,36,96,90,50
22/06/23,15:13:47,29,96,90,50
22/06/23,15:13:47,26,95,90,50
22/06/23,15:13:47,28,95,90,50
22/06/23,15:13:48,27,95,90,50
22/06/23,15:13:48,25,95,90,50
22/06/23,15:13:48,27,95,90,50
22/06/23,15:13:48,37,95,90,50
22/06/23,15:13:48,38,95,90,50
22/06/23,15:13:49,42,95,90,50
22/06/23,15:13:49,47,95,90,50
22/06/23,15:13:49,42,95,90,50
22/06/23,15:13:49,39,95,90,50
22/06/23,15:13:49,33,95,90,50
22/06/23,15:13:49,25,95,90,50
22/06/23,15:13:50,27,94,90,50
22/06/23,15:13:50,28,94,90,50
22/06/23,15:13:50,35,94,90,50
22/06/23,15:13:50,27,94,90,50
22/06/23,15:13:50,31,94,90,50
22/06/23,15:13:51,29,94,90,50
22/06/23,15:13:51,40,94,90,50
22/06/23,15:13:51,39,94,90,50
22/06/23,15:13:51,43,94,90,50
22/06/23,15:13:51,39,94,90,50
22/06/23,15:13:52,37,94,90,50
22/06/23,15:13:52,27,94,90,50
22/06/23,15:13:52,25,93,90,50
22/06/23,15:13:52,23,93,90,50
22/06/23,15:13:52,35,93,90,50
22/06/23,15:13:53,25,93,90,50
22/06/23,15:13:53,26,93,90,50
22/06/23,15:13:53,28,93,90,50
22/06/23,15:13:53,39,93,90,50
22/06/23,15:13:53,41,93,90,50
22/06/23,15:13:53,43,93,90,50
22/06/23,15:13:54,38,93,90,50
22/06/23,15:13:54,37,93,90,50
22/06/23,15:13:54,31,93,90,50
22/06/23,15:13:54,25,92,90,50
22/06/23,15:13:54,26,92,90,50
22/06/23,15:13:55,28,92,90,50
22/06/23,15:13:55,25,92,90,50
22/06/23,15:13:55,28,92,90,50
22/06/23,15:13:55,33,92,90,50
22/06/23,15:13:55,35,92,90,50
22/06/23,15:13:56,41,92,90,50
22/06/23,15:13:56,43,92,90,50
22/06/23,15:13:56,43,92,90,50
22/06/23,15:13:56,37,92,90,50
22/06/23,15:13:56,34,92,90,50
22/06/23,15:13:57,28,91,90,50
22/06/23,15:13:57,26,91,90,50
22/06/23,15:13:57,24,91,90,50
22/06/23,15:13:57,25,91,90,50
22/06/23,15:13:57,28,91,90,50
22/06/23,15:13:57,35,91,90,50
22/06/23,15:13:58,37,91,90,50
22/06/23,15:13:58,45,91,90,50
22/06/23,15:13:58,44,91,90,50
22/06/23,15:13:58,41,91,90,50
22/06/23,15:13:58,37,91,90,50
22/06/23,15:13:59,35,91,90,50
22/06/23,15:13:59,27,91,90,50
22/06/23,15:13:59,27,90,90,50
22/06/23,15:13:59,27,90,90,50
