date,time,distance,cnt,pwm,uid
22/06/30,15:03:24,29,100,91,50
22/06/30,15:03:25,36,99,91,50
22/06/30,15:03:25,34,99,91,50
22/06/30,15:03:25,33,99,91,50
22/06/30,15:03:25,21,99,91,50
22/06/30,15:03:25,21,99,90,50
22/06/30,15:03:25,25,99,90,50
22/06/30,15:03:26,35,99,90,50
22/06/30,15:03:26,36,99,91,50
22/06/30,15:03:26,39,99,91,50
22/06/30,15:03:26,36,99,91,50
22/06/30,15:03:26,33,99,91,50
22/06/30,15:03:27,28,99,90,50
22/06/30,15:03:27,23,98,90,50
22/06/30,15:03:27,22,98,91,50
22/06/30,15:03:27,21,98,91,50
22/06/30,15:03:27,24,98,91,50
22/06/30,15:03:27,26,98,90,50
22/06/30,15:03:28,29,98,90,50
22/06/30,15:03:28,36,98,91,50
22/06/30,15:03:28,39,98,90,50
22/06/30,15:03:28,36,98,91,50
22/06/30,15:03:28,30,98,90,50
22/06/30,15:03:29,23,98,90,50
22/06/30,15:03:29,23,97,91,50
22/06/30,15:03:29,26,97,90,50
22/06/30,15:03:29,29,97,90,50
22/06/30,15:03:29,20,97,90,50
22/06/30,15:03:30,16,97,90,50
22/06/30,15:03:30,26,97,90,50
22/06/30,15:03:30,30,97,90,50
22/06/30,15:03:30,36,97,90,50
22/06/30,15:03:30,38,97,90,50
22/06/30,15:03:30,36,97,90,50
22/06/30,15:03:31,33,97,90,50
22/06/30,15:03:31,24,97,90,50
22/06/30,15:03:31,20,96,90,50
22/06/30,15:03:31,23,96,90,50
22/06/30,15:03:31,31,96,90,50
22/06/30,15:03:32,20,96,90,50
22/06/30,15:03:32,22,96,90,50
22/06/30,15:03:32,27,96,90,50
22/06/30,15:03:32,35,96,90,50
22/06/30,15:03:32,37,96,90,50
22/06/30,15:03:32,38,96,90,50
22/06/30,15:03:33,34,96,90,50
22/06/30,15:03:33,32,96,90,50
22/06/30,15:03:33,26,96,90,50
22/06/30,15:03:33,18,95,90,50
22/06/30,15:03:33,20,95,90,50
22/06/30,15:03:34,25,95,90,50
22/06/30,15:03:34,24,95,90,50
22/06/30,15:03:34,21,95,90,50
22/06/30,15:03:34,31,95,90,50
22/06/30,15:03:34,35,95,90,50
22/06/30,15:03:35,34,95,90,50
22/06/30,15:03:35,40,95,90,50
22/06/30,15:03:35,37,95,90,50
22/06/30,15:03:35,33,95,90,50
22/06/30,15:03:35,25,95,90,50
22/06/30,15:03:35,22,94,90,50
22/06/30,15:03:36,23,94,90,50
22/06/30,15:03:36,21,94,90,50
22/06/30,15:03:36,25,94,90,50
22/06/30,15:03:36,25,94,90,50
22/06/30,15:03:36,30,94,90,50
22/06/30,15:03:37,36,94,90,50
22/06/30,15:03:37,38,94,90,50
22/06/30,15:03:37,40,94,90,50
22/06/30,15:03:37,37,94,90,50
22/06/30,15:03:37,31,94,90,50
22/06/30,15:03:37,28,94,90,50
22/06/30,15:03:38,21,93,90,50
22/06/30,15:03:38,20,93,90,50
22/06/30,15:03:38,19,93,90,50
22/06/30,15:03:38,22,93,90,50
22/06/30,15:03:38,22,93,90,50
22/06/30,15:03:39,26,93,90,50
22/06/30,15:03:39,36,93,90,50
22/06/30,15:03:39,36,93,90,50
22/06/30,15:03:39,33,93,90,50
22/06/30,15:03:39,31,93,90,50
22/06/30,15:03:40,23,93,90,50
22/06/30,15:03:40,21,92,90,50
22/06/30,15:03:40,25,92,90,50
22/06/30,15:03:40,32,92,90,50
22/06/30,15:03:40,23,92,90,50
22/06/30,15:03:40,21,92,90,50
22/06/30,15:03:41,28,92,90,50
22/06/30,15:03:41,34,92,90,50
22/06/30,15:03:41,37,92,90,50
